"Име, име на родител и презиме",Автошкола,Резултат
e2901b498e886a0f1d17d1924864a8adc8a00a37544c03daa3133000e9258df8,Софи-Скул,Не положил
040f001d8c530372a26ed19ca0281e0bb6a3b4d7637a1045c17bbf3a722985e1,Емилија,Не положил
e0e85cd3adc57e339370afd863cace4f969f36247728e2aae1fe847c7638a401,СМАРТ,Не положил
53f4fcfb381e2a06b84f03ebdbba8ad5bea6ec50512ad01c8e1bdefa3cfdb9b7,Тримоски,Положил
c9d6c8669fa3a04243c7f0cfcef71e9301a65a79b437fe5c4f88a42f7108995b,Елита дривинг,Положил
5d99073cf2a7725ff911514f6f5b9eb34fa3da035646192657c64796314b30fe,Мобилити Плус,Положил
e7b995f43e3eebaed030a06f892f51e07142c823ddae5f89b9554aaa14a0b502,Ива Обука,Положил
9b92dbb06f521f979c1823f32ffebc95c1ce4b8b131d16aeda47d7b147b491af,Драјв Скул,Не положил
96b05eca09c3c790cc35d52808322f2a42805d17fbf5498cb9fa0685a5310a02,Арт,Положил
e18f77baa69357ed1130d6668e8317be9a94f9b7c852485db1d93d6b52d471bc,АСХ Хирда,Не положил
6f1186bdacb035d9fc76b66400eaa09f6da6111ab03dbf6a384ccd339fcc8240,АВТОМАК Гоце,Положил
8bd8582ea802157f7fbb9d8ada61f27d5a00cbd499c6a8405bfd2e3dfc0d0000,Деива Обука 2001,Положил
41053e3965672c3faf709db9d23478e80c305933e88262824845a6dac6d90242,Драјв Скул,Положил
f56a046eae3ebec29e463256d5c99886942923750a969e0d28481c357005db79,Тримоски,Положил
cf0e578089756ff7a79c3d95a7d41f0a4ea35b61f98f5ccf9c85acc368f2f4d2,Кекец-О,Не положил
73229af1e69a1886b97f2022cba4abcff9fcd1a248a0752040c70f96b04fbc88,Зебра АБЦ Дооел,Положил
149a330748df9f64a3e56c12144c59b49e697c8e4d4b5ef8e61c9870eaed1fe6,Тримоски,Не положил
356cff95491b57c14e5786ccbd2f07e224043c971fd36f04a0ba40631ced215d,Болана ком,Положил
a543ceac375163d4d205dabe7c84ef94420aaaba3128285bfa78dcc7f01cc340,Зелен Сигнал,Не положил
f988a77c68911bdacaf56187676e96d5995948c4104482890521e38e06dd7c5a,Деива Обука 2001,Положил
88ee90a857376a740e1c83967a9b7a34b8871e4b11d405955cb285ff9a5ed64f,Сигурност ЛНБ,Положил
bed529d563777adb9e76c22512b4529d386444f7ffad3f9b1459e608a137351e,Шкорпион,Положил
3dbf4da7a68fcaa83c5a1e2a165aa9f3c1f79e34f807e37c627ce3a131766d38,Алфа 2018,Положил
964461f3ee5cae188dde516081d5ad4c9c42508d214d5e8a47c5fb19007fd3d5,Беко Бс Дооел,Не положил
76bbd17a90c6501e9fa4790652e63eaaa7e9f8a1d930641f89cb2d5d032a79da,Европски Возач ДООЕЛ Скопје,Положил
beda0d863922d403a5142b3ab174e8c065532183e62467a5954478e87da9073b,Мобилити,Положил
eb6cf6be7edf97a415f0efde4d0b9910aa1e3bbc17d9da276e231e3f23921885,Ива Обука,Положил
99b01bd69b65da992a6e5378dc46798451bccd144175f969a0242c8427f0202b,Болана ком,Положил
899e13f85c34985a7383c94ef8057c43296cf665c782bfba4cab00fde83cfed8,Европски Возач ДООЕЛ Скопје,Положил
2dce28f0a9dfb8108cec1257d4b2996c0b76978b8ba55ffe4a7c2be390abb199,Шкорпион,Положил
124b89cbc3156be75fb7ddae1598879eaeb0b71059be4c56a907a0d56c2c59d0,Софи-Скул,Положил
50572a5e4b453a6a351911332020508c255e76cc6b2721fc85a06e6a0ff3cd74,Арт,Положил
0730634ec3a9a42275a5dcceea09a054b57558a76d96b362515eea4e0ab1ec40,Бобием,Положил
635acd5e10ec71e4c3eea349a68c333e0d2b4839bc8fe430939b6a8099a3e171,Зелен Сигнал,Положил
8a2df528f8f9725dd422fbda39319cc2b9484c5e2c6b12ffc7173b0aa105d4a6,Бобием,Положил
3adb44d2949fd569e4fc68f7781153e85a4d1be73846bc210ae7b56f30838fa7,Ас-Коко,Положил
63c61198a3f44df7d9b68b73b3f811e8de10107603fe379fc4cc0c7465f1822c,АСХ Хирда,Положил
a7be194b61027f907ebb955cca5795a77fc47b8314aebde0b4cce00fb13a3660,Ас-Коко,Положил
b6cf765a527ad246c3aa4b1eace92a4eb3e41019f208f9a5f64552771f12a5c2,Шкорпион Едукација,Положил
072d3c81a3e1aa96492a71ea92f43e3b90f59bba6b26afd99e7d68c6fdb43e7c,Шкорпион,Положил
fcd9ef3af43f24f56a57ce26e0bd5c81bfa1e51d974acc8de24197e071323614,Тримоски,Положил
e5fd3210d0ae6155bac7615226b13859e578b32cf0973cca506726bcb239d3d1,Ива Обука,Положил
870aa1efea924e1e94d0c4627c307163eeb4e3d37d697e16546d502fceabd8de,Ас-Коко,Не положил
2cd2e5fbc66579ea41730524c3bf25607dccd28ed02c4395a2011fa53b74434e,Беко Бс Дооел,Положил
18652e65cc4e3d3e0b9d6455e30f317f08b6f9a165190b61fa24fd7eb15263d4,Ел Хилал - Јуниор,Не положил
