"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
129cde48e6ec913c9ebf64c5ac14f4b736fa81e3143726946ebc4210c1b69059,Зелен Сигнал,Положил,,0.0
89e96db3876f1c539739e266368cb1d44d4f54d63fd3f65602fe8f1ad31f5f33,Зебра АБЦ Дооел,Положил,,0.0
9a0b8d419d8ff7761ea2df29c6ce2ea4d22b53c1ae06ce93a1a36c7ab905b562,Зебра АБЦ Дооел,Не положил,,0.0
9939fd51b4996e04fcf07984d5b9c054b1cb61bbdb762207a1c35167645c73fa,Арт,Положил,,0.0
9dc403d8ccb3f7d2f605e582a38adf44576db70b067c1405d9cf42d3513c32bb,Кекец-О,Положил,female,0.98
25055a4e79dfd0135ae156b8cd0881f3c1b06c323cb2fdf4d9115689d2f283f3,Ива Обука,Положил,female,0.99
464dad1d1de136d2dfe13fa267c698cd092443f3d6034d5c925f987cb26cceeb,Шкорпион,Положил,,0.0
f9d0eb7877ef0fe4159d1b02bb598ef9ea9d474cd405b7fe972c03de7c74497f,Ива Обука,Положил,,0.0
aa4ea2b1dbe6229dc042d9ddb9a6789ee47ec9c479a11d0004b330fbe4948ece,Ел-Хилал-Хана,Не положил,male,0.97
061068e8f00fd3bc7ebaa779352fbf0ca820e201181fafb876e2ea7513f15920,Мартин,Положил,male,0.98
859bbf38f37f150031a467bc35d818cc22193b6f8f7f7fab78abf8c70a659b53,Зебра АБЦ Дооел,Не положил,,0.0
cf13d16bf4f550e3e692144d9527a9ea22f700b02dceb85f1757e67593fe4e77,Арт,Положил,female,0.94
d16463091630a880bc60112232b71c8b95f49225b926754256643208aa15c327,АСХ Хирда,Положил,,0.0
a3a8d9960842b07f18da4df2b9ffb25652bcff9e6c0c5934c39ada832fbdec64,Зелен Сигнал,Положил,male,0.94
86f82dd1d5d6b4955abccf165778ca45eb3e7ee122d9c1a2ce5223752b789d4a,АР-ДИ,Не положил,,0.0
4c20ee59923cb302ace8461dbbd599789dffc9bad38adef8d63b5bc437c363e3,АСХ Хирда,Положил,female,0.96
73df5b63201b05721596641344159119473210b5d746c27e1d6366da892eb52a,Шкорпион,Положил,,0.0
8f3ac1c58818f4fece9cfc86799a9f493ba7704cce3cf41cf001b00a991e7ad9,Шкорпион,Не положил,male,0.99
6ece15438cd6390858169022fef10ce1339b693fe9910ce41e4051143f598dc9,Арт,Положил,female,0.98
119c1cf97be4c3d9bfa6b4555336d7eb0173ee5dacacc952d8d96e99521a8aab,Ива Обука,Положил,male,0.99
7b03153e6709ffa711ecbfdafeb9187ec62ac0b27c42508849be87703f76a4ec,Болана ком,Положил,,0.0
4a1168b4ae3e8c2cb1b76d021ebba01e77abc24791d70601c25bc330f3be3024,Мобилити Плус,Положил,male,0.99
f98a9874395bf0fcb179f0fc6befb0c778e33e7cd4b468ef7ffb5383045f4d9a,Деива Обука 2001,Не положил,,0.0
eac0a441cf8a3c069f23dddcbc837a52b900be36ec5cd692de6f9feab0ad45fb,Идол,Положил,,0.0
fd922d1dfece1209e3b1cac91090654f0c7a7eda3a5a4b55b02e228955aeb272,Шкорпион С 2014,Положил,male,0.99
23589642587d318b392af22acbd11a9bcdcdd58b350f30b6be8c012e301ebf98,Шкорпион,Положил,male,0.99
f59226a38874d08b675fb962fc42a84d54515912c99b9c53f86665e5f556e2d8,Банкина,Не положил,,0.0
75f486c36f9d9cfd600a8fb6e94c9f3e211115f82ea0167d44d75083a058add6,АР-ДИ,Положил,female,0.99
3f5bc4db04a57b93ae5656dac4bc089341892bc6c83c6ac954d987c2046b9ae0,Кекец-О,Положил,female,0.96
0aecd9e39e592916893630b9c1ef571d0431f07dc8108de6aabc5ac593af468f,Шкорпион Обука,Не положил,female,0.97
208249f1a22b3f05dc8d6cee4d56c661ba11c5fd13c18bc07f0a258d8a5c801d,Зелен Сигнал,Не положил,male,0.96
33c7a205317c111a84848d2535a89fbf3179064d4af0826e284d0dba0afc1064,Драјв Скул,Положил,,0.0
81cc7a006a628d05d7dce22612bc2ee381d3d9497962c5c42f1e1584352efc2d,Тримоски,Не положил,female,0.99
fe61c2b76f5285b7abade499c36ef2750deea30975727cd4766d4b7463bf2b48,Деива Обука 2001,Положил,male,0.99
5ee5d224fab4c8c3492a5b12fdaaebbaa11f4580fda87bcd80bfb64f79081817,АР-ДИ,Положил,female,0.98
e05618d34ba8422a1acb38bad8da4d5edef2e5182f29e075561de2490a5dc95c,Идол,Положил,male,0.99
21ebf90ef103cd812aaf7808f6e4eaabb740c4d786b2d1e3cd69727f4af354ad,Шкорпион С 2014,Положил,female,0.99
82c84f3a3be7eb50f4b9471e5ef7c4dd8f33135c50eb7357cda29532c8c87d50,Ада Скул,Положил,female,0.99
67c7a86c26a99640bb3ed2a2fd31f47e71cce2cbed442cc2c147a6b28903f8b5,Нова-Нова,Положил,,0.0
f53eaaf60a5cf8c2541b947da4c66088b891635457e01d514b2387eb0a8be617,Деива Обука 2001,Положил,,0.0
81d9336dd0585e879b5ff9fdc4b72610455d4c2d2d0ee3047feba4bc4bde29cb,Идол,Положил,female,0.99
fe75c6c3f0fa70afa58420dcc0fd88fe5ab9537de0066280cb1e293afe4c5693,Софи-Скул,Положил,male,0.99
cf2aa94d057c0432468a2f24c6b320ea7495b8bc1b425dac3956832774fc30c5,СМАРТ,Положил,,0.0
9328983101aefcec16b5ffecc89f63e16d5400b370d8c2d1450c80b90bb26b7d,Мартин,Не положил,,0.0
0a4d0a900b19ec5d4bb1f1099751c6dbc320dd3cd385680b3f47ba74536a54ab,Мартин,Положил,,0.0
b02761a8f5dd4747ae83ae86c55708fd4a52228ef83bc50a1a21a6df213d8180,Шкорпион,Не положил,,0.0
d564ae81a3591680d5d738939fa638fc706521a46edd9d4335a1c617ac835131,Зебра АБЦ Дооел,Не положил,female,0.99
2b53288ed931c7f504bcff96aa20253c84a901eabae665504d9687ae0dffe609,Алфа 2018,Положил,,0.0
d38b46d116182dadc89d347362f93704f2567221580d9749f9789fc0b7ed2ea8,АР-ДИ,Положил,,0.0
1b09d49683201befeb75ad401d927f705288e7b78cdf3f72a918f64f7e9b12a2,Ива Обука,Положил,,0.0
586f215f14b155472725560624f96eae0c7250e1068a225d9a1af3f159882ddc,Мартин,Положил,female,0.98
d84884d77acf0e0fadf543048c3a4d1de19d89391ea62e612c50096345ccde7e,Тримоски,Положил,female,0.98
57f33ff7af3bff21b8ef0bd4e1d3bf8de809b865ce903d9b0cb2a089c1e57538,Ива Обука,Положил,male,0.97
9df67bb2ea7a0d556c768ba6a92ccc57a040f7f06c0f7e277ea994583f53f601,АСХ Хирда,Положил,male,0.97
864a34646ba34d2f7ad2975b7153cc0f7d76ae3c1db4d3ba1c9597ca62a116e9,АВТОМАК Гоце,Положил,female,0.96
124fbf7a0cad4e91229a51d4c89dc7ebf598896ecbcf73c868f7bedd3b0c503b,Ива Обука,Положил,male,1.0
e950a98706dc8c145f79ac3632cceaee86003a616b6d268f802c1eee0922ee18,АСХ Хирда,Не положил,,0.0
02379b65f11bbac52295d7148d8ada4899f383b77cf47783172055245878534a,АР-ДИ,Не положил,male,0.96
8b6eade98219de9ba5e494a9714a814667f92c03a897c71f5a80e6c428757f52,Ива Обука,Положил,,0.0
a9d6121650d9ab044657d0fc6d24ceb70f1432e5d642c6056d0fd2d9ef979785,Банкина,Положил,female,0.95
15b5469ef02a3d474fd16e7533f37da84b1249756546772ea3b76efa01b323fa,Ел-Хилал-Хана,Положил,male,0.6
b76c6120ada8741b911c7e0efd1c27981820727fe15cdee4f9532c0a2c22a5a5,АСХ Хирда,Положил,,0.0
4347dfc523549ab7d7b0b86ef2e2acf00ec30e7e63aa75e3fa9324cc9fc8a030,АСХ Хирда,Положил,,0.0
577abf8b4a7fa27213ee9ca172078bd1c6666320899669a470631c7f3b13b7ee,Ел Хилал - Јуниор,Положил,female,0.97
5568aef34ab3512682e4d3119154480ac034d347fa47e1a191530b6afe098a66,Зелен Сигнал,Положил,male,0.98
ef7b14e1ff0f350ffb293055e0e3dfdc695a9be2b9f38bc601e48544655a7aee,Тримоски,Положил,female,1.0
add06b7d40589385e13193216957e396feafbd218c2b5f4ba8f1464f685598d8,Зелен Сигнал,Не положил,,0.0
7ce17974b0f782357f8a083fedfcb4087b69262ad68517a679b33bb8632016d2,Виза,Положил,,0.0
29b43b17f8f84da2328e989de3151a5c9a3a38a5bb79cf663a66e7fe8f1b3157,Алфа 2018,Не положил,male,0.76
54d6df4d5ff1e56c6f9e020861f170277b8a84265ec753fc02a6275885056a4f,Идол,Положил,female,0.98
0560a682ab827f5299ab2261ff44faa0db0d7ff04ec9f6ee7a3db3efadf9e052,Кекец-О,Положил,male,1.0
15bdcb7390b8b77bca13437854326fdb14965451ddab37c5981d659b7c5fdb28,Панда-ЛТД,Положил,male,0.98
4a7bd592ceed153b690e053ec4b8d3bb535fb94859b06266f481a9d8d29ae77d,Мартин,Не положил,,0.0
98b20139773bf8678dc2ac595943188491e35ca23c02a4200ab14f3d04b9edaf,Панда-ЛТД,Положил,female,0.96
1ef627b96a1e567bf131a26ac9723c353b0324526dbb36e2171dcac0257614b3,Ива Обука,Не положил,male,0.97
c72a93d6082e1a47083724e9e652d250f53853f6db7640a5afb44cabec02b3c5,Арт,Положил,,0.0
