"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
424ce41bc0a788f2469cc96ced549b6fc8624ce11299b9faf0864a5f777f4af7,Зелен Сигнал,Положил,female,0.98
73cb3de41147f2dac645d44d2d5ffb01b539411d2cb9f9779ac2abe52edd530a,Ива Обука,Не положил,male,0.91
5b512944e63de81bb6206f4c1423a45159f9385b79a3e2b58bc767aa7b7f2637,Зелен Сигнал,Положил,female,0.98
c51f4727c406410c64df77f8aa5d667783fbe8f3855ef64e86c046fc6411b96a,АР-ДИ,Положил,,0.0
df97555a2f0fb1f06421204f58acf6cf1937bc61db6762408ceca60ab01c94eb,АСХ Хирда,Не положил,,0.0
421345a507879b3943aa0c0ae4bee37249d301957f7cb62185ccef2b904cc8dd,Идол,Не положил,,0.0
c25534aa3249590d11d3848ee9578b8228be6c9b5146721c8bd059b7ecf2e3b2,АСХ Хирда,Положил,female,0.98
bbc290b45e3adc5e3321d9b8ab1cdb2c3a1f6a5d6a15bb66371d5c26551af95c,Ел Хилал - Јуниор,Не положил,male,0.98
6be71c7dd5027554d8bb0d1feb3a89cacd57cc3fc5e2079284d91d474045e190,Ас-Коко,Не положил,male,0.98
10c99bef86dc7ca99a681fe4a1afd5939504d7457348f6a183bbfc1661d17457,Тримоски,Положил,female,0.99
03d3394604b94e7e78fd4b000492dbb5973aadab7ae03cc4886499b6f22528a6,Алфа 2018,Не положил,,0.0
f0f7c538ec1016c6effa5194ab48a9f108d418c15e3ee51d5494321bcf7c0179,М22 М22 Дооел,Положил,,0.0
e19a59d80ae43e1665a562f454b716d053a656955363da7a1992decdea537994,/,Не положил,male,0.99
d072eec622eda28bb94eacf0ee63f6d7c6e55a7adaccb7a5bd3fa89b4d3fd0ff,Шкорпион,Не положил,male,0.96
d600dcee99b0bdad011fabf62c7c7239c86087fd730180c291b2a281178f133a,Ива Обука,Положил,male,0.96
277792d93f4f2ac2e39dc1e8ebeeaa5ac4bb85069309d5b546772c88370248b7,АСХ Хирда,Не положил,female,0.89
813e7dc3c58e95c235bf0f327a292f75aa265e88d65abcda7cb53153cb7f5ad3,Елита дривинг,Не положил,male,0.97
7acc0a29055243988fc1acceff2f95b1ae0d69b603c64d81802762cff2133bcf,Брм брм Л,Не положил,,0.0
3ae680bbbc1080c8d6539649c30dd00dcb6504d14b55178c562998e646d4e8a7,Алфа 2018,Положил,,0.0
f3d712ea94cd4a92d5a294787b7ef71d0d60053040a25e067fe6a1b2583b6eb8,Алфа 2018,Не положил,male,0.99
ec8a0528a5428cd786f223a3fd03992b9a2836b24d4e872659e31f5c3816f72e,Мобилити Плус,Положил,female,0.99
b68d3b2e93cf590cb3b0ab48f8774057945cfcf59b2f4720f5cf3f595133d45b,Банкина,Положил,female,0.99
10ee775dcd0df6ef03920d0e89b62f4cb9d3869c1335ac5cf8ea60cacf4815b5,Кекец-О,Положил,male,0.99
9f4fbec4808a9bc1a2becc0e2ba26287c6d1140a92cd437c732ffb30a6e4c187,СМАРТ,Положил,male,0.99
7c52f43e8514064229cde30a2e63d9764299df55d8f761e701a6693970af99d2,Бобием,Положил,male,0.96
e9c07ef8fa859c5ec19e3af76d452ff5b7a0aa8d064542e0c2cd278dfb91251f,Мартин,Не положил,male,0.99
