"Име, име на родител и презиме",Автошкола,Резултат
5267ee20eb8ad0f95e3ee09df50275badf08caa8823b717fe4494d0184c40f49,Арт,Положил
15fa952252ae1c314f4b27debebe822e2982cbadce2b32c9cc11052ddd39bdba,Панда-ЛТД,Не положил
21f5aca0b7f1708ae243d2fdb37f9e5929ebce5e1c824510917238229f13583e,АР-ДИ,Не положил
da1522416fb0dd29341f167b27c2e5b9650160a89192b1038741e00caf32ba01,Зелен Сигнал,Положил
013784b558b4bdadf4b572633a56b0741ae9b6616d64182361a554519046f771,АСХ Хирда,Положил
87c89eab629aa85e5565460affdbae2fa0a86b2c65488a75e8d5b9ea2e99857d,Ива Обука,Положил
dac34872fa668a421973eb74416dc4adb388c99cb99cfb78af58724086ada285,Деива Обука 2001,Положил
24fb7e9d40371a89060cca6ee9df39fb17b8adff617211ade3c9eba00464fe72,Мартин,Положил
30a7539b5bb09197fb0797b489a622de9f392b8253c0c08daf4754ab58b41dbf,СМАРТ,Не положил
66852e02034bac2c12fedb4be216d6be2e8a7fa97cfade14707e18a3b96fc2a1,Сигурност ЛНБ,Положил
22aa85e88856d90eb7f91f0e86652cc0c749adea420a586b262badc829f98997,Арт,Положил
28f2cabf216ca1bf4c1f2c4aca04f5f48ea7cbdaaa2882fdc37c866eb461d412,Идол,Положил
01d822cfa50040b0294ff8d4876415fe74e1d536cadbedb19d1b91d4f0c8cf52,Елита дривинг,Положил
bee5259991dbd99fa8b16b2028cce782d4aa3767217fd7261a716fe1620d6344,Арт,Положил
cf401b83d86f27604cc0a00ba994c8364af937d5b8b2935f6d962ec605335e28,АР-ДИ,Положил
83104e5c95cdff40268e6e0ca354123826e69b66dc1a75a1b45a3e240c2cd610,Шкорпион Обука,Положил
607ee5106422cbb92679f1b3ad419b542aad4f4867a77413a54cd21db7dee8ce,Зебра АБЦ Дооел,Не положил
d4ae013cd4aef00288b9cee94a7648cc02180b9ffe2adade9fab44363d60387f,Ива Обука,Положил
1737ceb9cb3c22230c9dd2eb83239a79ddc10379f9acf64443eafa2998a04275,Ел Хилал - Јуниор,Положил
7ad2c169a3c5498f47ca310eb7007a2323e464b42beabfa53084080a9ef3c11a,Ас-Коко,Положил
32e587af97ff7d3aa921b7ff874a83cba27727416fd874aa7abf6d5ae6bd512e,Шкорпион,Не положил
a25186fdbcb1b1a6db408dacf7c967ac4536771f6cfb4bf7e4cc240d756d62b1,Ива Обука,Положил
7289b269b233b5d3ce3c12ef9d570e4136ff8b271f4a71a9d98342992a9c52ee,Драјв Скул,Не положил
dd26b39ca39d428c8e25b5d95daadd787c5bb40905a318b71b936f167441bdf6,Ас-Коко,Положил
2d5b0442ca90b607c4aaadea2fdb4a1356dd89e6d6c9a227db6ddb2755bf5c71,Бобием,Положил
