"Име, име на родител и презиме",Автошкола,Резултат
0c630feabd1ac3462595e6a2d72ea4293060548b1f1e73bd55c43278e9883920,ЊУ ФОКС,Положил
dedce655c7808f7b4b59408e9c22110f74c4b4991475bf90a81c4f057c672e7f,Арт,Не положил
bc8095ee06ca23226ea87f59f36f8bd33fff4aa03c57dccc2b992e332e38b096,Шкорпион,Положил
c8a20776a7119fd2264a2fa4624d96e87fedd470b0f26b8eb9ed9bad52e26fdf,Ива Обука,Не положил
db8668722925d5c6ab79b08b289a2d13be6b483a561b9a5e4fbe5494b3f1a3da,Ива Обука,Не положил
94701d702791f639580b0e19939d52e5d5f946a31e05b4239533fe7e13c5d607,АСХ Хирда,Не положил
83be916ac983bfc509961ff70dd775a35cfd5a00b395f9c18fb426a7c86331e0,Зелен Сигнал,Положил
1e76b02a8b3ee529f93985148942e9cdc42b282330de53442d620ca5efd32188,АР-ДИ,Не положил
8cacdefa546d33a48f11808afabb678bd7da81dc795f6100d9d5b1581e4ef324,Зелен Сигнал,Не положил
6adc3ace3b323cd8d1c5b75b961df83598eb1b9f3a67e31d85493d177bb2899b,Деива Обука 2001,Не положил
7281e2a054c8d6d993236091d52d0d853eb3a584622374148cb396f6e3b647c1,Мобилити Плус,Не положил
d84677313a983b5ab4bf7fdd5b936dfe31a08bda70e95ba4582001737eaed81e,ЊУ ФОКС,Не положил
45a131da306ec35d1c74001129ef2ca5bbe5c93dc2f6e620fc2b788cb6d47fba,Деива Обука 2001,Не положил
f805b7b2ddfc3a7a182af13ee7915d41474ae686149a5adb4503f319a56c2262,Арт,Не положил
aa7968c0a673fd9dd5adad963205dac450a0da2d13e9f4e74c4981610d3cb7b6,Ас-Коко,Не положил
b7448c00e3b9d7be2b21aa23de809ff3f8690140d8b9e884a8a640a2866b9e6d,Ива Обука,Не положил
05a252f1094e6eca9f2a11fe7fb3646b1bc807b4ffd0edf2b713cbbe1cda9919,Елита дривинг,Не положил
c38c10188524632714830c77dacf14ae5f7624242302c01e054a16fbdef059bd,ЊУ ФОКС,Не положил
2ba31090d692d76272d7afc3b1688d78770f4b6c33f8a74d3651633c7390400d,АСХ Хирда,Не положил
1f9b5c7e651be85057b0169c70c5bcb130a0a016cd7bb409343fad067102aac0,Елита дривинг,Не се појавил
43790a400a22c7319b9717192ee02da89604c4819b435ae9d97f4e5c1d862f13,Емилија,Не положил
4a5bd7ea9b1fce43bac0fc8b526fb8c9d8e83f97c05463c7fedc2bee6fe400be,Шкорпион,Не положил
68e1e7fd4720d230ffa51efcd8562be3dc894e5b954151b881b5c1ac358fec37,Зебра АБЦ Дооел,Положил
f4b7d076f6e1b56312acad8f6fa2fa6a172319e46f26be85ca4fae2aa2f76986,Мартин,Не положил
8d60dac250f41ecb7a6998be28322c477866dc3b643d135f6431331027eedc3b,Шкорпион,Не положил
8239aee532ba22be7bab4dbce38792c6c28f2d17b4ebcd4bdcfc3e4216983800,АР-ДИ,Не положил
