"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
2b64e7ce885c0ad4fb0d2cdd89e3821270be90d53b04dbd48f9d008f7dd30b44,АВТОМАК Гоце,Не положил,,0.0
dec99e44a995468ccaa7db7260cee4c84ff1cd17cee37937ccfefc8b7bf8fa21,АСХ Хирда,Не положил,,0.0
d01f11cc4a83b0b06df5fe8c382df6bd51b8b8de2570534b0a60055c8193f9ab,Ива Обука,Не положил,male,0.93
a4531480b5a7dc8915bc6171e57cff65cdaf0eaa6cb4dce84ad74560547284f1,Нова-Нова,Не положил,male,1.0
a6d7791f2d3b6231c4219d7fa2e8b180817a82e276cdceffa9b223691afdd1db,Болана ком,Не положил,male,1.0
0e5573c94f8d1c1e48191281d55a88b143ec203faa93d0f8d93bd3e92323795b,Мартин,Не положил,female,0.99
1e26a59214c02afff775108fb0bf1f3e23a9e70a2558ef6d47443c095c638000,Зебра АБЦ Дооел,Не положил,male,0.93
a80f09f8ee5263e7d49c89d0061c2aa8cccbf026849fa36a45c9f573897658ae,АСХ Хирда,Положил,female,0.98
87bf0b487d16bf7a2a22f34bcf268483ba15e78d690e13fb50d67128aefe27a6,Шкорпион С 2014,Положил,female,1.0
f755e57ee8c026db9e073f2b2782e237498a7f55f394d7c2d5c70cc24ab8a6f9,М22 М22 Дооел,Не положил,male,0.69
e56aed0bc62c113066d5f7a4a263126ccb2a57c217a30ee5f7a07c647d93250c,Зелен Сигнал,Положил,,0.0
9d75aa028b1c75b7cd6bf0a6e12d0551877d1ab2ced74fa337f0e6abb805ffcf,Ас-Коко,Не положил,,0.0
588769a1e2bd58845bf11780f0b7ec00aff90f965664fda9908f6deba7f4e261,М22 М22 Дооел,Не положил,female,1.0
2afa5c6f4d458cdd72ce903f397cfe3158bcf39a5ceea105ec2e876946cf0572,Бобием,Положил,male,0.56
9ef9782ddb29f505568d17ea74fa5318ec32d09299188e4ad34c7b10d760b3d5,АР-ДИ,Не положил,male,0.98
517048fc74e29c73343d6ff3ccfb65565c46f07246d9b7ac3451c9434fdf81e7,/,Положил,,0.0
759d94e2e1eefed82aa8e23a6d06a44767550be1a7e98e5b4fb6ce37d8816fd8,Алфа 2018,Положил,,0.0
f97a56cdfe084e1263b90c3f2e869939e8eb238ebb037bcd84295ad1756d382e,Деива Обука 2001,Положил,male,1.0
1e8bc20734854d07c8216b2c448a8b62eeac062809daa8d65ba0bfbb7602952d,АР-ДИ,Положил,,0.0
5bc84e1266b705fe485871a5e2f958404e23f6969963151b7e8b5fd12c63733a,Софи-Скул,Положил,female,0.98
fb0953c6d2366b0b1605d4c72c592d8733122bee11afbef4fde7d51f38066912,Идол,Положил,male,1.0
bfb88875fb3da1b5a6cc8424c7605e85ca0ab7b5a08b3c1e618616ef2eec76f6,Ива Обука,Положил,male,1.0
46e4353a4058b6084e9846f83eea7790a130b9dd75c7b50d134f7da10eef55bb,Деива Обука 2001,Положил,male,1.0
bb8ffaa8860cf92b0944244176ae861f8151d4dd3eb61fe1ee3a593653fdc956,Алфа 2018,Положил,male,1.0
7188993f5e60d4c0858e4f6b1f3e8b4ba9bb59e02ff629380fb9ef110602d7e8,Болана ком,Положил,female,0.98
c38f573e62bd4816514ec0544aec4064629774247b18f20b346b3f2448030c21,Ива Обука,Положил,,0.0
