"Име, име на родител и презиме",Автошкола,Резултат
98a0eeb621b5452f76ec61da51bdc95d83f40f9e9ccf1bedea7c3a4f170ead0b,Сигурност ЛНБ,Не положил
468bd5f201f7a7ca3daf054160caa375e981a1238a52c1fc5e5895877cce35ce,Беко Бс Дооел,Не положил
af4ee2b94a9f557360068eb9f1dbd753b42ebdc78234b7c1a43fd83aa55c1e0a,Зебра АБЦ Дооел,Положил
7e7858c5967c6bde933225d7fb41d8d243f42fdce740f83a0fcebc9dbf7e3235,Шкорпион Обука,Положил
ad59080cc93d5984985c710792d366242973e0aa877843e33be3b7fc0aa0048b,Шкорпион,Положил
51711861b9bcc2b4af127305270d67078ff934b0837e4a632418289371212604,АР-ДИ,Положил
52b4371d6c66f31e4b74ecd199761dd6eac6d138fa5780577f874bef46bfdcff,Деива Обука 2001,Не положил
c0f257551441e0d955261a2cf762f3b34945a40b37f1a5dee6e32e86c6720a32,Мобилити,Положил
44159f6257210ec8cb10c7de6b8b5b28d11ada27893f999ddb1aec2dacf26b8b,Арт,Положил
65777988ae345c885cde37083a08ac85c1d01283f6c71393cb5b0b7f4eff835e,Зелен Сигнал,Не положил
1f834cd278325ebb432da75acfd79a5cc3f319638f42d798cdc2fc1dd33f9350,Беко Бс Дооел,Не положил
0ffff2779046940cbe7ee11b035ffb78b56a0f8aa41eedc54296f20d114dcb66,Џовани-Тим,Не положил
a4a132cb786d2fa48d70a9c122d9739f36ecdf76eca9a41fd8d6fccf4b613120,Алфа 2018,Положил
a893dacba782dc4163c9752d266780b1a11b963276767821d6d543ae3e66ec9e,Алфа 2018,Положил
462a826d594110dd8ff652ec5a2674c4db39c81288b1c1e69f4e05e9ca218b60,Зелен Сигнал,Положил
e182ced6da81bfe33c7adc539b7b0a94732ce6acf941dd543dffcb2d6094835c,Феникс,Не положил
59f28d60ca61c28d9a8448a71807bbc67fde723ea743bd2a37434923ca4822b7,Софи-Скул,Положил
f9755d81d6e076d552a36646d7a3b9c59f6420502f6da03fd492400a8ce56eb1,ЊУ ФОКС,Положил
91da25c8b5ff406a34ac16eac4dfba4b58521d2939c4c4c4998bf24cc43035fa,Сигурност ЛНБ,Положил
dedb65db0579f6a3d490da38b52af1370bc6b7b2757cbb605faf46d226a4bdc5,Бобием,Положил
7c6a51c399d5e9c7e8e96397b57b6766166139e2c3121168c8463092588c2b76,Идол,Не положил
0b4308571bbcbb23e6f04c7a7868c6cd9f15cf55ba51e115f9435a23be416e9a,Софи-Скул,Не положил
aa43ad8352999e7d28f7e95167d4f9bdecc0437e56d27878886cbb2ab57fb3c6,Ива Обука,Положил
7af0b1e17734164874eb4a605d66c1991c4c3cfd4f0c9ff7c826bf45f6e2b23a,Деива Обука 2001,Не положил
575b28535ebeb4378ebc11441e069a223a781b7b57a8a5975c792bba6bc34bf4,Шкорпион С 2014,Положил
aadc4ecfc534154a8bae5c084aaaaf0364742da85c2946c56b36ecb9fe4d22a7,Ива Обука,Не се појавил
b195a3890bf1d7ce11814eb634c1f266927d76025032470425cbf7e195a9e8ef,ЊУ ФОКС,Положил
366be45638440921b78c2508ec73ed85b3a843e846f62c35383a61b3697d91b0,М22 М22 Дооел,Положил
a6d13443851e5ac1db7ec53b2d9516559ac4ba60dcc2f0063206b53e8f379672,АР-ДИ,Положил
3701ed93bf2dd19f305108fce898b150d76fddac6385b7fd7de7d040875a60cb,Ива Обука,Положил
ff68256173ce5c8f1f7b5fd84dcbf3fe2a3ce62403da13b3dafdfbaeeaf53390,Мартин,Положил
d13a7131fd39bc46b19acf6faed8c9dc807622e46ee67b94ead52ea1e373c9c0,Шкорпион,Положил
98b5d9df641abd591fa53f177c58f1390b5f9f68d15d6ba011e3a8557fcc3152,Мартин,Положил
cfbf949be773be2867c9d2bf92633a645e37ef6d892802f53a866f8d578264b2,Арт,Положил
1af11fc9763ba616223cb7ba7b2f11b750d20a6d2d52fa281666c0a3823f6e03,АР-ДИ,Положил
0362c7c1934417c30472c0ee567e3356c6f304bb6dcdb3da94f85dbdb43593bd,Зелен Сигнал,Положил
17126dbc8f1022bcf34ea032690d351c6a108734a2e640ffaec90ab1cd31c721,Тримоски,Положил
6fb0bc481fbb14f181ef5dfc61b7cc13e500570600d4ac39e37386fd6f61adf6,АСУЦ Боро Петрушевски,Не положил
8d340fd2e718ebed6a7effd232a398db2e3947414205c20391f551665214ff04,Шкорпион,Положил
d01515d586aa68655efde265ddf8b0294484efaa5f8a15f03c935ab87f69ade6,АСХ Хирда,Не положил
555dfa50cd926467bfb58fb624578bcf66217484018977b0d3371d813b917168,Кекец-О,Положил
d547e7a2b9217857c085623469b9f6d26be2496aae37bc55875f5368f0b85468,Арт,Положил
7e9fb0b9f11ad2d9a6f7946dfe6e14fd55722afe24eabbd0c8e93d1662dc0b3d,Елита дривинг,Положил
edc954f8f1630cc11d7cb1d5e67313bc5861a7709828e44f9dc17dcb2f19880c,АСХ Хирда,Положил
c127e7ffbd583440be7883da94e105fef8f848e7cc02258f19799cb751217878,Болана ком,Положил
f27ff03306425c986b0ab7ee0bdbd26fd0f24af1f192d5fb76f61475e7907242,Шкорпион С 2014,Не положил
b00afb27572dbd573d784b42d3f10a548aae4899dfd66dca9fbcf2f5dcc8abf2,АСХ Хирда,Положил
c391296120c63627e840e4a8950fbe5f0937a101114195425c84c6f02e817a1a,АСУЦ Боро Петрушевски,Положил
a97d422c4d1539fb266090d34de55855011ed635f75750a80ba64fb8c701a325,Алфа 2018,Положил
e60ca5f64519c0ebe3f52595186d7ad4195dbf4921c8d7c84bfc1022c93668d1,Ива Обука,Положил
1b100aaf22586636fe0c8da6d9da1aaf7c0b4bbd5440fc17ef3add76183922dd,Алфа 2018,Положил
b2e3b8df807cc09a740db5bfcda904dc6a41c6efb43eff0c5ff54a835069c1b2,Шкорпион Обука,Положил
0293cda636be8f473c695b585ce548a5ec2c36b8b0a4daceafb45ad29f1ce2eb,Драјв Скул,Положил
e86d6c06831b69c59499e80ab77d48b420bf777354e6a4c58a6dd57cba17e6e2,Емилија,Не положил
128a27c4cf207d6b54fbd9c653574b899946d63f212be5d32e0fef990cf4e523,Мартин,Положил
0ba89714d4f6794eb176a269b077a2232b15c5ea3a0ded3e27fd5e7f32ae35e8,АСХ Хирда,Положил
3edf7bfd87a66364685a1b94fe2d9340ee4c81b8c65abf38940f804949052ade,Деива Обука 2001,Не положил
841fac8b0ef74849e7d7c0af449b85bb984ddc5a6bcf7c1ac0b1bca55811b9e1,Ива Обука,Не положил
