"Име, име на родител и презиме",Автошкола,Резултат
e8f876acf9a5181f633c110dec4f7342fba17a18fab5c9d471218863badf446d,Ас-Коко,Положил
6c3f07fca8a32048b5dbf315141be72c24fec25298631a8d44624b601855fa1d,Арт,Положил
8c03f7c90d5d7d041a2049f817365e4380de57bf2fce2f20ad7da4906fa2cdaa,Зелен Сигнал,Положил
b6ceb298c3d897243a2d0e152a6d26fc4200b05c5138644df15817265148ffd1,Ива Обука,Положил
610da8e91690f675721c26b052a885701ff193ebe3d7cdf274a965d0849946ae,Ас-Коко,Положил
aa11884fda95313984fb0ea691641bc139b07efbf35a4444be2bb7ee1356dae6,Кекец-О,Положил
e63bda246c883f3f80286598d73bd4c8e3d82302eff041710bae38ac246c4dae,Мобилити Плус,Положил
f1f273cc3170678a4a59515bb846a6caffabae72c8f4f437f621d2420125d606,Кекец-О,Положил
be472d13be875733b21d9ce203c752cfb34b8156f78d87312a8182ed13e30273,АСХ Хирда,Положил
09f8b8dc52e8e61624bdb5f3003da08e49265c1c47cdb0c783b07da0aef1cb10,Ива Обука,Положил
98845a2bdb04360bbafe5ed98850549d18aaa77e385fcb89fd4e2288e12d4cb7,АСУЦ Боро Петрушевски,Положил
02e562f3e7a3a969da7736c26386fc5566291a88bacbab5cce806345fc31d0e3,Ива Обука,Положил
d69fc9bdddb01f618f7453fab28cc9febadd5beaca813f643b88adaa5d10b0c0,СМАРТ,Положил
f51a543fc6efd2c3a24b646860092ca6ac9b468cef3f6367ba3d3ecd94ce9a65,Тримоски,Положил
0029613c7234472c518ba89f24c36c2bc3e7418e0f2838fc6a8d0462ccf4c76f,Ива Обука,Положил
32ffd5d0201501a7ada7fd7a4cc04ddc01aebc9cddd7cb4dbeedbffecd479f65,Виза,Положил
718c2fadaa56464f2a0cbc23efabe552c9a39b0d629f14f7362b545b3a2fabf7,Ас-Коко,Положил
d22d582ae099a42943e0f6d861d5852345da1e47a426b58b689a2f7c88cf4007,АСХ Хирда,Положил
a0e02f3aca92fea1b25be5e331a5a9de184bb94677c97e85f687f21b462bddc9,Алфа 2018,Не положил
9b06ff6099a21263809688b1cdef24b09e4132bb190a8196041fc5e409f8a77d,Беко Бс Дооел,Положил
f9b24fa243cef59a02afa71e4d40f3dca74b631b4ba0081892392ecf47042fe8,Шкорпион Обука,Не положил
c415c7e85c376870941280ee640ae4c565bed15363a0895111f83f40f20c63cc,Арт,Положил
1a1b71bc7d42ccb2bac1d29e8e932a8c72d0f0eac20e581e3fa02422a2004feb,Тримоски,Не положил
9584f74cc5814653d9dc85d906d7a005ee58498328c37631d226ff81779de324,Ива Обука,Положил
72cd0d02edc7a3d18b70aea7c5b615d144c62d30183be7004a30afa6cedcd6de,Мобилити Плус,Положил
d0e613b29399e78d31b4e2577652ee05790936f6c5184811012cc133fb404adc,Шкорпион,Не положил
59f723d5bccddc8502e016ca6acfd02616b29b9588e9444760d34e61ef936b5a,Панда-ЛТД,Положил
9bc1b2c489695f0e38311574daae592ee5be7fb862ba793b3054942ec3e1e087,Емилија,Положил
efb3fded1379c0d43c51c8517647637ca29330f61d4377b1e012053aa48c6553,АР-ДИ,Положил
cb78f65e593ea99f34fb50adfd91a17c5c8ce2154aefa98fe16187872a37c5ec,Шкорпион,Положил
61b9e1209f24ce358feeff47122ba0d67031add682385637bd3476e2130bfe1c,Кекец-О,Не положил
3386954f525ef22da8b8ce5373e1e3adfd7cbb70f059e1500ad39e8d1b8c17b9,Шкорпион С 2014,Положил
9c9b14be09acebe8f8e1fd3d2fd7b8a67e1361fd64ac36d917c7ca25d067f93a,СМАРТ,Не положил
3514252c35d1ff84f4fe3104fbb8c32dc8decd1821dce5f59943e93669840440,Деива Обука 2001,Положил
e991662f8896493a931e0d4e61abd63b91f275bab3a11b364adc959f8bf07d9a,Алфа 2018,Положил
20cdb2f4ab6ad274b57be9198fa846db37a1a5ba973e97a302a179c34d147c5d,Идол,Положил
754d12eb6b1238d5b867226f8f9408aeb606fee34329fd4e1c0fdc5fef2ad775,Мартин,Положил
3adc529918fcad047ecef189bc716fa62fd4cfaa375c956e5027dde731ad7515,АР-ДИ,Положил
f26078b39a4f60eb40d642b10030947eef945be92a03809f9fc4aa4d9f6e33a6,Зелен Сигнал,Положил
440580fed5bff8136d032825b41f3f3fecdcc0c99319cd5f03abb030a72cce16,Ива Обука,Положил
544aff91e838b1f679be54b6b5f6f83cce37cbd27a6efde2736f73fb7c2f2e73,СМАРТ,Положил
