"Име, име на родител и презиме",Автошкола,Резултат
859f97c29a66c42d6ea143ab9e3c37d2a711399e0434c896f9104dd079b0f987,Ел Хилал - Јуниор,Положил
76bb34c530409df77674ea17ad196cf24cd2d3667a2670075f60b6aee7dc42fe,Зелен Сигнал,Положил
692d64712893a33d4036a4f04181d65b394dba777e33d384dea7f69f8aec91de,Софи-Скул,Положил
d41cb05af00861c5339af5d8f7e1166a74ccee9a8a28eab82ae54922c26b44d9,/,Не положил
04206380c57e56a752454c8b6ecd4c736e8791a6632d7e3fe79c0aad65f5a0eb,Тримоски,Положил
b94fdfecb1b49e9eb0cabaa6785217d54d034d9156dba4c072d6bafc57d6dd72,Зебра АБЦ Дооел,Положил
69457a085c876c0187d436599d0c681dc222f2907fbf26eb3aa3016e8e6e9835,Шкорпион Обука,Положил
a29a44843a629d16b5c97f169847def85c8fc57131d6ab5b1c48c1c8e034294f,Алфа 2018,Положил
e33d3e0ff0a006619343336b32475b981a94de8970ec992d2c44511214530252,Тримоски,Не положил
a1b8869068f8e0ac6499641e88c13a3f9ca5e42738bb9926f3f4cec7bcab11fa,Зелен Сигнал,Не положил
a17632bc00af6b9d44c83835ba6d381d403526e102fc2cbefb74dcbc48d5bdc4,Зебра АБЦ Дооел,Положил
7f21f5ad00e86b1d7ecdedd950d8b2895380ec401297d4711ebbd3980cd3c5f1,/,Положил
038ce4de6197f3c7bb01f9d9a02fd935183e3e2a7d5d4592fc2fce8d05090410,Мобилити,Положил
c08b8bd8d99125bf3953808f6b6664b33f05273fc64241b1fe13d2392cf09c44,Зебра АБЦ Дооел,Положил
d582c69fdd060fcda1d16396c0439e64eab4a9c99970cad3171c5e4723b830b4,Беко Бс Дооел,Положил
c2a72d7756fd15230c40553579fde1fc1c4294517a2df4bd4600c916543cbf8a,Мартин,Положил
d960bc0cd48a8bac1d01f86e5b688b5f43e8c6ddf6527241fc09c288b8f57a6b,Шкорпион,Не положил
ce43c7e95e62b52bbb323fba84588c91d173982f5bf6d18a914cf5821166220f,Кекец-О,Положил
0a406956ab2ec7a4a41b8d5eba290e9ebf65088db24f0acde46c5ff5cab425c0,Деива Обука 2001,Положил
42ae9a8adaa07b5ddf16146770533499a3d8732f6c071770934b1c7669da06f3,СМАРТ,Не положил
8cbb61bf531db85c4a00d47ecfc1c5cf52caac2e12dedf4824c914726c987712,Сигурност ЛНБ,Положил
e596364576653b921b9da59045b8f5a800bcfe2ad4d05e36e1ccbb2e7c2ab67f,Ива Обука,Положил
6330fa67088fb776073e3fdb6a528e4c58550defa975f8673c30c66af5d12882,Кекец-О,Положил
29156b878bbac056c3b0a09b45a41bcbe767560bdc04c256397480b9f8bbc2aa,Елита дривинг,Положил
aca58728b33f4ace81cd1f2881b4f1cb4792a0479c8ade511089ae18847517b2,Ас-Коко,Не положил
dcec9981c9e292ef27e1acec2c611d4f1fba4afdc2d7e64c1d61cd4e0e69515e,Идол,Не положил
beda0d863922d403a5142b3ab174e8c065532183e62467a5954478e87da9073b,Мобилити,Не положил
f8f9bb4dd48575c1aea19a50e29e7e0bf49d697a72d1fef0a359dd128942f7c6,Нова-Нова,Положил
c46d597752fd1f1b24deb909d32982c8ad495b8436e011445c1f4af4cc2cc4d9,АСХ Хирда,Не положил
2f1459eb8215c75e0a2c31d11d66b70f4a36f5d43c10b82d25cc18b04abda67f,Деива Обука 2001,Положил
efada55825d24c39419dbad1d2af91c8161eaba9b0b3d3008351fe3637a64a29,Шкорпион Обука,Положил
931ae13290eb9007ec0ff2b1542db0bf68f58d9c5a8ed1473afdc482f3a1aba2,Бобием,Положил
c1d9392395ad8cea7b7ce89fc8973e90f1b70e98ff968562def4e6058fc4cea5,Болана ком,Положил
d26c4c247821b4f3236c966ca97685c1e8dcf52605db74124a61f86e44c84990,Европски Возач ДООЕЛ Скопје,Положил
cd2a02063d5ddc73fc697c8d9ccaa3ae404527a4f1f71d660f6b743ec1a86aa6,АВТОМАК Гоце,Положил
6ff2c3b1b8dca1be4f3e664ef1e6e367d5d12fb2f8a916abbeeb4f9533c1d1a0,Шкорпион,Положил
f52f90a82450a9cde302727f7ae105a88bf964881e827b30fc4ddb97db5f628f,Ас-Коко,Положил
4cfde0090b78483acb89053e138a2e5b3d8602ac62a2efa7df1f364fec102697,Алфа 2018,Положил
6d65867a1fa3c45af7f1f49656bb7325d33290189ba20cf2ac59f127d9bf6ef7,Деива Обука 2001,Положил
b1e48871d772eca2569ab98c3487df228191db3c001472317600c29dd4ac4561,Емилија,Положил
9b8c19d3f5b00de9723e60de4aec806eb6fcb943b6091e73f21619b2f4af93c7,Ива Обука,Положил
835b896a5966f87b5c782e88c9468ce561febe088783ab1e8166012a6dc6f911,Тримоски,Положил
ae22faebae2c6634a2f0e9d07ce5f7c639c5c26032260be7cbd964f5adb69525,Шкорпион,Положил
fae2e8b48aa3f413218988b9f315641db717314d1e052cbd0ebaf79497a0a40c,Шкорпион,Положил
10910011819ff33bfa1fb8d6f4b108432647d1507595571ad2a6d960efbc4fdc,БУЛЕВАРД 2024,Положил
a1b2cc181c0f8a41a126f0b2ee894559a2f2d84985b3f5c83548d9aba40e359e,Ива Обука,Положил
cec37b6b232633b381688673166431fc26a434d56ad1c0952430ab779dd92890,АВТОМАК Гоце,Положил
f546728c943cfc24b540a69a5b564d4dc871460479a469cab88b2f3b66ee4d34,Виза,Положил
7cc43ce84aed0ccc525e056c5cece9963806b1d65d9d9aac7c71d3a03f7ed06c,Кекец-О,Положил
f6cf5a22041b6bf036b06c351e38806f9dd7f3adf84f8f21fc2a833190a49ffa,Арт,Не положил
674990ca5dc78e4bd7d3f5b8928fc9bd957caa204b11027985787a1a70f3a5b5,Шкорпион,Не положил
0ab70f0acaee6bb7b5b88206243afec83ee41dcc43384ac241a0187c771aa3fc,Арт,Положил
ac9407c96fc3ad73268e1317d0d841bb649b4f2e62564d885f5707f297b0ee2c,АР-ДИ,Положил
0bbc58507e8a147372957627cd3b080834c88d80774419d45c5f0107fe121590,Ива Обука,Положил
1dec0d36b449d17917a1ac02e78122da98d4e470fb8f0cabb261e90592364bfa,Шкорпион Едукација,Положил
bc07bb72e77916719cead913e4284f33114b64b425adf67cecdc38e10037deb8,Мартин,Положил
d45f7a146f0b07a64d924ac55cd08153962edc413d624dd5d0501f0bbcc254ba,Ива Обука,Положил
b5acb83e62abce38881a0302ab5696f1cad5d6027c914202f4947fdcb1f1b66b,Ива Обука,Положил
7c5aacfa22848cc40c6e025e22fc32cdaf6483dd48eddae7f73d0b57de00fb63,Ел Хилал - Јуниор,Не положил
c67eb4101f61a24ebb7ca5865982056c15c1b8fccceee289a801d5143a9c4f90,АР-ДИ,Положил
7886dbc315d9d7217cea5ebbcae89f43a8cc4b3d1392daa228acc30f1a5eb020,Зелен Сигнал,Положил
d5e7c7a912734b332c3232fee11b55ac536e63ddf26958f6704f5356bfa00414,Зелен Сигнал,Не положил
9c1ca34afbe65f5ca4207e958bdf8fc890eee7a7516bd9e8a49f25f1e3456daa,Зебра АБЦ Дооел,Положил
9ca4bce23666d7f57c908fee32d50546e10523130af50e4d5cc3da9578676513,Ива Обука,Не положил
39d15193892bf5c13f7349f13cc04293e50d95da8a63fe430790fa7b9a3270c0,АР-ДИ,Не положил
342ab850eee40e23f1ceba2e4de437755b7fefae0f82cd4bdfabd5df17b45e3d,Европски Возач ДООЕЛ Скопје,Положил
a8cffe351303e78f4d6a97f4d0da193e1f099412a05ba35f1391caf68c065cfd,Идол,Не положил
94d62f2bcaf7f1dd3f9696f21931d7f82168e197f1ffd15a9e32e0df3fd5db8f,Тримоски,Положил
1ce7bd217427ad005883ff4ff8ba1395832d514c4e1189577b0d2bbba1e21a03,Кекец-О,Не положил
26150503c97ff7c1a3acf0a1f0dff5a9b32fe8ea073678b9753a50055dd3bc44,Деива Обука 2001,Не положил
e7ba3ec4e3eabea401389e1f93321fc10c5df4dd510c1a00763bf11ad7ae36c3,Алфа 2018,Положил
64f7524eff426d5b52b2e9f6a54cf32c00237b05e75c6146d4d8f3f259872fbc,Ива Обука,Положил
d95b32da34f155a22b43826470e76cfce5c2b71aa72768d6aa322d65e9881250,АР-ДИ,Положил
c9664757ae1760e9562992d094e5f43158f22a35ba39e3c729f409cf85d73811,М 22 Маријана 2015,Положил
fd2cdb3b4524e0f498fb2def87699c68b5014f48296b0c139d7a576b749ae6c8,Ива Обука,Положил
877caf2d4d461000e53b476b77ad25dedb6ee05d55be72933a924c1f9f991d54,Елита дривинг,Не положил
a1fa06ebe5453412df1c307576089b34c8d5c8ad11ad7bbd2880cec7f663b257,АСХ Хирда,Положил
81ce75ffb45629c4d20af0878e00803c706030b7da92e5f504216b6c8086ca3e,Болана ком,Не положил
03ffe8b94e85ea07e8466608ccdbd2802d05222a4df4bafa4d83e959ce030ab6,Арт,Положил
a3038dc1da72fa362b08e5f7ca98221697e0ea13fe7c78da757602e8160ee88d,Ива Обука,Положил
