"Име, име на родител и презиме",Автошкола,Резултат
5f5510570ab8717a66ed9d9912f05a9b044a33f99a4822d6c2e961f54b8249b7,Кекец-О,Положил
93bc15935b761e3ef9ed1776af8e25d4b3dd47e1e261318a40c124227b71b8f1,Зелен Сигнал,Положил
b7202d853a3f30206c6fac9e1157f8d92ba58766cb5171e4be446674a903cc4d,АР-ДИ,Положил
f15651015055b7204b2d836a7711ac20a9c5335939e88929bb2cb5d0f00e78b9,Ива Обука,Положил
dec187003534b1e4b1cdecef1d7eddbae7a6c854f3841c43f21e183b12f1b175,Деива Обука 2001,Положил
fa2b33036d3399136d9bc16197287b456e554109936132404fe377f2da2b2f9d,Тримоски,Положил
d5a69fcfc6cf85697e133cf40a0eeb934f86f2a6f6add3601a6c370f84094ee5,Кекец-О,Положил
7402f41edb8e9e1a9e299c36dda2c6708856e4616b5282329e848aaed3986bf7,Сигурност ГТБ,Положил
adf78d191d75e2d99dcce0ee2220631dfaafbf1220e99417d2fe4bea2bffb47b,Брм брм Л,Положил
dbbc4a13b6b788b121170d074b6826de8ba4cbdf7e6f051fc7d47d0b757d6313,АР-ДИ,Не положил
be69d46ea477f30fe41e44007fc3f28359d7ed050edbca14b54197e87c55cdb3,Ас-Коко,Не положил
00c1465f043ceecd212f265aa7d3168a5965c1f7e461b37633ff26bdc808ea03,СМАРТ,Положил
c1069bb8b0a4eb4786911b5ebc449db0d3142d6f8779ccf25b90c5b1b909d617,Софи-Скул,Положил
5c025cc24b90648f4109897ba24ceccf1ac90326e27a61c0c597d924783077a7,Мартин,Не положил
4f50f735fb3f6790fb44e931e00c7fb961bbf714a53d72a7455921b870d6836d,Бобием,Положил
56e7ec254fe2ddb415b5ab723fa15117fca0c518f49188995a06e6f93a0f4ffc,Деива Обука 2001,Положил
5d0228583129270b6e4f365aa67ce9c9d830de17d2ff40d7d5b03f9ffc061bc4,Шкорпион,Положил
b5d3dd1e3f1ab1c9120ded11a53159347fc33057b03750032e3eccd811c8e301,Зелен Сигнал,Положил
0cf4901c031133546cecb27ce05f2d3df2dc74310963e3a63d8d3df796f91363,Зелен Сигнал,Положил
6326e92e7df1348cec850cd1185a315279a8f6374119570495716b7969873018,Ас-Коко,Положил
b84d8dd5227bfd45e13b53c524e0c21f3e2ecd45e8dc0f23715dee7072a4e2a5,М 22 Маријана 2015,Положил
f52f90a82450a9cde302727f7ae105a88bf964881e827b30fc4ddb97db5f628f,Ас-Коко,Не положил
bb78bc1238a7619f2be1e3c47463f95da4785f332111d219ba0e32d15f344be3,Шкорпион,Положил
eccad93f91c0f9d1ae7ad556fdbfd966cb766ac5aa270a5671561469c5285cdd,Шкорпион,Положил
4f1348ede81d0772476f95b06619e872d0b26543b398689a6d39e4b679e964b7,Идол,Не положил
954b7a37aca5cdc5d76913c591c1a31dd0193e60c37d9c27923abcb21de513d3,Кекец-О,Положил
6015527b3868b6cda5d5d04895128c11a3657d1f3b7054cdeab6bb3c9dd16c6f,Кекец-О,Положил
547714f46314f9221dc8d4e93e8917c4cb89925ac53641c29607b865ca5af7ac,Идол,Положил
85e205e7abf121dde446686f9338a275a44c29cc1c517b369506865f4db91e30,Софи-Скул,Положил
f005ee3c1ebbb5cd156263e24d8172e15ebb5d209bb34a797a02ca4efae8a139,Алфа 2018,Положил
f7287deb8a6e122ae0bd5360dc923497fb20c85d3a03951302506498735ca95a,Арт,Положил
192da427a87c45b4aa10d059f66d54d3f09b41496f07f4eaee4d263438beffb8,Деива Обука 2001,Положил
127035ec9612d4918c2e4c630017e3ea201991d2f3a66a27c3eb0e183f8e9528,Тримоски,Положил
a49e3c8ce9fe79dd3323425b690bedbdc633706760bad048002adfc17b32c04f,Бене Трејд 53,Положил
296625a2ba10bfd41645722113862a154b7e3dccde728d7cb54c4431cd196c3a,Кекец-О,Положил
