"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
6b144e8592d6fbefd0deeaddf19b0443a7a4076eb5fb4b26a8c97286044337e5,Кекец-О,Не положил,,0.0
766626cca903ea90939650fe351607d555ded745e9cbac40c3e23fbad4614175,АВТОМАК Гоце,Не положил,male,0.98
0bb4550abd3a355d1bca725dbeeff03925a51503c613c666e38e2e947389b1bd,АР-ДИ,Не положил,male,1.0
518696af60713d6424cc1edffae44c85e17c8b6a45fcdc4da902e31a0029430b,Арт,Не положил,male,0.98
96ab358b7d53d40d45c90825184daa80575e2fd3bed5ef45d3bb260b8d66c89b,Ел Хилал - Јуниор,Не положил,male,0.91
5da1e63be46aa7222883d1b1d7407d504854adb1ab00eabe0075edd6bd34755c,Шкорпион С 2014,Не положил,female,0.97
4436cc1cc59e1e3fa0af797bda182f7615b3eb2cebffbb5c46eafb29e730100a,Зебра АБЦ Дооел,Не положил,,0.0
b5e778b41732f4deed7baf405353f9eeba796cee3069aa18c692ee541dd64e99,Струга-ком,Не положил,,0.0
0425c195a4a32499376b030d83c5938fe9dd24e41187fbb541a1b0427c9c8b35,Ел Хилал - Јуниор,Не положил,,0.0
561640ebde8a7a366f1375f768ddf3df8e8b1fa47aab26d9c5166bc3d575571c,Зелен Сигнал,Не положил,,0.0
01c111bda3d51a92289bd885a6233c19bfde638d9984d47becfb7a853cb35f7e,Деива Обука 2001,Не положил,,0.0
468fb388835ab52245d63d542e6f9679e84b58b6cfe39ccedfcc901cf35d844d,Емилија,Не положил,,0.0
75d3ebde22237b75bfd107c7ea7ab44aa076e9f6506c553400e27033d0461a51,АР-ДИ,Не положил,female,0.99
ee07c25ececf3f8bc6443053f22cfe7628f5046bfe27d1d18c78147dc05e72f4,Струга-ком,Положил,,0.0
23fa05eb5483d116b6bfb920ebdfed746c42069f36389d30312cb175543039e2,Зебра АБЦ Дооел,Не положил,female,0.98
b232e0b9b21302672e451319c331bffe31132133cd1e1529a60dcefb6f2c5748,Зелен Сигнал,Не положил,female,0.98
992e0d5b9054e38e93d022a345874067c0673160733a66159f4f69cb82b9469a,АСХ Хирда,Положил,female,0.98
3f283c6ec7779843587695bc1a6e0af715168de6ff97811422d767eb83e79763,Сигурност ГТБ,Не положил,female,1.0
59cf32f35bcad3fdf0786c866fc21b5dbebf1b2badd5799456faf3b6f801c8eb,Шкорпион,Не положил,,0.0
721a7be535cd3a5326196808be4d0f01a5807baeb7d51a997141c050a0994fb5,Шкорпион,Не положил,male,0.69
26630a666d4e080bab519fead4713e5fb074d31eba08ac6cb0ceda5cb1ed1860,Идол,Положил,,0.0
3353dd1e102d00bfa952ecf7e1e4e2864ea420b17c731a96821e2ba3e43129b6,Шкорпион,Положил,,0.0
20890b95e57398aae5b346703e24376c2f207632fc58b40421e0a34335a86ab3,Европски Возач ДООЕЛ Скопје,Не положил,,0.0
01b2886e9499a988d611a240bbede3b5c74cc6ada84c3a87a35b9be4d4f6b6ae,Ел Хилал - Јуниор,Не положил,female,1.0
