"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
424e5bb7639428cdd489f1783e3f02d3fc9523740ead27c201f617de3e3405df,АР-ДИ,Положил,male,0.96
ad9fa7f178c574406f024903ce536509349915c82d8aead9f4d3ca5672dc59e2,АР-ДИ,Положил,male,0.97
b402028271307c2ab58cad8fdfee5e9377a35d1e9d17768600abddca90076750,Кекец-О,Положил,,0.0
5feedad6576fe3d33debcb123386e59ea14ea00f715c5579738d88a829e69035,АСХ Хирда,Положил,male,0.93
ee578a39698198aa91dd2ad94cfab2d2fff6506f4bdf756c9e5557c147ad0f34,АСХ Хирда,Положил,male,0.98
c68e77ec63211f216762efbeb4255b87caafbb5e7d57a1e7aff87ab9a242e6bb,Софи-Скул,Не положил,,0.0
e6b32df068943655a1ef2bdbf80a58e0384596ae9a1494279b1a988f6299f44b,Шкорпион,Положил,male,0.99
7a084940e4cf3803342538c9f90ba37945c779eee520aeb1aae2976a63cf6dd9,Арт,Не положил,male,0.97
ab8ca70767a7f9620afb22f4577499dbd02e65a0b845604c7dceea8e07e9ad17,Болана ком,Положил,male,0.99
265ebbb2262a0f5bfee6fddecbcebfd0fa165492e06db0d13a74c897769dec3e,Формула уно,Положил,,0.0
ccaae14d9ccbe28545ced6b547007b7f67ca958509f2314bc3f1ffce5161957c,Мартин,Положил,male,0.96
edc99120028e13f534811e0b9672bd92bb8a762cf37501ed810f081a25615cd5,АСУЦ Боро Петрушевски,Не положил,male,0.91
9b3d8ab1cedc16e2b20029a10e0c6b2f3414ee028ba9c765a634f8772d64a0ba,Ива Обука,Положил,,0.0
040d65f8413bfc7390d35abbab8f99d665806da20f28fa257320c11225ce90db,АСУЦ Боро Петрушевски,Не положил,,0.0
3db7c11c55a40339575b934103db8461fa969e8b99fc5260fd9b10fe4f8fbf2e,АР-ДИ,Положил,male,0.52
b2f1b175c8201b1c2cb7599dc7d8e0dfa916e2c2e26d503be40c83ef2bdc98ef,Зелен Сигнал,Положил,female,1.0
6ed1e6cbb5a64371a878435253bdaa6af6819ac3959957d6688e2c0fc207854f,Деива Обука 2001,Положил,male,0.89
1c679fff4e3afd780aa02762bc015009f1547ba336cace467db8260bc2dd8e22,Бене Трејд 53,Положил,,0.0
b8d89bd8b981e253d2d2b4310299a3bc33a5ae49166e5a238b7fec8fab027d14,Мартин,Не положил,,0.0
9ef00dfe5bd727655876fc21e4612cb3e2eb23b495a90b6f1dd91c655bde11ec,Ел Хилал - Јуниор,Не положил,,0.0
97601f636b5feb59bdaca20226d9eed862f79e44a36e6d83ded89e14c25a4f6f,Ива Обука,Положил,male,0.96
ce492f2c83aaf51da64276fb36b4b34abe5e129c853eb7e411bab2c41d36f222,Зебра АБЦ Дооел,Положил,,0.0
bc11c308875c70d84e8fe77166b308539c10b04f0e0d24840f17ced0fd3e6643,АР-ДИ,Положил,male,0.97
