"Име, име на родител и презиме",Автошкола,Резултат
e787aee6d59cc5bcc890c172de19635257420c9ea9d2f629b3e289fb60f9d40b,Арт,Не положил
9d3be0663617edcf25875b253dd8d70e5f921aea978c2ac9c0a8f251cb22c432,Елита дривинг,Не положил
954332e34359213cab8a8cdfdbd4f439db0b957c002c1baedbc8fc2d1e0dc69b,Деива Обука 2001,Не положил
9b5eb0cbd32a32f3fc0a51295866324ac5eb6756e04932f9ce2a3f7a7542b96f,Беко Бс Дооел,Положил
bc8a0e91313ada38681f5a1df7ba4da3042c734d0571421ebd7becaac92035dd,Шкорпион Обука,Не положил
ad2e421885ccc4fbb22b3f431f75234638f08cd71c6787aabef93fad0726fce6,Ива Обука,Положил
ea90a75d2d9f170e44713af6939eb90f24f35e9ab1153b0f48becce025284203,Шкорпион С 2014,Не положил
a40989d1766f101e2520516a3180de8ff03a7e52767e4eb15b94d516033c9e15,Алфа 2018,Не положил
3c3193b15641df0fc90fbae6243424ee863a1cefb45ec05333354f0d9fb0c3c8,Алфа 2018,Не положил
e2297215ef3135bc05280149313eb0a7dd757719743d9fe8765c88b7de82c3ff,Нова-Нова,Не положил
8f4992b9230d020b0407b255167dda596f6f67b90ce255eac274253844fb54b6,Емилија,Не положил
c64f14f84f4578defba7a730a24e57e6c490a1e2854d42063903e4cc3dfd693c,АСХ Хирда,Не положил
0fe2a61fe1b87e901501e10af66837ec7f16c3c254654269e0c94b3ca2652572,Ива Обука,Положил
3f1914bd329d162f26a648667d0081b6ebb53fc92e5e568ebe75b412f58fbecb,Мобилити Плус,Не положил
6f7f203270420e3b748c4c31391950971fc43ed347eea55fc93ba5785c48b87a,Елита дривинг,Не положил
aa179d47c1303bcdc99976fd9327c799c83d6f118ec5165fb1266b9d03b627fa,Зелен Сигнал,Не положил
b651083485abbe7d4292201dc4dcb89643a035d81bc547d3023e68640303efc8,Елита дривинг,Не положил
91b80deb4cf91a271e6b8549be0126e7f58361d517cc5e77f82745ca87774833,Зелен Сигнал,Положил
3aa685572445fa7b9d6ff6374660f12287e0e2c27e6ab3104610943c49dcaf41,Ива Обука,Не положил
1376be0e75bf9ec68aaa164298e1e24597285a1f131f9bf3d0ee43344f1345da,АР-ДИ,Не положил
df3682e663e7aca87290742754066419cd3f819d7ee6c76178480d439d2769db,Ива Обука,Не положил
f8cc304ed27664dd5f9f086e0663cc47970b1e58ef4e000328fb9a628e6eaca9,Зелен Сигнал,Не положил
b37c8906dffa99b1f6c4abfb95d95766ea4c2292539203d91ddb0c759ac50f8f,Ас-Коко,Не положил
670ba8a54a67da7cc1d4ee2b84db319b834a62fb0f902f2fb073dbe62c0b82fb,АСХ Хирда,Не положил
32fcbf886899456acfa41fb1eb9570e63e6aac4b7a7b019febf1bbd7f83f76ef,Шкорпион,Не положил
6c0024f46f6f7ec996a8ac55dfd959f398d768a28e7889feba77a9647c08476a,Шкорпион,Положил
bf3d29902531a4471b2dfb2373a2e52c4c746d53a701bbda8a6aec85b98f6f6e,Шкорпион,Не положил
ebc325dfda54d047344d78687283d16cd7b362031b5a1960d92c28ea38c0029c,Деива Обука 2001,Не положил
85f097a95ab9dcdcfdcba4ba0eb305e2b3a6d7c2583429f7d1a2166d6e82cfe6,АСУЦ Боро Петрушевски,Не положил
d043d0c81659915ed5ec6879cad5040ad9c52f5942fabaab46602a948b25b265,Кекец-О,Не положил
097376d4ddfa66a1c8c60075cbd0dbe1983e99a09a933cb35bbe9533d553ad12,Кекец-О,Положил
e3591163f3222b6803f661db8791966ab84447e50d27d935c25e67d99c7bb5cc,Зебра АБЦ Дооел,Не положил
f430a22e9ae5c597ee1fa13e8aad0694258a5ae290cf3a504b0f9523d3a7a241,Мартин,Не положил
f67c97208673c75ecc8ec04fed8434d7f1b63a9ba1cc17d082e63589aa58cafb,Мобилити плус,Не положил
621a3222bd8a6ae27dc6fe15a35987cb75f6158f551043cc51ec6a012979494d,Идол,Не положил
863f84599732801ac68600202aa1113d9a5038a87471a3bd187ea4615329cdde,Кекец-О,Не се појавил
611c01ca010d85990a3266d3e02195ca1882544cd7b34b888c7ec9343525c108,АР-ДИ,Не положил
ba8f85b58ad95555d4ed8c156da58d90fb067c0df38cdc96d3ab384c1e641f84,Бобием,Не положил
15f4c1333ecd5fba8a224f3ae02b88bfeb93f22cb5829c509092d93fda9ae9de,Беко Бс Дооел,Не положил
f34168b06971cd8d4030109957f8b28bde774e3682e6e33a86c27aa9fa89e699,АСХ Хирда,Не положил
52e384dda05ba165a90637bd3bbcc46fc70c0b7926435bc95a4a19d2c15138af,Ива Обука,Положил
f82d1e9cea0755dac1f8ecfddf9702d1db14639d30308f4bda35fe8058c38c2f,АР-ДИ,Не положил
3e396c45b01efab3811eb6e75237d24f82853b30f303994fbc358d7732e75570,Зелен Сигнал,Не положил
f605ad2d363db34251942c8220545395f8dc98916e0d207bfaed3cb07845be41,Деива Обука 2001,Не положил
a5a5814b5e381e18c33efac0ea6ff56e83c8e5617af898081f085a9c866cc7d8,Зелен Сигнал,Не положил
28bd6b714f624368e011a1cafe59722fe110a8038343c284e83ab3a1b1ef60bc,АР-ДИ,Не положил
2a68ca5844386f28408f41b7ca670a718f70e522f4716565957c01fc9d83717a,Ас-Коко,Не положил
819f134375342e0d12cb4795e6b67ad05591d707a676a407dfd70f7960af8bd8,Кекец-О,Не положил
