"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
ffa0385693cced301126c72d288482cdbe6ad9722ff5bc90093afb444598eb5a,Софи-Скул,Положил,,0.0
1f1e81e954df79209c3fc452b824a168ec9fb19bf1471388f4663dfc124ef9fc,Зелен Сигнал,Не положил,female,0.97
727bd6412910134ffba99848365b9c9d297f0388dd7ab7ab328e9d0f0c8d77ba,Зелен Сигнал,Не положил,male,0.97
79c330be491ce34487812b80df120f227a08acd2672ad09716525af8a8f1ec5b,Болана ком,Не положил,male,0.83
2d2cb622bcb96c6625733bf43a9df6278bf077b17b4c32752a46bf30074ebcd1,Бобием,Не положил,,0.0
4b8f9cfb6f64ac1745ec710e7899ad0f94aed75d197fe9819778980c87968bec,Банкина,Не положил,male,0.9
65e088ae9cc9bb2ac0fed734304949352122f18c69765b63d8811b3cf669eb0a,М 22 Марјана,Положил,male,1.0
d1f6a6b2857b244e540ee1fe56c6679fbd6f5c26d4d486d6d1a352fd2af6531b,Мартин,Не положил,female,0.98
c5ec96e2eb0f119b52dab39ded2e9c0a7dc8a2b616b2b704aecfcec9d4d2c3d5,Банкина,Не положил,female,0.98
bdc03cae65892aa9c4f926e5f78e048cb44d6df6cabf8e5f9bc8e80bea28db7d,Кекец-О,Не положил,female,0.98
e8634d47b9706f008f9e3ac45224e5601bdf38e3f2ec2489675240d4dd21f3fd,Кекец-О,Не положил,male,0.95
ccfe0374585c75cc5d71970b9d8cc581b7651b5d2d715ca42d3897f861a50a01,Елита дривинг,Не положил,female,0.96
0ad77d21c0383b298fdccd328e99fd1b17567bb8f1f0b288cb827b60de16325d,Арт,Не положил,female,0.95
8f605efc213ce6d467a916a99b67118efa5bf475e4cfd3ed55b603c7d6e3a982,Арт,Не положил,,0.0
5b2675ea4c417491ca036a3ab56445e585ea330e66c24e75082823dea533d84d,Панда-ЛТД,Не положил,male,0.93
b7e61ec8da324421b216c7b8370cbf9aaf470b5be0454899bbca69fcadea93b0,АСУЦ Боро Петрушевски,Не положил,female,0.98
806f899ab403551f5d819eb8bb1ceb9bf4b7e34c04cee9b91bffbb707745712e,Шкорпион,Не положил,female,0.98
8e1b331cfe168eb6c6e6c7ca019e261fa20534f7cadc45f026850ee263b04ca1,Шкорпион С 2014,Положил,male,0.68
a806be79954c03d095042b32730cdb78404c542ecb552b541eab14f07b553da3,Мартин,Не положил,female,0.99
e8509873a5e7ea76a948ed4e11613e45b908fa0d80136d48f98cc8f08f747d31,Бене Трејд 53,Не положил,female,0.99
bc8c954bdc60ccd2b744aa91842ff210cc365e15d1f96dcc8e984fc05a92f63a,Деива Обука 2001,Не положил,female,0.98
c960153ca3485336e3e6e7bf93aca1a5ea0e654b792cab929fea2e7e60546da4,Алфа 2018,Не положил,female,0.98
c59600e0607cdd03dbcb266a27f9d14aa4d5e468f1bbb499f49b4996a5d4beac,Арт,Не положил,female,0.88
b08f704928fcb14cd8e3a76fdf80648bea9d3d08c06d858604efeb8935842152,Шкорпион Обука,Не положил,male,0.96
ca1c5a3925d1870ea41e76e060098b498a831476480c4f3ec3040cf42c3d53a5,АР-ДИ,Не положил,female,0.96
56a2625f1015e8ab679c5e77097a8e9d072bfa96940c24f499f6cde40c4f720d,Кекец-О,Положил,male,0.98
2f2bfcbf93d535a7acb750fe7cda7c473dc725efdb98bb7e4baf5861a8c9e2c3,Ас-Коко,Не положил,male,1.0
c3848bafbd81a7cb7f28a055ea11f2e13069da6d800be1f39c9517da15a1e4dc,АСХ Хирда,Не положил,male,1.0
f685afd9abfd871e9ea36e1a6e6bbb5392f028a9c47cec37cd7edad80679dd4b,Шкорпион Обука,Не положил,female,0.89
f2b0face41dcf66dc0baa0e449589df08cecd5a659311e6d9f735dd1990fdfb7,АСХ Хирда,Не положил,female,0.75
2b9e10cc3423eadde75c9a1dfc155535610ef1222c0bda0bc2b9e55a7012f54e,Болана ком,Не положил,,0.0
8596f17b583ca9596a0f844c3775008fa9f01f48d783bc0d2eedf53521a993d0,Софи-Скул,Положил,,0.0
1bc57c0c7d86bcff38b864e46e6ea7188acc6f8087c1a12e4a469e19480fc241,Кекец-О,Не положил,male,0.99
e789bb1c22a2adace03e945b5d98945e0c92189cb964e10204fba36e23b3035a,Тримоски,Положил,male,0.99
54154c34523b4fade5b671140aee7ef0efd092165681182eeaa00efba6a6e046,Арт,Положил,,0.0
1838221d605c631acfa1ea1bb77e57e35fc6997201f714bccb843966df140893,Брм брм Л,Не положил,male,0.97
1cc1f98e89a50323437719ecb65fc7980647f553ba86812e513fe6d91c0da74b,Ива Обука,Не положил,male,0.97
20b338d97524b19e0f0c43107812127b7b14a0eb365e345de8b562ce1c98d62c,Мобилити Плус,Не положил,male,1.0
8b82df78bba11d52d19f6589b36dc5869ac4584aac03d101d47c820953928986,Шкорпион,Не положил,male,0.99
c44e814da1dfadea321653537af185cbb825374178f21728beba519e76ee8672,АСХ Хирда,Не положил,female,0.98
d12ac086dd3b3143a0c9a51b8f49a266d689313a9ea5425544e72a719918ddb0,Идол,Не положил,male,0.99
79fe8d0e08e2dc913977b413d5a16bfbf95267bd94378bee82cad6eba8a4b880,Кекец-О,Не положил,,0.0
981208a8010cf4a65560abeaee65598b3bc7372a69fdf9fc3fd71b209241bf9e,Кекец-О,Не положил,male,0.99
773f31dd8881bce1a73f5f3141e6652824472bdfee9a053cd3516aa41e81d0ae,Шкорпион,Не положил,male,0.99
4ffa5d3ff5f9011b4a4ad5363ff9d8109526f0b81a66bfadb943c50a09408c01,Нико- феникс,Не положил,male,0.99
91dbad4f348d45598bc3d7da0865ccbdafae03e03450311dd7265fd93bd6a2a3,Кекец-О,Положил,,0.0
cb8ad5985b398505c6df6c788a3ca793ba07c262859d230a3052707b68e5adb4,Бобием,Положил,male,0.99
9a31b1732d5b0edbcd7989c60ec905f734a23fed6b7dcda55052a60081581a4b,Деива Обука 2001,Не положил,male,0.99
b7d8d2f24e244cecfc8e7c5d825dc37bb4b926ff189d3b51c9ca852ad7a395de,Тримоски,Положил,male,0.99
eb3ad34b13b6fc8dc3cdcf2a3a2dd50a353dfd2516543a5974700931100000f9,АР-ДИ,Положил,male,0.93
0f516e509d6daf8f434e57bed395a7b32395e54b735caecbb119dfd43329b9bb,АСХ Хирда,Положил,female,0.96
3ac0d791d30a7db3eb13b727a75e0750f3e9edd10b94c8dbf5bd5fbfe52294ec,М22 М22 Дооел,Не положил,male,0.97
6bd4dc0b2b671af9db3ca3b2de2789bff65a3b845aaef1491e6feec017c6c2c2,Болана ком,Не положил,female,0.97
6509261d9f88306fe654918e39d2dcf3f00479d13e4d49e4c53940bca5b9a067,Шкорпион С 2014,Не положил,female,0.99
95c1654fe033345968e3a9007926f1411c107e4dbd80f683aefc6a6805ffce86,Болана ком,Не положил,female,0.99
98225f9973e0215eb32f8905737b7666c35e3f5501d48c9a6910832e7a1f5af0,Кекец-О,Не положил,female,0.99
ae3587d099b192b4c3103dde04631708ab0ebbbc90d5a81d9481c0132984753b,М 22 Маријана 2015,Положил,female,0.99
5cccab9e4c03058542b4ebb23006f74d18313cbc21bb1ec51f7d3d2ca95bd8a9,Идол,Не положил,female,0.99
1542d7aaa42914a2e7313b56bb62d8bf932c0ca2d521224f53a5508be85e56b2,Панда-ЛТД,Не положил,female,0.97
d7b9d9c6cbadc325f67e2136a26736755ba79dd1a5915c975c801b145556a96e,Шкорпион С 2014,Положил,,0.0
ee6efbd65ff40caaece2c4a33f6e59fc390de66bbd040bc65fea8e7779f3bb2f,Зелен Сигнал,Положил,female,0.97
909dd4ba0837384c5aaf16e4ec6ab2707bcc75f1e6a087be6006a45a124872e8,Зелен Сигнал,Не положил,female,0.6
d419b12a9fe849c3ba310ccca4be03e7a9b65896e3be74c82a1cf42164130272,Идол,Положил,male,0.99
537a08ea1e228128cf221c1624546f20714a83d731f03bbd4b53186f8d18a433,АР-ДИ,Не положил,male,0.91
ab4bc583457693f790def27bd6b9c30c1dde706119b9da53ebe39b6c1d10709b,Алфа 2018,Не положил,female,0.98
12140475aaf6d4abcb2bff5b2699eccdf0c58c0d532bb75528bea92bafedc3e4,АВТОМАК Гоце,Не положил,male,0.99
221ef8bd7a7be16b83354b0f21bc20db66bdca7d4939efd540ea120a63df8d58,АВТОМАК Гоце,Не положил,female,0.99
8d7ba1fefe5fd9d9834e2a391ca68b9c94ca36be51922444758e150ba466068d,Банкина,Положил,female,0.99
1891fc345523bec54ab38840ffcfad30976a938de1bc55a77969140fd480fd80,Бобием,Положил,female,0.98
6f6d7f0bcf2cff5b90ce9ff30773bf830e03b3d875ad4ccd628b6ee4e3baf126,Деива Обука 2001,Не положил,female,0.99
16290f4191506d0c110f4ad1bc4fa3341fa08c9fb7100f5e9ab751cc4b834259,Шкорпион С 2014,Не положил,female,0.87
976e27b5ce2694f843b5a260f87b03d3a9f8c6b9658182973b7cb76acf5baff5,Софи-Скул,Не положил,female,0.87
5667943e690038d2fa99726c723aa88bd5098d110b4c3acc25e8cb3195ab297f,АР-ДИ,Не положил,male,0.96
f4910545e67096312351e5a6b7d65b156ede64d93c8faafad4dc7d304a33f16c,Кекец-О,Положил,male,0.96
f8518ad7bb069ef3c88fe1a4263e1762e2eb722b79eb135f9b7a2f5ff735bac5,Европски Возач ДООЕЛ Скопје,Не положил,,0.0
86bd21e8942d13078e18fdb9f3feb468d1be059b92c16e2a1f753bdb67616048,Шкорпион,Положил,,0.0
3cf25ad2c3019399584ea94620eb750aa2eb85efc8428b9845468b4632d2ae1a,Шкорпион,Не положил,,0.0
649cdc9a161ed0e348f27f9cfbd6b003b495e8fec977f9506e81c0b2ce5d65c2,Кекец-О,Не положил,,0.0
42ce4963574a94aabfd40ee8881b7e0786c0b8942812a7978e22b991d88d9148,АР-ДИ,Не положил,female,0.9
