"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
9838aa87824ac99b85ff18b7d8db8406f5e2aa7fd75cfa44120ee36feb005116,Бене Трејд 53,Положил,female,0.94
18f163cce1fd36398fd6c1764dad6820d8d71a58b5adb5df056ccc788bf15567,Ива Обука,Не положил,male,0.96
6582d4ccd9e35ae67ed7758d2e854b0a73212ee63632a09e7ac2c76fc29f07dc,Панда-ЛТД,Не положил,female,0.99
38603f22d9bf484c8d4b693829a605d17a4ae9818c2472d106cf59b31f79b447,Ел Хилал - Јуниор,Не положил,female,0.97
98bf06ae7988924aa38e80614aa5f60f4250d8060037e5e8f3aea1aca9d95a54,Арт,Положил,female,0.97
a8ed0503bfaeab00bfbe17224f5a02e954b28f9f26ae8494c827cebc0f986136,Зелен Сигнал,Не положил,female,1.0
890628acf48a09507fc04a1942ebadaf79b4d6b76b558ae5a91285ef5c76773f,Струга-ком,Не положил,female,1.0
ccbc4faf770c5c6ae9fce25cff880557ca19eaa2c1e4dd46943f3e9eae981b54,Мартин,Положил,male,1.0
da3c4f0600d783d1fb28ca7c2d6b0b278dead8be31d6e4d7012647d73b8db24d,Шкорпион Обука,Не положил,male,1.0
4ca83d82a30a74c6b4d42b6bc372b6f601fbed65867d9557d67e99c532037b8d,Панда-ЛТД,Не положил,male,1.0
d30f2f38430fd48fe0516fc7a18f3bdcf60492f22fd7ec33c14f817fed654ea0,Шкорпион,Положил,male,1.0
5e0489bf40e4bb3d2f2b4b3d01223918e86acf814c6ee141eade2d1e5e43d05c,АСХ Хирда,Положил,male,1.0
53f11bbc34aff78ed793941d2bf3ae9d6039bee0d326a652ffd93497361eb1ac,Ива Обука,Не положил,female,1.0
7e1cf76c17c6eca1295285a720dd3535db2b4037e1a130e1db63cdc8a3e0369e,М22 М22 Дооел,Положил,,0.0
8442acc339f4d6743ebc5a53bc6df1adf0f8995eab33b2fdc2a5881e56163836,АВТОМАК Гоце,Не положил,,0.0
3a0a7891cbf7831c4b9e0a648d83e6cb872577b5029ac080156e61583e3d6cbe,Шкорпион,Не положил,,0.0
89c62c9b4eaac042b59e8bf9a1f36044dc0bc5b6ede9096b1333dec2e8d88308,Автомак,Не положил,,0.0
16b754b9c22f72c9ec9550c95ee9578df7e7594b759cd9d1e17b8eba077ddcb8,Шкорпион Обука,Не положил,,0.0
9217872ffab36481dd0f4302fddfff1d3cadf46272eaf0e2dd1b30108932ffc6,Панда-ЛТД,Не положил,,0.0
c1c6c59819d5ed1a5fc7a6dc9d272bb8d9160c628a20f9841764c3f1d47024c8,Арт,Положил,male,0.99
e56aed0bc62c113066d5f7a4a263126ccb2a57c217a30ee5f7a07c647d93250c,Зелен Сигнал,Не положил,,0.0
ac482721d6bc50b5e15b0bb014ef9ae849924bce26f77e01c4ca0ef15dd442f6,АР-ДИ,Не положил,female,0.95
06e9650a0171cd25c5389436578ca20334210f06113e7128fe48ceae98656e95,Арт,Не положил,male,0.98
680852f05f89b8dc2a87a9efb64a57e7166d654a78e6197810cde786402ad76c,Зелен Сигнал,Не положил,male,0.98
abbc0ba9ac495db974612ee3e2c8e407a9a377937ec0832b1a1e1306ba1a583e,Виза,Не положил,female,0.93
e4ceb2479ee6f3a252309f83b79fb3f37d8cb456e776c388af414980a3c36a85,АР-ДИ,Не положил,male,0.95
f71f52ee7b6d72daf2b9f4ac2f0245344b308b52524555639cb374fa0600fd1f,Шкорпион Обука,Не положил,female,0.96
441271eccfdc573618520a3a343eae4942bb010713ad4cf0e07faa5c75011aa5,Елита дривинг,Не положил,female,0.99
12cf95273f16ebd1fec6f6ccb89a104360edaedf42e16b5dec49a3ade36edaf2,Бобием,Не положил,,0.0
