"Име, име на родител и презиме",Автошкола,Резултат
887bfabcd00d3fc047048686aa347d9a3ec07bce1313d07ed421bb1cae81946d,Ас-Коко,Положил
e5f54c5977a08c842b878682ffae0f6acd6db64dd3828069b6cfa0cddbe93e1d,Беко Бс Дооел,Положил
47229ae4d9aaea7245356ff1b839feb81a1d71d270c083903863dcf73a3bac42,Зелен Сигнал,Не положил
d96446e4a835f2e4b91bac1736f45fb2b60c11f2421db92ada4563c2d660c9cb,Шкорпион,Не положил
de26248a22b7eeef147d7ee0be4b2800796485ec1010fad50922b0edb47f1839,Сигурност ЛНБ,Положил
3c3193b15641df0fc90fbae6243424ee863a1cefb45ec05333354f0d9fb0c3c8,Алфа 2018,Положил
857425d2e49ba2e4758bc22108fa22d89c344e4bf633f3e4a198a655908ac938,Зебра АБЦ Дооел,Положил
69c2c0054d927346ab6c17df0f5796948d692fb034cf7c9e4d45690a4c533f3c,Зебра АБЦ Дооел,Положил
9d62e75246d773983acea6fe6c812fc55bf5d317310caf0688bbb3ea864f7170,Мобилити плус,Положил
51f0ae8f5dc77f3b8715387385625271d49e861f4adc5cebb1f8f7ef92409ad8,ЊУ ФОКС,Положил
9b8173caf7f67fffbaf2a6bec03426c65852c88be24ac3cdfd716caa2c1392b3,Европски Возач ДООЕЛ Скопје,Положил
a44e0fa9e27e3b5880e02cc18105e458f8181960b1f84ce02ff01cf6475d5239,Тримоски,Положил
3205b9ee60b52831b8c555cca7320ed892849ef4b8128af3c92ec1a76b13c7d8,Шкорпион С 2014,Положил
68023a6e94ccb43dc57a2c7dc2bc78023f59e557bfea05a073f77cb862a4fbe8,Европски Возач ДООЕЛ Скопје,Положил
5e56efe551a160d13cc7c5f5dbf52e465af77ae6c31cb39608c520103045e6fb,Европски Возач ДООЕЛ Скопје,Не положил
85a8d3a0aa26bb1f0a3abeea5bfc98392c4bd34a9eae20b3974b00d0eadcea24,Шкорпион,Положил
5444417ad974ea112fb73a9cdc2f42f325e7d720846c7965bffd204591ad9a0a,Европски Возач ДООЕЛ Скопје,Не се појавил
a2c4664b98daa102444f0182386628b653599a17851aaac592d4bd221cae90e5,Софи-Скул,Положил
f1c92b58a206d706585ae05d8d8e2b3fdd5494378fca56f70c995634836e2ebc,Деива Обука 2001,Не положил
5b1f139b32f8d5aee40b627d1a669a34b5900a3dc09a3d38641d1f75c301535a,АР-ДИ,Положил
