"Име, име на родител и презиме",Автошкола,Резултат
2b4563c528350721ff4b0d864a6614e20d162ce19d1e721bab69710aafc6818b,Зелен Сигнал,Не положил
c6dfa79301ac92236c3fa0adb62040c05a65c735cb74f14410185764356c32c8,АР-ДИ,Положил
01af44f2d87d0d61c030fdd77ed1a3306d380e0d3c52a19ca62a02ba9213f47e,Арт,Не положил
363aa8e0d99a836dc2b14377aaa892338774b914108e2ee8c22c488e3c860a4e,АР-ДИ,Положил
a75c00890a4f7de6c367137448b0de5985ab97df8901c026c5d2c96332da6fe4,Ива Обука,Положил
e8e9713b1f0bc09559482285df4b68d6175ffb032d8d397e1c883a7c6ba9786c,Зелен Сигнал,Положил
08e741a6d85f470fcb7b28744cb3c58023d2b76fbbb35debd64fad9ddf5cdaad,Старс Инженеринг,Положил
d6d0bfcdb93269ae7de7c217277e8fae4d9e1ebc403edb56a93b2ae4890e42f0,СМАРТ,Положил
4f52e9ea821c2257c31032bf9b5cd1a0ad9384cc7d39f9e841b16f72020bee74,Арт,Не положил
3420e2b3c4cc7a3b59c13e61884f3549015f9d329e96cbda96f622de53170cb7,ЊУ ФОКС,Не положил
a620a3c4bfb321d4ed8682c0740a9c89f4c12e5b35e9ab3a54fb20d8fd1afb7a,Беко Бс Дооел,Положил
c646721f6a79852e37528f38ec71c3fec72e83cac1ce85a23285b0ff81dc5c6c,Арт,Положил
c2fc3a3dcf0e1a885a0af75ce31a11317d3f22ce789ca98a3027195498cd062b,АР-ДИ,Положил
38b1d9039fd59efe2f7d7eaa6bd6662c08cb00a7c0c4d2a35e2403c71fb97c61,АСХ Хирда,Положил
1fb80c8486489d3d60001495d7e904b1bf61fdcfb96fabf9569fff0832ba082b,Болана ком,Положил
9c477aea522caceeddaeca5afa4fa92e6de0ebe64148ef0013f77222bee51063,АР-ДИ,Положил
c31f38b3f177129b4da0bc2acf15ae1bbe9bfa798a260ce0e069c8bb4bb01eea,Беко Бс Дооел,Положил
a0f63030e3920da52f2c64a3382369cf3a9daebd4669d3c10ab675da8226ae93,Арт,Не положил
cf9bb2a3c4807ef8aeb4085613d607d7489e11bbf3da5bd16458550e896899b5,Болана ком,Не положил
4d953c97ae80d14ff1928fc2290e0a4d205c8bed9025c2b0a835257f2bf71f16,Бобием,Положил
f3b733cfce7c90a1da85b0c662cca2dae3a48debe68d07338fefa4f303e16865,Кекец-О,Не положил
7297c6d80526504c56fc6aff88a99b04c810d9b05311b9b8845d3688e05094b8,Емилија,Не положил
a2b6fdf1c267970cd429e89690c268978bdac07e9742bd5e37a2fb878e1599c8,Зелен Сигнал,Положил
a23c68b4cbd5f09aa7b5e9365c36f0de61ef13a697259c68ed79a57b083c9519,АР-ДИ,Положил
48c2b76a5d18c0fc83972f2c36788caf0eb88eefd751be14df0212dbbf2c8f64,АР-ДИ,Положил
3d957654948f92854b5e52689150dfbab321e04d1a0762bd3d4e11a2b1e01f86,Идол,Положил
ac26cfc425e1f55ef0287af3f04ec901b9c6650f59ef3dfb56aa2febe7cc312a,АР-ДИ,Не положил
958f6f28dac2b9f084f12fe34f0fd95db37631fac38e2db01d558cd1824575de,АР-ДИ,Не положил
06c015e161c1709009508d6406c47976c65310bcffb61ef0f8c614a694b3042e,АР-ДИ,Положил
64c6245d581c90eb831eebed26cbb746c1253dc307d3f25639cb3088e2a29b36,Зебра АБЦ Дооел,Не положил
31a9cf6cbf351487f257aa48889087482228aa0f3508cda551ca1855d61ba520,АР-ДИ,Положил
e108fc90d9fa8ff023ca6c626ce8c876a7818f994dc301dc0a1be5f5c4987c97,Ива Обука,Не положил
f5b564b4ce1cb7eae388203faa899d9001596de4f57eceeb08f363b8d98efcc6,Идол,Не положил
88e90121ff1300086fcc63f1f32b48dc04f88cbda9bba05b1878018c3a1320ce,Шкорпион Обука,Положил
39d790412db52e55f5c6492d5451495ccc6e4fd97870dffde852ad408984fca0,Зелен Сигнал,Не положил
dde14297582eb20a59c9354d70ab7f47c350cd04e13df4447accb7bd5d306075,Алфа 2018,Положил
b1481b70ce8b70522148e313dec0d0c0a4f24f4105044318044accfab17398b9,Шкорпион С 2014,Положил
0123d56655b476b2681b02ce8aa4e2f1e8282f3cab5fea73fc51ade8faf404fe,Ел-Хилал-Хана,Положил
d8ad0f8a534295940af098bb4f1b9ef3799aa0d0c70e431951696fa2e958bb4c,Ел Хилал - Јуниор,Не положил
c06a47760df2574baf73dae60941fb30ea54bb4e1b38dc5c1dc7df705c40d764,Идол,Положил
037d05d9c9d833b06573c2d1ea812f9d3f177c515c616329c924facd748c0152,ЊУ ФОКС,Не положил
b601a7dd38bc8741143a956a7159d992fc4029cae360dd396b4a41b45dc896a8,Зелен Сигнал,Положил
ee1a1e58a3e0aa2af5530416281ea7f68adb35713d372c5f979b64a9714fabc5,АР-ДИ,Положил
413cda5076c9436fb91ae0f9b04564da851f377a6efc2a6fa5ce1c8bf8d69ba4,Зелен Сигнал,Не положил
82b7847cb6ade55a530d7e0364a1b557e35bd7191ddc7a2ed0d4e58442e83263,Тримоски,Не положил
5a0c11c77e57fe68b38684cef85b4e3b224797c76ee3529d3d88f5063ad4305b,Софи-Скул,Положил
2ce345aa0823f4016a83703fa66f152aed001c363c8960ea6958d60d79edc7ed,Ел Хилал - Јуниор,Положил
739720e9be0164ac6eae8f00be8978c401fab5f0089709824f197fc47a17be9b,АР-ДИ,Не положил
44f081855195389b7f6feb9fde7bd70cd9573a1bea9b56285d304261ab20f36d,Мобилити Плус,Положил
e1be29900e9e6a61507bb52f7cb3e3dc981c138835de432943674b7c9bfc0c52,Арт,Положил
d720002b93a8149789a30115c4352960ae08d15186f112a2a2b03148db8f2b4b,Деива Обука 2001,Положил
5f30694f0b7928a7910bb46f3a8ad1e412d66a0d251c94e6cd0dd718a8c4a48d,Алфа 2018,Положил
8bac8fd11ac0676bbfd851655ea96291d29303bd473bdecb2b194540c4ec583b,Деива Обука 2001,Положил
5e2e60b4f6555f388d18ba0875b78745149ad5027e9b3169d56a0ede3c47cdb7,АР-ДИ,Положил
9f21a4c14e0b99f60b60fe94a068b16bf701d08ce388b04cc01c0725b623f051,АВТОМАК Гоце,Положил
eb8e6016027a378a793fa354e1c43c09fa8ff1f171e2267e8ddf097627249fdb,АР-ДИ,Положил
4a1ff8a9c7bce6f3142b48a29bf0df50fac05bfc46708faf28d580c89ad39c3b,Зелен Сигнал,Положил
90b9e9b3b8e845db0cfd1380c49f741f1672ca18a7ea8a628c389a0b41d004bf,Арт,Положил
538dc7bb282b783f618c909ac98ce150759fcfef05cff182dc2a5c97ac08b35b,Шкорпион,Положил
8988c7976e4992016a4bc5df19e1385fe3f68f4763f7fb31346b91ae15814d43,Ива Обука,Не положил
1c1391e54ecb824ada8bf31f7a558c56d300e9f306ea6a380ef7988d19f1fb2e,Ел Хилал - Јуниор,Не положил
7b39ffc021f6cfea31c19ff4275e4bf38773372a06cffc564ff192cf2ba126b9,Мобилити плус,Положил
f6a72356ffb145b213aea31c5137b1671ec3a0a2ea01d2919a4e18c5ae23fb7b,Кекец-О,Положил
399fe62c624bed9482d692fa7fa8de886dca031863b3fb4a2fb6466595741912,Софи-Скул,Положил
d59d58e0218ccb90130c140c6156c2f9ddf03c15a47e1ab319f6187f99cefe87,Беко Бс Дооел,Положил
