"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
90d3678aaa79f2419461b7a6ad8e098dbbd39c0fc2ba0c67afbbb19a3d9943d9,Зелен Сигнал,Не положил,female,0.69
d5b0098e16a396e794b3dbde3ad667a806be851935d8830c959d4a6fe7e7321a,АР-ДИ,Положил,female,0.98
452ea935e6f1d600a481a0efc5e2459a28623e4d2f16ea7ef6bb16217faeb30b,Ел Хилал - Јуниор,Не положил,male,0.98
0306c30de31aca99a30158f1eabc2e64a7918e4d420c57186e1f520b83658e2f,Елита дривинг,Положил,,0.0
a74558f5e17f8543117d60be822bdb91c875431a48d32ac0a1e4d735915ae927,Брм брм Л,Не положил,,0.0
7bb1d36b24e5f138a2a1ec47792e1b2f3ebeb756969fc4ddb8a8e6fc1dae86aa,Европски Возач ДООЕЛ Скопје,Не положил,male,1.0
aaec3c5407dc1ab2e14c3ed2197ec495b6106940d6d7955216e2129f4507fc67,АСХ Хирда,Положил,male,0.93
4d2deb0c4c6c5b995ffb87412cd01f68ff7b68461c6423b65590f38c2854317c,Шкорпион С 2014,Не положил,,0.0
33aee7a383057c6cfbf24ab5f2bd272121f8c3612b135214f2fa9ad734364df4,Деива Обука 2001,Не положил,,0.0
8a6d575ddf431f94023ba52a94fa4169565fdaca2d1ffbea29fab7626eb88ca3,Банкина,Не положил,male,0.69
0615c0d2d6f2985f413b38d6abd53935fe309df6cb84f5cf74f708f40606e7af,Кекец-О,Не положил,female,1.0
e3188f048b1527a565836945f1b100d89f4508b563788a15d2c360fe7f2615cb,Бобием,Не положил,,0.0
80dba7d431eac5f903f3da52cf3e0ff62e5ed418bab034f370f835eb0ad2e307,Зебра АБЦ Дооел,Не положил,female,1.0
7a5aee85bb356da9df95cff956185aaa1ab5866727667a93121312798c1b74ee,Зелен Сигнал,Не положил,female,0.96
8afe80483df56998de1c916d17049038221bd6463785ed8ae0c18644fa2b45de,Бобием,Положил,,0.0
9be7fc2d65e52d5629c892ec3d92f1b86ecc360e9d971b9b8fd94bf56fea0a78,АСХ Хирда,Не положил,female,0.73
c238e8179caba7f7cee119edfc39de7349f6a06226e077b9364da3dccf38eb8e,Алфа 2018,Не положил,male,0.98
