"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
7d96f2532ce794055d3f04f1de94f38494a21764bf9271c7cff7a0142ae5bc74,Кекец-О,/,male,1.0
bdbc1ac1e5992d2d38dbd9ec308aae244388607194fcda58d717e33544b9c8c6,Кекец-О,/,female,0.99
fa52c721614c9c70e10bc90d89330c51a2c07541e83151eaaa2e1fe31f63091c,Идол,/,male,0.98
6fbef64e2ecf50b20df93418e10a07f796a4467c85703b441d1219d80226a8be,АСХ Хирда,/,female,0.98
721a7be535cd3a5326196808be4d0f01a5807baeb7d51a997141c050a0994fb5,Шкорпион,Не положил,male,0.69
31f01addbd0fb95a2bd450101a6f866d743926ea7d2638250b491dbc6efa9187,Нова-Нова,/,female,1.0
34314e4f23757dcfe0255682f0832a0453d12d4e741b7a66677051e6009f8f66,Болана ком,Положил,,0.0
414c9b39a375d12d0b62f4195db718c07ba26d75178c8265634b6454199dfa6e,АВТОМАК Гоце,/,,0.0
2c3714e04d9af0ecea2b42cc5b2e8007c30cecfc6f598f1dff1bd360d7345a31,Мобилити Плус,/,,0.0
40e26d98931fb24726d116a7c8b6dff8a623b468ae12c8491788b136efa32b04,Ива Обука,/,male,1.0
2e4bdf95490412f16094547aed0fcd8fc0fa4c1f6cd40e8d92779c23d6335aac,Шкорпион,/,male,1.0
8a49a332603202a23574974d6dd4b3f71ad73168621b42ff21a431b908885cb3,Брм брм Л,/,male,0.99
367ab3b0ee982025a4fc302a6c4ee46d868e0d20001ae922f319f826954d919e,Зелен Сигнал,/,male,0.99
3bc5e573509423c01d10d704e0b8eb86a77f14a424de235bad7abe73133964b0,Ива Обука,/,male,1.0
0fa29d2688f7a8a383a1f0562c98fcfe3a21cc3d92179d4700ffec260c45abc5,Ива Обука,/,male,0.96
e4ceb2479ee6f3a252309f83b79fb3f37d8cb456e776c388af414980a3c36a85,АР-ДИ,Положил,male,0.95
3abaed7d83c2b932c182ee3ae637c4255ed9393b842f7fa9ed68fa9f688d9539,СМАРТ,/,,0.0
aa725df95226bf1caa44af5b426391a04c50a25cc5fab89108f2fe769e2c49d9,Софи-Скул,/,,0.0
441271eccfdc573618520a3a343eae4942bb010713ad4cf0e07faa5c75011aa5,Елита дривинг,Не положил,female,0.99
d0ef6475c637daa73c68c8ec3f11530162b38e0052e514fb2088b5e8b9c313a5,Шкорпион,/,,0.0
c8ab4ff81916f6d696cd759cac4b9bcf484c51308159a1c706c4f0c8b331528e,Ива Обука,/,male,1.0
a57ddbef4dee1944b2be4089a4d0ff1b854f6a6142ddb9c94265a2adb53982d6,Банкина,/,male,1.0
06c305cc4fa5734460331a1a14958f1e5e8ba86c81005c77ec6ef75ca2152d6b,Зелен Сигнал,/,,0.0
33d9a36a638c113c099c70f023c139ef1cfb89f0dc5b2661328d68e314cda665,АР-ДИ,/,female,0.64
f3565cfe354863baede1190ea8bedfd17f28101ebd0e6e57957e1f5f8356d550,АСУЦ Боро Петрушевски,/,,0.0
7a7352fa2e0938165ce4b8d0cbbf2456727adeb0eda926f4dc8e6c0b5f292d81,Ива Обука,/,female,0.99
d08bb7764cfe3a8b1516a37914dab74728587c5d5c076f5d2f661a933de852da,Мартин,/,female,0.99
4bbfa988817abfc9b3421fa7712c4021ec387317ea58e65f8f74ef87c610745c,М22 М22 Дооел,Не положил,male,1.0
2025ea1b8a7feaeb4bf18b60298e3a913a84ad332afef7415f0090213eca5fca,Мобилити плус,/,male,1.0
127027fc6d7d8ea89eab649e579ea53bb9388af3acb097dfeba3816139d16173,Ива Обука,Положил,male,1.0
c0d1e60e64e44caf972eaf7756bda7c59d8bcb7f2767ee4b9bb3e1a0f4af095d,Деива Обука 2001,/,male,1.0
d1f8bdccb96e560d7403fafbf4d880c42b8e24d59882541e7f9cc8e36253e9b6,/,/,male,0.68
ee80bac2b5c14565b21eade5408c4d9479385ac045653712eb2bd99cab3f4d37,Мобилити Плус,/,male,1.0
265fdb0a1a5699fae2a2f23916a8b409e919fad094c723999f3e1ffcbe481239,Тримоски,/,female,1.0
a52e933375ef7f453130bfdce7f5226100630ccf9b2d169b8e6ebd3104d7bc9a,Максигнал,/,male,0.99
c3023254d028861b3acbeceaad6facf88659629eceb35937b09dd740435c8707,Мобилити плус,/,,0.0
0b3dd313a23024ba0cfc88f13ebf9b8d7f025ff4e3c6695c50e097537639e739,Тримоски,/,female,0.99
ae39796b14ab8374168b59985f4c11f302a04e23b12f456f5e0b8cd8f2a7be01,Зелен Сигнал,Не положил,male,0.97
6aeccdba8f83c9a60d297458efb127ff4d9a59ff5e49da3e94e92b890120642c,АСХ Хирда,Не положил,male,0.86
bd7f3806cef6374342ffab2d763638ae56c9ef7311c2dfacd69b16e63676fbac,Софи-Скул,/,female,0.99
e87f54d0a06416a1c7396137321454520de4b1b3003a48e56bd6c84d3729e114,Бобием,Не положил,female,0.98
dd9efdbe8d22e6b5c6f6b4f0feea5a8f410059c04a1d3c17ca312cf9f03e07fc,АСХ Хирда,/,,0.0
ab26c750d2f38ae1bea62f6265bb5a5af0fb43137731e71a67dfb07cb82279c8,М22 М22 Дооел,/,female,0.9
e51a2439ba4e8ae21a174cd7ff64a60f45f00a19cb926f425ac9e544273bea18,Емилија,/,,0.0
2fee84ccd49b0eafd0bc79e08e856b0abb71cbf802882449d2837ddb1631a179,Шкорпион,Не положил,male,0.99
407b8efa771daa2ac9db36f578f8abf58bd39765ab3a24cde2ec98b0c360cc6c,Тримоски,/,male,0.99
f6a74482541e3285552d9c31856357f0c2ae7a82260080d641582fab267873e6,АР-ДИ,/,female,0.99
41482dec0024a4a63c07662d0cf548527db335b0c9f49f7075b219721d721377,АР-ДИ,/,male,0.65
f9e835e8df06816d723eb45facfa3325e0cced10903d18954ea5e84dfa6a005b,Зелен Сигнал,/,male,0.99
4be5e1afcf024afff3d7b75af10d39451e9404d006bf34e5b45e870049867467,Арт,Не положил,female,0.98
b269a1478d27ca1be7e4aff7686785d09c188ef79513fa3c5593bcd05fdba1c5,Идол,/,male,0.91
26f0740188a096f8e81e05df1388bf1d2522fa7c1f54c7de699dc2e4a3538145,Струга-ком,/,,0.0
3d7ab3469e2c9378decaa5ab82c92b8d0031e4af21a95e686b84c64bf5ef3078,Кекец-О,Не положил,,0.0
7b1e4fb5e4e6e598ff3125384ca58067331cf8d12f7da05ca7caddcd9f72c1fd,Мобилити Плус,/,male,1.0
03842559460a1a12359672ea0868557ddda66f43ba003c98f719f1b7119acec2,Алфа 2018,/,male,1.0
4a9cd9a691666daa708123d30c6b650e46606fdcbc45c5edb814d50d71c84f2d,Ива Обука,Не положил,male,1.0
9d07d38e5bb8bad2ed312a85837fcab49f6bb749918270b315b026d85d2d0e0c,Арт,Не положил,male,1.0
a4fcb7f85608dd25d0118bc01fb436cccfec24dd239c5afa91e33cefa18e1822,АСХ Хирда,/,female,0.73
5bca5761019538c3f249a3702fa46905c145a4bd6261fea70044f674d74f8f69,АР-ДИ,/,,0.0
6cdd53fe40900c280946aac229cbf77f8470690536a002a9acf6c5c5ac3bfe8c,Струга-ком,/,female,0.63
4b0d99bb089601c2eeb86e887a6c61d10526f35cc1a531b070051d7de62b7392,Арт,/,female,0.63
4e76dea309d4c128276d644c0a1de14bfb5382c7fef34a206e91bbe5901e980b,Ива Обука,/,male,0.99
80a2548c8dc42359896b941b4074ddb91c975834ad9f298a828c44bc19481419,Мобилити Плус,/,,0.0
576d3c4649cf6fc46471f0e5d5d2eead3e08b6a4133ff9e11f90a3dd13e8ee8e,Мартин,/,,0.0
91f64fbd29f18aea7b66c73e7e75c3e04621f31ec1e71858f7f72a227806b2db,Алфа 2018,Не положил,,0.0
90515e2a6b5de7aa3367a4d8206840ea883620f0c88477ecd4c65cbca38ceee4,Шкорпион,/,,0.0
30df243832de4d4ee48dcca9d843bc8fdc6d2739000c9a1fba9a4388dde6bf5c,Панда-ЛТД,/,,0.0
4a15de0c219de43e7273edd70dce145a5e0f4fa54388f4a3ad0807475880d0bc,Ива Обука,/,male,0.98
b5de37eea7de44938abf620fbe60324de4a5316e7077e5b57d3d9ef63fde21de,Алфа 2018,Не положил,male,1.0
26e8760480e44a8f0c0e21734dfa6ec7a31b25faf88d780d2df777d24e625c72,Мартин,/,female,1.0
d64cf1630e08e121fb66945a84ba377f8a2ca4018f3b8fb3556685e2a89c0ca4,Арт,/,male,0.98
c7f227f67676c24dd4bb72134b60df1ed937d00c0377ca1402ddeae29241dae9,Ас-Коко,/,male,0.91
31492999cc0dd7a26ddcc7f995dacefa3a375405ec8f874e60aa5159d985cb98,Кекец-О,/,male,0.88
5d97c1a85efdca08a4a76cef66654466a3f0e6fa85f578e31b283c4e3b885af0,Елита дривинг,Не положил,,0.0
2315c46888e08016d1735557e72b5281ca414b73fe35d56d5fb5dbcedb2845ce,Шкорпион,Не положил,,0.0
2a99f108823a07a68a98fe737c1d6110f271d57976bdf4db30dc6db27b1ef035,Зелен Сигнал,Не положил,,0.0
6d04a71df0ad588af07d8073b6a65ea7d4e11d66488e560ceebcef75c03dca28,Бобием,Положил,,0.0
f4d263994e72e47eaf126d1a0e62ea570c92fe7a322a6e14a1e9ad0ec6af9a26,Мобилити,Не положил,,0.0
250e0683b98c88a0cb704a7cadfad407e6860674fd78a284dc1d3650b167506c,Банкина,/,,0.0
f78985fdfffd4a31de10bdd133adafe3add1cee86b83bd2d408c03aed1742a9e,СМАРТ,Не положил,,0.0
ab9d89396ef6ec8e05a6adb9a966037e16e6ed92541339552dc0d3c27d55dd1a,Ива Обука,/,,0.0
def2a2d0aea45cd81ab393e277c675b15b6f426085a9c51d16684a179cc76e55,Брм брм Л,Не положил,female,0.99
b6be7f709ce4658351aee46f027bc9a95432d26d4250c18b45cfa313959c644e,Ас-Коко,/,male,1.0
52ffa51d30b4e277f06987c7a568e40db8390b8c94d8e0b82c402408939041fc,Идол,Положил,male,1.0
d6f8e4fdf24a5d5ab1bf18bcc3e734ccf1c680a7b28ae6bcd85e4c2c1ce6f1c7,Идол,Не положил,male,1.0
27cc05d116ab89fd4172fda61223212e08ba4bc7516ed22f46ae222e2ff7e599,Идол,/,male,1.0
ba467acdd68480684abcc52168fdfc26d900df1f52aba14ed16d974b8ea5c721,Мобилити Плус,/,male,1.0
8240e6a70bbc9f7dfa3cddb569a8400a5e29f020a4b9789049702bd8f49c01ed,Зелен Сигнал,/,,0.0
0485a69f468d49d920171265229214ebfdcf5ef1f22d8d7cf778b3befa2b11dd,АР-ДИ,/,,0.0
03701066eff9573cf08c6304699866bc13608fc25f6b1e5ce425f114c3f44340,Панда-ЛТД,/,female,0.98
60c18c08ed4df924525d91bf6cab717782b501b7369f6615184f9ebf56dea65d,АСХ Хирда,Не положил,male,0.98
36b10f8222e641f86ad6163ef6af3cbaca1b6f0dfca3c9af41d75c94ea100ccf,Шкорпион,/,male,0.75
c90677e1142b691565d347268ad23b26af4e71beceb6f5bf8fc7b304cc41181d,Мартин,Не положил,female,0.99
e313c873b44b079d130debcfa085571f9efa5301541bd9322f746b02c6933e22,Мартин,/,male,0.99
8aa6f0105088c9ed56a1dcf69aec9fe92f2064b1ccb7f192889d46688c818a9d,Шкорпион С 2014,/,female,1.0
d68adc293944101e88a81dd5266161dad4a10017e848c282544f62ba07d743cf,АСХ Хирда,/,female,0.97
f1d6f352ff1f659e5fd837d9592e7b501e3496151e7b51e80e6f030e71e50315,Драјв Скул,Положил,female,0.99
1113f4ca0fe1461c7aa67b44f8803826db5d1f4a4ae231519d630250ea0394bc,Ас-Коко,Не положил,female,0.99
1ff89c1fd7d0d5e01ea19c065414fb1dd6db0372b557794498ee9f2fd89ee8c1,Ива Обука,Не положил,male,0.55
3bf3be1e1c99cf0c109ecb5decf0e9c1f97740b6ca44e984113fe3827eb376da,АСХ Хирда,/,female,0.78
4a363f1e29d82be00409cb01bab8e9939a0b79769495be5cdbfcd43f855b23a9,Ива Обука,/,male,0.89
45ddf30fd9a6e1df6d4ca38d5b40083660d3eddf2973de0cf2e6340aee83732e,Емилија,/,,0.0
b86188a0e403e59e7a10d151d3990e8fcd8b87524e93ac8ae41195851eb09713,Шкорпион,/,male,1.0
f2d2480af134920da2979291b96b554690126bc4b945bfde4edaeccdc9789017,АСХ Хирда,/,female,0.99
7776e99b97cf5ecb8967be0d6718677e7c51405f56c03c5509fa2d44ab31ce9a,Шкорпион С 2014,/,,0.0
e9e1aac9362aa7e18bb225cc32458dcfbdb270d57d93ab1847ab6ddb76a7f14e,Мартин,/,male,0.57
7eeb6c4618fc96f5175621440dc28c1b0a42168e1022e7a3e2b0553341943955,Шкорпион С 2014,Не положил,,0.0
f7aa2e6298082531e5b9c07a19415356352f13c2c93f6453ed83751f0f257031,Ива Обука,Положил,male,0.99
91e50004157e16903328360466d5fdf26b0e6c3b5dfff94dd18b5542201e7d48,Арт,Не положил,male,1.0
