"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
728242b2ccf4f1f722b6ddf1e389a65c1fd048d98b61f641ee0b168f5937ca1e,Зелен Сигнал,Не положил,male,0.99
a2d70220bcd0bea4ad4ea31d21e05bbc0fbc62b057621c28a483323902083ff9,Шкорпион С 2014,Положил,male,1.0
8a6428dd62abab4d19e9e91b7d9b88934d0603de988a8439d7ae41f64363cb2b,Брм брм Л,Не положил,male,1.0
364e2919d023cd892291ebbf6538a08df11ab060d4045038d4663337f20b16f3,Виза,Положил,,0.0
788dbf163d91f7d45ee7635328f04f57356d9a377af3d91163af9cd433bcd8d7,АР-ДИ,Положил,female,0.77
b232e0b9b21302672e451319c331bffe31132133cd1e1529a60dcefb6f2c5748,Зелен Сигнал,Не положил,female,0.98
7f88f034958c56a02a591522c6146e709f6a30d1f01b6dbd14fa67eba9fdadfd,Ива Обука,Положил,,0.0
4e5b5f081a8109789069c72458b7b941478dc9891a0b410028d07287fe1b72bd,Европски Возач ДООЕЛ Скопје,Положил,female,1.0
1dea533c4054a1eadecc9820bc8f3830f9dbf281f0ea3091ce5539bc67cb7fac,Кекец-О,Положил,,0.0
3dc0023c53f450b0dc8a4d01b6514f2b9259e94a14e15c9613bfdb37285af23c,Зелен Сигнал,Положил,female,0.95
d7a62e6407f4921e320abd7cc6f833d23c7748b0ce457fdce7470595970256d0,Ива Обука,Положил,female,0.95
620ba12b34dd7e8942a8cb6693f3b9de1f0aec16dbfa323ec6fff080a802318e,Ива Обука,Положил,male,0.98
1e41e90c0f750c34e462eb5f516d03053b5eb9b2d70d78a0cd24c44854d2a8d8,Ас-Коко,Положил,male,0.98
725c047328013de8172fa117c1b4fd0e4021686db0fce18446296ff5de069fdd,Идол,Положил,male,0.99
759d94e2e1eefed82aa8e23a6d06a44767550be1a7e98e5b4fb6ce37d8816fd8,Алфа 2018,Положил,,0.0
707729adfa039ca80a37e88718492ce82ffe82ea6db03b12c8b91bf69e92cab7,АСУЦ Боро Петрушевски,Положил,,0.0
