"Име, име на родител и презиме",Автошкола,Резултат
c805a2de74b09d1b373c3471a13bcc65da210d742a2d6d2c8479ba242f4af71a,Арт,Положил
d389151707ff22199ed3d7ec4d23aa48434ab1d12680864e787cad59284ae61c,Зелен Сигнал,Положил
16e2ca9d60f5ec37a5be62a7d291c5eee9a39a7c9a620717841f3975e640629f,Ел Хилал - Јуниор,Не положил
e1ff91329da52bd0a9ec393d9a6730b4752abe337b33c2c3b67f1d361ce91a7d,Арт,Положил
c3d52ae21900c4678c3c7be6959190e64b873d1a625a4c928bad8bf4e40d0050,Арт,Не положил
312d9a9d6ea44509092107fc027e428bf5161a3d0bce172eb490798e3c958fce,Бене Трејд 53,Положил
28de77d4604cf245f4ca92d6dd9b7ef4d776904a08b3c8f23ec3fb1c25c338f2,Болана ком,Положил
7c2cc0eeac3ef3a9cc3ace7de56d676340ac185bb074969e892699f3d1173fac,Идол,Не положил
663b0b927829d3cd274f7100b3b9bacc86dca91934bc97562736d77f1ed8d88a,АСХ Хирда,Не положил
90a335f97c1b6e76bab50e8f1db0a23eb27f0ff93c42c9d05cd4706fa23e248d,АСХ Хирда,Не положил
afa21147233a8bd23ceb5ec7a957894653aae26b4b004f040bee004d7d17b0cc,АР-ДИ,Не положил
0b62e7700a497991da2e8cff59045257a8117cf9ea7d8d876c22561e46bde816,Идол,Положил
863a4243400c1d48126551abba4703643af5d2307f4f30701d157f45e08409b3,АСХ Хирда,Положил
0d9ab36f14f149e997d7a918ebe2abcbf9eaf3f2112905c82def6286e3eaac6f,Идол,Положил
0032c02872ccb66cc121bf99013c4c351a78e52084df14eafd3e6605105f6dc9,Европски Возач ДООЕЛ Скопје,Не положил
d2203e4397686bd8e7f607f67b688d155ae2aaee0f9780304d4a1d9a451ca678,Ас-Коко,Положил
56aefb20153f7454a7e0d345868ec9e0e9a30fee26a9691f24b9110dad23598b,АСХ Хирда,Положил
3560cba4f7477637395dead071e20ee32ecc4cd9a74569014261ad717a66c2cd,АР-ДИ,Положил
004a23fc28bdac732b420b324433533d353625dbd3d57c564889078a264edf99,Ива Обука,Положил
251df48676e81b174905212dc2f640e12191b13c8fed80c3e6c4304d905025d0,Алфа 2018,Положил
a81021c60554f1a42aaa4f1ccb10ee0ded7bb3966f1b5608473ccd011d88b4fe,Алфа 2018,Положил
9ca187d991929f458065cb4979e4b7ac607cddb548b87a217901bf4c96aff36e,Мобилити Плус,Положил
42547fa3a5c7f46f229ec69b561932c19b6aeee594f7dd3c4da48f2cafdf36f8,Ас-Коко,Не положил
3644abbf49dc4f8d330f914fd8a7e384decdac42b7ad1a3b529d05d6e0810e67,АР-ДИ,Положил
c481392bd070959d05b4740440a9533d81a394bfdcc55b56ccb2a0f55d9a113a,АСХ Хирда,Положил
bf7963507260539e86e9ee9610bf3d2056daca9be9ef51cae4118a7741b22a6f,М22 М22 Дооел,Не положил
5bf89161b1ef57d95ca71ca13d4d7061da4f8c6c3021622b20aa12801818eb15,СМАРТ,Положил
d02ae3b4ec29f7f5ab174a07a826e38e83d4e34a60b70574dded87f593d8902d,Ива Обука,Положил
016e34a0de733ed306d487b9c85a11ba150c01b176532ed0c6210000cfee2f06,Европски Возач ДООЕЛ Скопје,Положил
c3c16bec55e15f6d3e4087d48fa8fca98410c24bf04ded5a8b13663b30d24ec0,АР-ДИ,Положил
abbb25cc782ce3b510d7b7e0a239e0b36e021f30585a88da264c332e535497d3,Болана ком,Не положил
6dde6173f51abe3a6dd3a15a69f95abb733474a0ee80aece1f58e93c0a08426c,Зелен Сигнал,Положил
224081e65e5e5d0c477f24aabce06566ae7a1ef78f80002ad8646a7d335c9ce0,Деива Обука 2001,Не положил
a40d46ccaa6f0f61a7f4e13dfdc958e20c04e91dd24e2103bc50c6cf6b1cc005,Арт,Положил
e3603a8bac0b949500d522aeeca3a9585958500c658fc7bf0ac2ffed525abb5f,Идол,Положил
41f17cc35c3ead42de039050a2d29b64c8efbc3846aacc88054e2b382aa86ac2,М 22 Марјана,Не положил
cae97d847b6bbc31eedf8c5087599f860503ada3b5a698cde45ce73a1d5e59f9,СМАРТ,Положил
55bf8e995613fc2ed747a5bccf9189f080f253f94cd2411cf43b910d2fe0b8f9,Зелен Сигнал,Положил
458eaaa91cc94b93572b6cd159ca732ff99d4617bf13fca1091a2dc1f5f4e63c,Болана ком,Положил
a4ce406f15eadef451c3441ffbc58301b1a7d982f9c4e788f8aaf1f37c6135f2,Ива Обука,Не положил
dcde5c0fd21a97106f45ad578fc0d3ed8075d540018d56b63ab31b0422c5197d,Идол,Положил
1ede1c7aa2120813f41a0f9ad1766f3fdbe468e2072eca5e77e2556b3db2c89c,АСУЦ Боро Петрушевски,Положил
11905685e75ec3d4d3fee1100e81a21f4fd165826e07185724537a23e8499345,Шкорпион С 2014,Не положил
0128fc7b7529f6aceb3749bd64ad2929c836ccb7eb7aedb775d9195e043caacb,Автомак,Положил
c62fcf483ec5aa2927068680299da2c0bf3eae417d1fa15274b83b1e851fd6e3,Болана ком,Положил
112e0f8c4e28b33417ce9468d78abf75fca6af0eb835ec19ed9a3b062e6a7a9e,Шкорпион,Положил
ca833263f0151263b90efbd8092cf68ba1128c0dae3ad21be4819874519081cb,АР-ДИ,Положил
d6924b82284f12318499748a160c7d78f7497db25d23be5b3af1b3ec24cd8906,Зебра АБЦ Дооел,Положил
3dfcf95605d983cdf283ee969985bf699be7aa4ce8aad9ae24f7fd5de606a08c,Ел Хилал - Јуниор,Положил
ce4e83205fbad23b15604691788da0e3db4e13964429732b2d96c07cb2a2edeb,СМАРТ,Не положил
9d7b44030f7b9cb27224cffa2c0161a40c1bbe1e30e89ec81f18cfa8b7e9f814,Панда-ЛТД,Положил
0cceeb69ab92b13d6626d1439f218164484e75dc2b2471c0f6e2c88694bdc141,Шкорпион,Не положил
febd0e82083bc37f3b67fda2760160baaef538a6ef911d43bb8e6211ca1cb20f,Зелен Сигнал,Положил
1b054a959b95be8db74dc45dd88244ce8b5d15b51fd96d2dff366525ca782550,Ива Обука,Положил
663b31a60148137d844d1158d42bba4139a0759711051cbcfa927537e1ec4463,Зелен Сигнал,Не положил
85c63ac29aabd91f1499b0d1e3ddef9e83a61a7d8915a40359fb38dea51c345e,Емилија,Положил
4a405fe289e5c579311676c3c74c7257b64e615737ba7006da2a8285be775a65,Беко Бс Дооел,Положил
fea22e2daddf9d1f8fb6fd6ac0debf0eec0ffb7e0ab5bc173e7763862f86d6a5,Шкорпион,Положил
3d96f10e66995daa1488801410bef37de60ae8a1b58ccf004879b7bab08286a2,СМАРТ,Положил
9a3bf158b1354185d3a378b7cc655c29fb21794711a0e009bf7cc8e5b822905a,Шкорпион,Положил
4ae07f919d47ece922dd1e5291bc7fc23dbce61e858ce9c0d76d8e013fbef906,Тримоски,Положил
4e3c7e85620c341416dc8ca4c7b994f232f673573a65e9286b236b08479e3ef0,СМАРТ,Положил
