"Име, име на родител и презиме",Автошкола,Резултат
b15add100d40f3289be462e1202094e055534527eac7b1032f342e6270e0e482,Арт,Положил
b780c9a3153972881096885ee658f337c4d54c590b6b30fa9a77db54c9025caa,Арт,Не положил
abf5218e09db2e76d17b13213189b4d2718de37d2d0086a7c4249306364f3f6c,Ива Обука,Положил
cc461e69c4ff6cf9423cbd4c49d309cb67681993561160e434ae4d63390c515f,АСХ Хирда,Положил
64083df23031eb8f2b2b6c9a3f347fe5cc719fe3a7937fdf6d50bd7f3e168cfa,Зебра АБЦ Дооел,Положил
3c2ccba8bd34f298b38d6dad949e70aedd52bf5c2c0b38fe05cf5d839b93ea01,СМАРТ,Положил
32a9ff7c81bbea938dfb9862b72dc51200c38e0aa2b17d61ef8fe9b785668473,Алфа 2018,Положил
082eb50e6c1d28fddef2d9ac294642f90a41ce3685aa07ab130d9c7b7848e690,Кекец-О,Положил
e6bfdf20c11b2ce8644ee6f192431ce4f2c1f47e65982e25f1954417c7903345,Ива Обука,Положил
a4f56efe1d0e588ede060f1b997f262d8406526f0b7697bb6d1e533c8c9d243f,Мартин,Не положил
c1cc02f3e9d111dc2bdb8103e8dc0e9673d23749bd7fa69e572be81d2fce8d63,АР-ДИ,Не положил
0d4d5a8c2194c1952ee4f29bb273c63e6dfc5cf37624d5751cdc0e226d9f0be8,Емилија,Не се појавил
eb024c0d63d40c374d0ef5066e48a8fb893137d92bc18b25325b3818e376d312,Тримоски,Не положил
529dbc0aece66d6d29933a57c2ba2874cfd7ac3236c9ce59a268a367bbf95e1b,Банкина,Положил
f815e776f8b3f74797727cc171f6bb22b31e82da21dd73ad0d0e6e36c4b41f59,Зелен Сигнал,Положил
c365c3b0c26d6175f1e7a348b390bed30aa27d8fcca37f40f2ee048034f76562,Зелен Сигнал,Положил
52e6b601918ca447f7b00acd894bf36cdee59c73aaf1aabab08d40253b886b8b,Ива Обука,Положил
105d35ddbcbe39130ed1df8f564a714e89f8d23f68350c78c8108a7460bd831e,Шкорпион,Положил
18428aa50c7c877eea651925611955131c802c044c35b29da9d7c4756fef5277,Мобилити Плус,Не положил
0127f8bdaac58aa433cdfb62a434ba29f6e35bb9bad31a146c249ad5043ceb29,Шкорпион,Положил
61d60f30024a0e3597f2c8f5382326ce5d9a8e0abce528b7e34d9b09da538e5c,Деива Обука 2001,Положил
dedb65db0579f6a3d490da38b52af1370bc6b7b2757cbb605faf46d226a4bdc5,Бобием,Не положил
526cd8c432b8a6a0b47dc832c3e706b532b3ee51c181d0580cb2664153d21550,Драјв Скул,Не положил
ab7aa28aebd4028a0813038a483a436a05873c765d30f9759ab55d12e7af0a15,Бене Трејд 53,Положил
824052e97378e877446beb958d2cda0d2e8bacf8e5dbba56e3910c4a950cb381,Кекец-О,Не положил
389ee22234c6111c6a711adc71aa05e0ff5d7e6ecc2dce04617b8f56d42ddf4b,Мартин,Положил
3a805d2afc40db74b81d75db2ef5bf857ad4eb39c25329102a383e89ce45e287,Ас-Коко,Не положил
57419224dca5ce44f91b5b2392700e419e93e20bbf36e6a08603440d7ed344be,Елита дривинг,Положил
db0a42630e6887fd5d2d802e7a4f13e0aed49a777de3a29ac45e5d661258f991,Алфа 2018,Не положил
649a1319237c36fb6c40e87b991b63902032b4b7c7aa0234e3be89449db3b925,Арт,Не положил
896d791dc12d57f481f97c37b943a9de17c463b0348587b71a516ce9f9669bef,Зебра АБЦ Дооел,Не положил
a6d13443851e5ac1db7ec53b2d9516559ac4ba60dcc2f0063206b53e8f379672,АР-ДИ,Не положил
4b6b0b94a57429021c1f6c02baf4ca9fefd3250d081815e6d1f9b98fb7fddd34,Тримоски,Положил
6b23d4b0f5c2f53d7f6efa2a61e274a9ceaaf0cf7b488ea2f73b007be5729c50,АР-ДИ,Не положил
e030f94ec2b981bf921d1f3824f5c4f37856e9b2a28f8f2d06159f49bee46529,Зебра АБЦ Дооел,Не положил
a211ceb4d87187c816a26afff459ee8ab2bab8883b3fc512bb0c9754d5c1542f,Зелен Сигнал,Положил
08551c6a58a700abb14f457dd50b3fad6e1bffbf11fc8b7c6d2b45fa533674c5,Ива Обука,Положил
38454a4b73ed9f4087ecd58c834a753a168c2265dc062f7753be14dfb89cedcc,Ива Обука,Положил
567fec9e5e8828e7bdfacf0bab8d1eabb8b51a67880c309589ae59a0ce99c54d,Беко Бс Дооел,Положил
e8788f8dd12ca545cad030a545e42daadcb1caa5fa1d64e1b7bd116b29e76d8e,Шкорпион Обука,Не положил
662b3b567f6af30a9f62274069b0b1ebc37661724388de44edd9fb05db6ccc4e,Шкорпион,Положил
3320a0e960a0c691b6d523bbab28584cc5d92f02c6e89a1efacce2c997e123a5,Софи-Скул,Положил
3671ba758c99fcdeaf1a565592f07aed5e5bd6a001e6a99d9fb058defd2117ad,АСУЦ Боро Петрушевски,Положил
733b90a1e159f0505d897013d47ab6dce109ea9855ed90d060ca3908ab2516f0,Шкорпион С 2014,Положил
b40bfa4719ea25a587c878da04f798349f43d24bc7a802180ecda591b1d17984,Кекец-О,Положил
f266e8434993f19d860431549bf1e85ef841603d175a3a402170a2ee46998f14,Шкорпион,Положил
454bc362cf378fd4ed6b1c6015fc9f9048fcd645f7e5fdaf5a6824196afa4cc1,Мартин,Положил
2cd4669316e694d7b7dd84d79007539d87d1f68330752697b3819df313793499,Ива Обука,Не положил
896615ccaad3a8c1d49d47cc30e0c4eb778d2a5cbfe5ba1fcd711aa782ebcf72,Арт,Положил
d3e5e5fa9da45d15002b79ef7f0b6fb7cbec0e1d49a75c960e235db014e5c826,Ел Хилал - Јуниор,Не положил
6062b6f2a38745c9ef947f03c08efd5c8a970b2fac90e786fc3eac7b056b540a,Зебра АБЦ Дооел,Не положил
726ec1bb5f93c8e42315dc7df0a3b8c771a3baaeb553bd27a931575a1ca5830b,Шкорпион,Не положил
