"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
8331bdae1ab1f8cdc210e1881b5510c1ff6b03907e20e3643834de4a4ffacac5,Ива Обука,Не положил,male,0.98
ac360829683dd89edb5d996825e4526dddb4a8525d4a128dc3bea846991d2e5c,Ива Обука,Не положил,male,0.96
dc8906e2b20567b57ccc579d582d1aa89a39ea090a0e0bdc83cf0c1b7c3e60f4,АСХ Хирда,Не положил,male,0.97
79c330be491ce34487812b80df120f227a08acd2672ad09716525af8a8f1ec5b,Болана ком,Не положил,male,0.83
7ed49a703ca2b6c8f6d574bf2229091f33869897de4625dd55000be3f21ed0a0,Панда-ЛТД,Положил,female,0.97
75e31fe3f388a3b1e8e4adf91590b7b8c0d97c666f1b3794ab3df675a1482960,Зебра АБЦ Дооел,Не положил,,0.0
a8635aabbd69a3c3cdc42288985ad56c4f22963249487ffce335810a1a3258ba,Идол,Не положил,male,1.0
ed68e86acd6d51f123f936df89af7c245f97acd8faf1798285607243b54e7394,Шкорпион,Не положил,male,1.0
1bd615e71976ac0cdcaed218df7bb550c0976fe674b37b027735a0c0a3999a19,Банкина,Положил,male,1.0
ef08c08cb4e16120353712dd2a7420d438a8588452e58cf79f5f21e7be9c508d,Идол,Не положил,male,1.0
103c5f04f8cc2453aff43a44f1bd8c1468bc475f08289f91f79a54fb3f5664dc,Ива Обука,Не положил,male,1.0
0b868dee80cb196be81221856c8d8f4a37613fe0083c66ef04b2ddc7ea6bc8c6,Болана ком,Не положил,female,0.98
b0c1c8a827336f1339b8cb54dd2335b7b4e7e7e0bcf10576742ffc061f78f765,Боки,Положил,female,0.98
c75bf71b85ffa79209af0c4427637579a0911262a509ae95d34f6c03709733ea,М22 М22 Дооел,Не положил,female,0.98
fb54d7f080f53f52b2ddec44f506c7d7db6b6385288f8d556ba6b2d7dca89ff8,Мобилити плус,Не положил,female,0.97
96931a185c7750bdf8cb4e80da2899657a3897124b4dab4e7e1350dea157dbed,АР-ДИ,Не положил,,0.0
b766b353820f685e173ec70200e1dd00bed24eb9e1be3505dcc9beaad5d76725,Шкорпион,Не положил,female,0.98
d95e7d8dd2d2699463ea8740e46d7e4f24004aea4c2b7af912d38942198dd6af,АСУЦ Боро Петрушевски,Положил,male,0.62
36965aee32ce54e154bd920ff011c06bc9b81b79c484c33cb41b7b42c6785869,Европски Возач ДООЕЛ Скопје,Не положил,,0.0
9ffdb872c79ec54372d38d67aa4f5e5b0c041041bd790cd1db3bba2c69088a38,АСУЦ Боро Петрушевски,Не положил,female,0.98
1b8eb54e4e39839fa2813cf0de77ba2fe6423cfc1c86ac06145f013d4f4b7c53,Зебра АБЦ Дооел,Не положил,male,0.97
fcf352eb800bfd9f0a8aa0a98762722d64eaa30e08e57f783d65539c9e4208fb,АР-ДИ,Не положил,,0.0
da6ed6198c0dc38ba6799448821c57618cba78999a9cf861442a86b885df6888,Шкорпион,Не положил,male,0.98
796008391f5221ecc0b7d48e7dd24117c53415dab646e460db4a2497ef328e47,АР-ДИ,Не положил,,0.0
4f81b2eeed1133ce479b6d7efd768f8e554dc7f31e881ccfea68f69b767bdeb0,АР-ДИ,Не положил,female,0.89
395bbb092a41773466762e708ac33a9e6c259aefe6219ab135bc4dbdd4aef2e4,Брм брм Л,Не положил,,0.0
a26a098adfef6b036fc97bc5a546deb0db6006d57a084c907fd87e50f4902f8b,Струга-ком,Не положил,female,0.98
8c17fbc8f7bfefd6b4b16c77db7bf085fc27233d27a527c6ac289d253705ab02,Ива Обука,Положил,male,0.99
8f30e05da28f165ecc6d4fe5cea4571075ba36e3c17fc1ecf3055d41e81b11f5,М22 М22 Дооел,Не положил,male,0.98
c74945822a7a3c409d271fc9548804cd3a59256fb6751040b37d6ef88a5ec2f6,Ива Обука,Не положил,,0.0
1800f3abf09b94b12ab2def1ece1f671cfcd73e7094a2d5d1bf7c9f59a598f9c,Тримоски,Не положил,female,0.7
f2f421771262de4687848552c86c037973efafd846fb14bb3547ff1116eb0912,Ива Обука,Не положил,male,0.97
d3cd2dc5fe2954f7c288133d8549925201a3e641a2538c842a7739c1158b5fc1,Идол,Не положил,female,0.98
c3ba0442bead586ee2ce2d5c6517560f9f881b60a00dfdb79f2307eb4c6d5859,Ива Обука,Не положил,male,0.99
3a36d1ecf10c3c71b4db2aca36face36c439a3004e65cf783cb5a3c28faf5214,Мартин,Не положил,male,0.99
849fd7acf494394dc42bde246b98bcbf97d1c610b87a1098c32f9ff0f0617d70,Автомак,Не положил,,0.0
77cbc19d9ca4bfd0c5797ff427bee4c509dd3e09a91dfa255be5301e2d966e4e,АР-ДИ,Положил,male,1.0
f9bd7d08aaeb3b922386befc3467dc483d69da8695d1511ed0ea03e9f1c46072,Кекец-О,Не положил,female,0.98
707e2c9445f3d5b25273059fb4d04fdf7f2ce45ed1594a6a83cc4f5567d6cddb,АСХ Хирда,Не положил,male,0.95
3bf4369ba4dfd793b23fe273c0dfb20533eec30e0853e264c1dc89425d5e03a8,Шкорпион,Не положил,male,0.99
3a69068bc45503122543fb2ebf0a2d6bf05731847a9f1db5fc2a0f3036cb3e26,Ива Обука,Не положил,male,1.0
c5e638e7483aee939796f08bd0b8379d0ba5ee9c491c664b4bd19c46738482d0,Деива Обука 2001,Не положил,male,0.99
adeafb8ff5b8b7ca48c1ddae579f62f40f495b9f0002222f09c08a9db910eb1f,Шкорпион Обука,Не положил,,0.0
45dcbcad5e79c0dde216840152d028df185573f4c37148304cd26bee7cfc1f7b,Шкорпион,Положил,male,0.99
3bf9542bb92dfcf8bbc55c894dbb9746837e729b8d65c727510e7728c16100f8,Ас-Коко,Не положил,male,0.99
e435810649c74595f373539a0fd2f26f19ece2f44531107663677b52dbca54ae,Банкина,Не положил,male,0.99
892a7354257d7851fade4c36843f026b472a6184ec2fb487b051fd14605be8e9,Бобием,Положил,male,0.98
1a60978a45189449a6215ef37f4c50429a49b97afea24520922b766e0f26d43e,Мартин,Не положил,male,0.98
babc015fea2993fafe4b90ad822ff296bafa039a9ee29c3aa60e2f6a24e4f914,Ас-Коко,Не положил,male,0.97
e25d3ac04229f9d18efb8a1f5312b6695c26e1539a799c680884585b37a1f78b,Бене Трејд 53,Не положил,male,0.97
eba9bdfd17e82d6cd4bb4062fedc51ebecf0d5fd748807984d4c8302f5f25b01,Емилија,Положил,female,1.0
7e1afdd3ea614654ff6ec9e7c91d77af2070cf6417c5a7337ce91d445530dede,АСХ Хирда,Не положил,,0.0
3787b08e587407f9b2c2f05a561985f4cdb27b1c44a14cb3768617ea87397f67,Деива Обука 2001,Не положил,female,0.98
