"Име, име на родител и презиме",Автошкола,Резултат
aebecebd585a33a19d68018f5782cfcbd2df6ec04cc184a351a23c13413725ee,АСХ Хирда,Не положил
8e81a7a8b2c9d21312b3ab4f2a2cfdfb964824d943631839feee1d18de5ecd55,Шкорпион С 2014,Не положил
f7dd10d58d2fe81015e40046b7e57d4c3d086357f053eac9e007c1e993153e4a,Зебра АБЦ Дооел,Положил
0146513bde59d4fe74a46294bbc2d98705c1c3fd825dee76d620a909bfbaef2c,Болана ком,Не положил
aeb3e4fe5a5b4a6c5ad5644488b0c72c23a1b2c1a84a967e6b77c2010fca99fe,Арт,Не положил
1a72092a1b2a2fc39a9f113ae9dd8b524e63744194f24751fb028b2ae1d2ea2a,Зелен Сигнал,Положил
5a3f2ce29ffaab822d124f8a3213d5c8b1574b00bad72f74bf63f0825aac150a,Шкорпион Обука,Положил
61a5344f86b19fb16450dbb5cd50bf881a17f49a3063ae26171bd62fb6934840,СМАРТ,Не положил
4baed4a41bc49c6ef8298cc296d0c7b2c68a99731e5fd04a8947b33ca1eddd51,Европски Возач ДООЕЛ Скопје,Не положил
58e55b9e586efc342f101d13c8cfc563e1556832b98614bf1b932e67a5118a60,Беко Бс Дооел,Не положил
876be99a306eb62336b548decf3e897dcf08971d9e04d50ba6a7e0fefac6716c,Идол,Положил
e7b8f4834cdbfb2c3d6c33dfdb295f270f13b24a99594d61dbeb2899dc2554a8,Зелен Сигнал,Не положил
62b38a417c8f8cf99cbf05723d1103bc9baac8f78194a015021b3f6aeaa95dfe,Болана ком,Положил
1ce3719ab6e6a98edc33d072e74b4cfc9e44e0c2fe1e8e91a734bf72145a7339,Деива Обука 2001,Положил
d1fd982662130b7f3d18a400ada3df6939d2cf8fa6a152b1b3eb1d468a085ee5,АР-ДИ,Не положил
a9b2ff2bc5d450f43e0a66ae56c317b3cb739807b77a301ac3bcd3cd7b63dfcc,Зелен Сигнал,Не положил
86114baa3d20de89ef53f55cbf76b6e27a41fcb1f63e5abd767ebe2549686458,АР-ДИ,Не положил
c5dbbacbfac1084d7629edda9a1b637711eeb259bfbb931b513bd05a1efc0529,Кекец-О,Положил
8dcb4e5b6267aeddf1159ff7dc8046fc79c90cfb80b8a5eeae4af7d7dab7975f,Мартин,Положил
c2cb2ce744d9d26fd364836076a7ca48e51703923232abd3d5aa6508fd54cdfe,АР-ДИ,Не положил
49a0b34c97c60bfac7146e5fc65f6b20ea7bb76e804bd413634cc025beb07a94,Елита дривинг,Положил
759247df30c989967500a08539af4932cb680d0c406b1e438e4b4be9294c0067,Банкина,Положил
c98b6b3df14e11a1709f9a67852d99b39fab230a6576e817ed0aae4456b37ca2,Алфа 2018,Положил
ef0120a713a399f4d3d1bb296ddec5b836e798ebca741edae1f3e6ad1052bbf0,Мартин,Положил
813ab302f33da3178fabe39e09d1d70facd9c810b07c84ff12402872bef62224,Мобилити Плус,Не положил
117a042573d9d24226ff6f9a9397cfb613d661974452e7e6a7b476d3587c568e,Тримоски,Не положил
017c0829d0b3c8bda85d4f4c28ebc8ea1d8083ef68a6a779341879fa9404ced0,Автомото Друштво услуги ДООЕЛ Штип,Положил
cb3624e32e0d9559d14947be75e4bbb40fb92d632f6c4600df0e6c2b0af23749,Мартин,Положил
82f32dfb97443d573d4d3b17e5a34fc4735e94aae2a6cbffdbed9306e3bd22eb,Софи-Скул,Не положил
bf381df5ac350bfb55a4d627198bf7a58786a5b7500a538aa2feabac17b990f2,Ива Обука,Положил
a505158bf937595a830d178f38868590ab1400dc3b4bb304b31dc082b515f4ec,Алфа 2018,Положил
5aab7d29baad119927e9af37cdf54a10d53988e1e338d77bdefdfa72873c0894,Бобием,Положил
75332e9d5afa75a0b8a1424476015e3d2cd95d0b33a74b3b8b08161d5c5fa9f9,Зелен Сигнал,Не положил
f9799f1f6f3a968e206e676b51b0707f304dae7f7484dc7f0618fd3b2b7dc169,СМАРТ,Не положил
23c4122052a2faa9d73373aaf24843ec6f9d44da709fb1736956129d0df27f9f,Тримоски,Положил
2ccafac3f3035f561ef075166691fda698dc79e08758e0df6f68901ae1b6a67c,АСХ Хирда,Не положил
b9474befece84aa9378900718e76b233d6da544d83f66376d858c6655981e106,Шкорпион,Не положил
0c1d0e41f85fefdd1353dc875d7e2e72c76ce43d69cff852f044e4d2ae5f8e09,АР-ДИ,Не положил
7c54f459cec9d22e7812578bb9c8833f7d9264e781319620cf4c77d6f3e4636d,Софи-Скул,Не положил
82f8fcf5e6d9384bcbda2708e58b8e011b5e60dddd3382c8cb07019ec3f99371,Тримоски,Не положил
91982d30109eb7183ab3b008abbb8ca5e434f07d1792602ad87dafbf7ae20791,Зелен Сигнал,Не положил
f27f77ebf3bdc3c31e8a4bd04c03dcb8452967e0dda61c7a7e96267fceffae71,ЊУ ФОКС,Не положил
85246cb43ba9d98efaa03aa36bf3cb4f2b127138d0c3b1f6aff5b63cb622de3f,Мартин,Не положил
897fc7b4722aa12819d2a88a00c6fc937e56cb1dc77701e13075ffe7d4a510b4,Ива Обука,Не положил
a80b0be387aa219b8b162e35b7ef97f986dfa09fa861ee0ec782866ac016969c,Алфа 2018,Не положил
407633dffc272bb541ee4c370bdf351fb378b7b896f6008f8548a1780b7d33c9,Арт,Не положил
ef5adc6a4bb0bf6e50c37dc4267cdfc6db410a233b88f5d7406454f299fae2fb,Бобием,Не положил
86402905bb8d11278718f3cc47f7dae041ad55a4ed7a095ff8b1b10e4bc8f40d,АВТОМАК Гоце,Не положил
5145590d23fce3d55c653fb7a7d99e90a05269692b1bc68859826fa8ae9b50df,Елита дривинг,Не положил
12a771b79b2b57351554bae17484881e747b6adc5c512d9f0a0d07680d27b8bf,Елита дривинг,Не положил
8165c302a5dd9443c0e07b5f0e052e8ac0223ef7f86f5da89e4152145783b7fa,СМАРТ,Не положил
a31ffd92d3da62b7cf80713e4be157995e6bedb3722e8ab7a6de9ef1f28fa48d,Бобием,Положил
15837e5c75cc4f414494c9fa575f4138feae17e52f4caf9a8cc267a6397b4219,Бобием,Не положил
423b010004a785fa16b4d197594f8f9d18315722d793c55c3864e97280f9f07d,Бобием,Положил
9c0c2f065db8174e2e07a6fd7721fbfc2e585d2c1cc2799bb6e8a1c4c38ccd5f,СМАРТ,Положил
44a7f0baeb7b439966c06265c5dd1d2f1ff003f578d2e85e0ea319797e667992,Панда-ЛТД,Не положил
32795bb3b7729f7e47599e482c063bf6dbb32b759c1ce733e2a73b5bf6f1a0a6,Ас-Коко,Не положил
7b1a27b1d38bad01f7efaddb09c673d32c2e3bd1a8089766fcea4565fab70e94,АР-ДИ,Не положил
700cb67e6aeed836f55445a76a909fd397fb4a5b3b915364de7b4cab056f829c,АСХ Хирда,Положил
e177f2e429b7d949a08457fa23a6f1ca575a5f7aed2eb864322bbea7cb45ae01,Шкорпион Обука,Не положил
e741ce5e0815beb7e23ebc856b4efcc6184bb30ddbda7c0f4c2c10afd8536308,Зебра АБЦ Дооел,Положил
4ba8772005c4b5b212d13c77ba5d23c6b03366187fc23ae78c19997893deb5e8,Шкорпион,Не положил
be54b678c073650c285129f748e649d9b2df3c1e878464495d975cedb6c1bfb9,Ива Обука,Не положил
86b9c047a296372091fc84c48072485cddcb1e4030824cdf18deabfab29cadeb,Ива Обука,Положил
dedc5ccef855e2170bcc6d3bdcde17e8ab86095ee84325a03870c011d7c0e83a,Алфа 2018,Положил
82809e425805bf88865d16b2e93247d688150b07c88549a9e5f30236f3bd838c,Мартин,Положил
c424c556c49fffd7ed369be2742bad360a9d6c73ee994ec54fb2d7e14245f414,Шкорпион С 2014,Положил
b96827ee6fbb31b18a24c675bac21d1da4d0698561d907eb5a882e14d694fb90,СМАРТ,Не положил
acda6b6149429a373ac57257fbddd489d8704cf96998eac3e126e563b3db28ce,Мартин,Не положил
2017365460720ba368878c394f62f8a00b80e65bf19d1c9caac945550fd70788,Кекец-О,Положил
f16f0440b073b58692453b12e0e1774b5ad1c99fff04a3c109474ea201ee0767,АВТОМАК Гоце,Положил
67ed7d779ba4d2d67f3c1d73c13480fe96ad26eafda0f5ba5ab4300b6599c9fd,Кекец-О,Положил
99d1b10efd072d9a3b778e4dd63fd3e4cca7deaa1d30a5ff5aefd45cbff1403e,Деива Обука 2001,Не положил
ac88a10efb2a4bf81812c9e53dce3df1db8ed37c2f6240b6bf3ef5b4d7241761,Мартин,Положил
