"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
fd738a7a600c24ad790f178d0032e6f967f7ae1b8f8d9752aa5cb905adaca273,Европски Возач ДООЕЛ Скопје,Положил,male,0.99
d89ac66fd8a78a883b1b420d84bdc02ef7a60d367341e48698a46dd50ef57595,Мобилити Плус,Положил,male,1.0
f60f7bc8ca1bb024c97817e047b3e369fa221357fe955bf2d5d280bac073fe76,Мартин,Положил,male,1.0
e43dd5b279590f1a6a9b4324fb36e4f8f5904ac5f2d70276b3418aa5d07b5a36,Шкорпион Обука,Положил,,0.0
6f913a0893be87e26b91ce8c928b4eaaa52c048cb45f50077cc40574430b772e,Ива Обука,Положил,female,1.0
b3b239838cc8b0de89adbdc7d59971ec7d5e7f5e328db7e6b0f57b98d545c14a,Виза,Положил,female,1.0
a6e8d4cffb65d3f9e4e12f0e5daf7a8ce0f163d1728c89684cec89404706a031,Мартин,Положил,female,1.0
943e0f6930d8bfe97818f81127428967e4b0c7c2877d3e028f0944f7f224bb8e,Виза,Положил,,0.0
9c76806c784b34b2543f948760f3c3ce96b00fb42371b099b7f309c883cc3231,Ива Обука,Положил,male,1.0
4166507f55a2e412d3a24a231b7d4580be236e4e0ee354f00baf5bdcad96bd11,АР-ДИ,Не положил,,0.0
cd8c7ad4ddcb14ba327d8225b6d7b675659090e2529bc3fd9808692df0001d26,АСХ Хирда,Положил,,0.0
48838084c096b23985b050b60c89d2fc05f92a234751338d40229ec999e9986b,Арт,Положил,,0.0
9582c6e9a71789c636920f4bf12d60d2ad46f108b9c2be6f17b932d869678f18,Брм брм Л,Положил,,0.0
39e40e36ba1a7aaa954f73c301787d565f251723975d27e3a7f43b2f0d4ae6f6,Брм брм Л,Положил,,0.0
43a61fd6e47a6054776c7e07c94ca0ea056f703bd5f27df6a00ef817a4fd719b,Банкина,Не положил,male,1.0
2ff4a09ffca5a18d5629b7b64dbf205694fee36f7d44aefb2d04d640c69a4a26,Идол,Положил,male,1.0
9d62e75246d773983acea6fe6c812fc55bf5d317310caf0688bbb3ea864f7170,Шкорпион С 2014,Положил,male,1.0
e96b0da1dd8874830b18dd737e6adec7f39c931577c7acfceca088a4e421113e,/,Положил,,0.0
461b4b3f00c959581a1d0bcab51b0d350ea474b28eecd7d7300016d9851ec9d9,М 22 Маријана 2015,Положил,,0.0
39cdaf92f313c3de20a22fb17cf9255bb6ebdd2321216a25b4c8c8e12efc0477,Мобилити Плус,Положил,,0.0
947b4166b0702330807ba79fa22a9c0cbd91262fd610385154b025ce37ce7556,АСУЦ Боро Петрушевски,Положил,male,0.99
f5c00fa6cc71f76113ff38c168f4c5812a9a36691abb54bfbd1a84bdd65a6c94,Кекец-О,Положил,female,1.0
7192ade9610cedcacad8ebc26f76e6e15fcee598a02d5b8f23d6a2fc6cc6fb5e,Мартин,Не положил,,0.0
20983029853a921b14516015d38cae5f371b24d7cf62017989a265beda371ff2,Идол,Положил,,0.0
a7eeff15d31b7a907009a0efbc7e1cc954125012951dbdfc34bb47a221ec4ee8,Елита дривинг,Не положил,male,0.98
0142348eb0e4d01c3d63276619f8af9cdd8eea85504732ba4a047c674d16fd10,Сигурност ГТБ,Положил,male,0.98
b3b2eb0e99dc54c8ceb46f09681293f2e8fb1f58d2441c1e4ec08b4633ebabc5,Ас-Коко,Не положил,female,0.88
c0059e51645e232bec113f9a66f8c4f428f1b6bdfdb84e696fb992dfbe5a67e8,АР-ДИ,Положил,,0.0
b6423460344d9649d2ee892058a32775db0a55912edfef3733b9e5f3c9829a10,Емилија,Не положил,male,0.97
455a54f27424194437ca6d1808905a52f12f012f960cade16c2fb11c183881fe,Ива Обука,Не положил,male,1.0
4c59933ece16868b41ff4fc64a43248e89aa30715728a50f700a290c7cfa13b4,Мобилити Плус,Положил,male,1.0
32b5c6e13e262989d1e207005aae5d6496b3912159bd392bbc1af8a0612638c9,Арт,Положил,male,0.98
8ee68dbc999e5ac8f9637f212fd10c8fcd97267b016769e1a0a5e8cedffe053c,Сигурност ГТБ,Положил,female,0.98
7c71bac2997a85ed1dcb403147b319c02d2896ac1e354e9ecf214ce861182e4c,Максигнал,Не положил,female,0.98
c4e5f18e0586a63ed378f850f55c56bda226e0a3a916b51cfd67e58aea2b0d45,Бобием,Положил,male,0.99
a50458fa1bcfcdcb2166bbc98af4e840c0cc4a440b0fe9e72c04c146a588f25a,Ас-Коко,Не положил,male,0.99
72741d197bd82c7b72a6ff276691f092fa62e8ee46cb5b86695a6d8a3f403bb9,АСХ Хирда,Положил,,0.0
6cddaffaccbcc022178d829a6a9da611fbb3fbb78c32922f58838c19fd76f6d9,Мартин,Положил,female,0.99
fb15b8afcc985e5672ed06ded074fcf5aff41854c7ddc75f6246f837727115ac,Мобилити Плус,Положил,female,0.99
15861761e73120255c9889eed1e1387358f2bf9e2bf369bb8abb7f70b25a3bdf,Банкина,Не положил,female,0.99
5c7ff0da323a8f0a80ac7186a5d4aebd54b55408f332c6a8a452cca5080632ae,Кекец-О,Положил,female,0.99
e42ebde4cac887d8b5ffd1f959f2e5669413b3dab2b2f636f95ad7cee3e6243f,Арт,Положил,male,0.87
ca5539a135eb99366dc26ac1d0d0a89cbf6c77b5d3463aedc7f8922902469195,АСУЦ Боро Петрушевски,Не положил,female,0.99
e677cad5b45b71a75be765b003fa45ac3499286245fc3f92515e7c71a1ea699c,Мартин,Положил,female,0.99
90f1fcdecdef1d85c9327db4025c8ad95ec0b2ba0cccb50bc5596e37c5cbc27d,Мартин,Положил,female,0.99
aae5a1bc39d5138cd8ce433a42489b04ada25a993e81217b022ea123be11dc67,Шкорпион,Не положил,female,1.0
d40fd4c9d03a83192f5949620e122ddb9c9e161c659048dade1d794e8491be07,Зелен Сигнал,Положил,male,0.93
156b5c0b20467fd8b5703d134c35833756cfb6eb5287c2d3d1ed2f3ae45564f3,АР-ДИ,Положил,male,0.93
