"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
9488b28e58041b13b9f959c2e2f75a3e7c87fba7fffff4d5164248660fc3acd5,Брм брм Л,Положил,male,0.91
80a572e17d2a198b757fcb186a339da26232391c3dc33fb9015b42cb2729946a,Брм брм Л,Не положил,,0.0
9b1b877b42d43ae7f663635fb83c741f9d42ce8e3a2d0df5736c5a6a8b5c2801,Алфа 2018,Положил,male,0.93
d6fdec6d76ed3717d30a062b1a5bfde8c777d722dc938c847deb2d4662944d76,Кекец-О,Положил,female,0.95
316fd3eea09489e100d3fcbc1417a9291e3677392e9bb9ec3cb1b890b2b46634,Арт,Положил,male,1.0
58fdbc99a58be33d79a40deb78a0032019b780c78ed53dea21063445df50a1a7,Ас-Коко,Положил,female,1.0
a1c9656762a6429b7e625cc115cecfb6d3873c68c99d5b5c1c8489c6b70ffd27,М22 М22 Дооел,Положил,,0.0
a984397ff76983fa9f5ff342ab4dd300d54776d9f671efea072973ca13d87c81,Бобием,Положил,female,1.0
6da6ed179b7ad3a8921be9d383bc8c4059c9b77c0f46285d07e2a6d1e9dc9329,Мартин,Не положил,,0.0
fb1e4566f613af2a055d0467a5ccdae8b081ac9944896691b8b25e3945636b76,СМАРТ,Не положил,female,1.0
99fea70b99326cba136573ee523b2c807764c165437c673bba31b17569b8ca1e,Кекец-О,Положил,male,1.0
f5ba382472c0bdb4909fd909ce36b592c08b500411f06bd1c2c82d9c6d23add1,Деива Обука 2001,Положил,male,1.0
a339c2b56bc3ecbebac07699a320f5e4bbf6c269190d5da90c56244945158aa0,Зелен Сигнал,Положил,,0.0
1d23660374ea5bb0e3368581bab6a35e42db6dfc14391671373c264647e177c7,АСХ Хирда,Положил,male,0.98
214f67faad431beec0d0ddd9020f6b3fa300a655cd7a902bd5b5692f2932c188,АСХ Хирда,Положил,male,0.98
73f4dbceb81c9874ce05e30ef6e4a46b5358fb7134504cd2c55f3616ba5916ec,Ива Обука,Положил,,0.0
d40bb723e6433eafc611a46311d25dd797fcb07901f6e9a27391912c811ad777,Ел Хилал - Јуниор,Положил,male,0.97
0e5e996270748ac8da052639b0239620864b39770e363c9f3666039ae238e8ea,Елита дривинг,Положил,male,0.98
dbffdf8168a9ddcbde3687651c426d5edcc9a2454832f1c3a956478c2c790406,Идол,Положил,female,0.58
983d0aa6481f7a622f48951ef1c112ee38c036df3dbf27fb560a758a8c989b80,АВТОМАК Гоце,Положил,,0.0
052a6656a21e41c8484865df54a2f9279bcec294f1371ae8e7ec39acc64aafe0,Драјв Скул,Положил,,0.0
fe15c7cd3f2d87a54112308eda3a1b8b754d84c26d72ab0f9e81e60d837450ac,Мартин,Положил,,0.0
142308df02bbd5e1a44fd651ebae603f11ae4c8decf800717bce7bae922821f4,АР-ДИ,Не положил,,0.0
383575468bee39e9db09c14c7bf24c282afe238670da85e064b4cc705913156f,Ива Обука,Положил,,0.0
06ab0053c6a5427914f689b2f059ef669024ddadde9e9442de8a7f3aefdcd4e0,АР-ДИ,Положил,male,1.0
7f8cc4e5aa29d32ffaa15de8c0e7f1e698b2a8a381feafa90e29888a9aa472bf,Делта Сигал,Положил,male,1.0
b47a9f87dbc26707ad1514a5e661e35a042e7d0fa701a15c6f417ad0590888cd,Идол,Положил,male,1.0
846e896239bf8931a0c5ea75facc82889bacef48d02557ccef93692a8e1c31dd,АР-ДИ,Не положил,male,1.0
e70114d6cd3cb0a51e737a797206e2c778b36db7ecbef526243181afdbdf8ad4,АСХ Хирда,Положил,male,1.0
076ac52e7a76477a1ef4243c63ea0fc73e011b5f8177f37217e1737d1e8bb3a9,Зелен Сигнал,Не положил,male,0.99
b4fedaaf55782d4f4e71a993eff70c33ee596fc065c8bb9755d20396ffe905bf,Тримоски,Положил,female,1.0
90a9cb8c89f91fdfe45ddca5274af0bbfed5a1c37e293f454b04961c31b389ab,Мартин,Не положил,female,1.0
a7e206f028bbbe0299b3eef61dcbfdf633343f2da10a2652e5bd74141d4d4baf,Тримоски,Не положил,female,1.0
00f44cbd62bc6046b1717fc47fadb2b0ff447687a7b1a500e9201fc157082206,Тримоски,Положил,female,1.0
fcb90cdadb8997c766044264a44ca4647f409eb6e54439a4cea0d8e8106aa523,Кекец-О,Не положил,female,0.95
e810f4a17e01a4196bb5257a2af669d6b2d8230b8cd10879875915283422c95c,Арт,Не положил,,0.0
336d0ca8768cf252d3b331ce4bcb5c6fa1f9bc990851a666f24d6097acbe1035,Банкина,Не положил,male,1.0
af3684dd39abd9856b0f72cab9cf8ce4a7c48f373e56163ae3021c9a8a205b84,Софи-Скул,Не положил,female,1.0
48a1d646dc6350c16d50f6776e78ae4825108c4cd3a0eb2f58e882f68d668713,Драјв Скул,Не положил,female,0.99
bf2352916dafb1538d9f00e2df446ab484d910075f3a02235f25219ef311aa73,Шкорпион,Положил,,0.0
d1bee07653bf77ae474070fae02dcbb8ac37356e08b813a8ee986fea49dec96d,Струга-ком,Положил,,0.0
14e52d1ff7bf79cec4b014dec02fab2be24071e840963adeb222d8a33b0a4240,Ива Обука,Не положил,,0.0
91ec3d7adc767791de88458a62f0d896d27b6325da808297746c2a604bf50c62,Зелен Сигнал,Не положил,female,0.99
3d70330640ac9dda0ec7a663ce8b46dd5e69b3af53d3bfae07360e473de09f53,АМСМ Услуги,Не положил,female,0.99
d6a47271644a8f851cda81a122242fa42629a5c05cc9d08d2dde38ce26b38823,Кекец-О,Положил,female,1.0
db39a2d82bcaf7d232f4e05600770e95e0c21b39b690fa8e561a615d18f3e47e,Тримоски,Положил,male,0.95
0ecd9588ce96b7d1d593379006758866aad3a9d719fc3edfe3c095628787d267,АВТОМАК Гоце,Положил,,0.0
09ad72851cd34e1ad7651c255fd99669b81bd4de3717d905c8bbd66ddc851dcb,Банкина,Не положил,,0.0
95a54a5cd64099e8760f2242a2cc012d33e73dad1a16056ecea925ca345e6592,Брм брм Л,Положил,male,1.0
37b1b4407e47295b76af7a97b47524a787e544efdc206da354b5979981e7030d,Тримоски,Положил,male,1.0
522a3a5a395365d2545bf6a21520911878e10aa07c59b049d8d21cf572dff300,Тримоски,Не положил,male,1.0
4b489d80a395e8af02bf5349eef80dcce189fbf3bbf16627721741681aa81b94,Виза,Положил,female,0.99
b7a903613da29ab4b2ba33e433dc574d708aa1b4f24a2765659b22730f813496,Арт,Положил,,0.0
f3d4f1d6620d6c5d6b05a54b5a1ae1950b08073bde9ce25364d459680a71b2bb,СМАРТ,Не положил,male,0.99
82d6f374fa30a8714846219889a5d85c3723bcc460f0c25606f6f5409512b4e1,Ас-Коко,Положил,female,0.99
b96d102dee8291f4cb9f6a167ad861d65a3d02de2697fdafb3fa857ede2f01bd,Зебра АБЦ Дооел,Положил,male,0.97
1e6db2feb912453a6930fcefc1ff985c717419d9804a0d4a37dd92615abf754e,Тримоски,Положил,male,1.0
22095f1ecfe8139657b13614bbb2dbdb7482684fef979dd72b3c9c7fdd201cbb,АР-ДИ,Положил,male,0.93
4c634c21aa5c9a6faa8bf892bbe30a7124bef839af736e509269907a4d95fdd9,Арт,Положил,,0.0
d40f103841217dac45f0297a86c5faf9bdd04fefded596e6819b5adbce9938f6,АР-ДИ,Положил,,0.0
c725ff727b0eb25f4f854a5ae29b63e70066445fe75f79802678d7f352dc8962,АСХ Хирда,Положил,male,0.99
8ae79a1208dae9cc624f989abbbc1214920cde6c99b329c6634854e516dbbe8d,Сигурност ГТБ,Положил,female,0.9
8a18b96eb14dd5da14aefbd3faa5f9fbd63e82a3d28ce519cde558f15c27e5c1,Арт,Положил,male,1.0
81cbb5e8b3680350aceb8cc423e788112080d998cd3594f094b52cedda3635a6,Идол,Положил,male,0.88
c7d4067860fb24054a4b734091f2087d77403d8a69c0bc1ddc1d35a881c88583,Мартин,Не положил,male,1.0
6fc9e552e90aafabb486ee833a3dc5586b0b46961f1f51a1dbe06d5d7869f3f7,Деива Обука 2001,Положил,male,1.0
d7fd224a104d279e58488573e6bd722d4eb58ad861c4d169d3470f7878ee989c,Бобием,Не положил,,0.0
62b174f2494b365639a48c854fb7638ba673705ef6359e0b9396e797c275acec,Ас-Коко,Положил,,0.0
a357c42c2647f8b9bddee9063d2fdda2313b9ea3522f7459b1ffba5575b8e708,СМАРТ,Положил,male,0.99
e516dc4114b886cdc759dec37b8958497bf3ec5ca8c0f8811ac30cc7ddb943a7,Елита дривинг,Положил,,0.0
c95c925468ece9653577efcfce617f2d23d87f2cc51e48e0f475a34195e881c9,Елита дривинг,Положил,female,0.87
