"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
129cde48e6ec913c9ebf64c5ac14f4b736fa81e3143726946ebc4210c1b69059,Зелен Сигнал,Положил,,0.0
f9a01d8d218d6a7f974757eb3e53ceb5b69f0f57deac4e8cb6c183bc9d278822,АСХ Хирда,Не положил,male,0.97
fbc23dbf92876ffd2e0e6ecbae58a27d0c163e623f82e5d8193bb5155a9c396a,Ива Обука,Не положил,female,0.98
d2c6fb1e7a553f7ba4432de2441bfcfe075ab714ce28bafb172127af0e22567f,Селика,Не положил,male,0.93
8d4fddb66ded0e73c6342cebba7daa7c436176bb6f35cf7abcb029f54c8ba47a,АР-ДИ,Не положил,female,0.97
a2c6bffcd9faea381ffdab30c96ddb720ca6c9bacb455185394fc22a60d667be,Шкорпион С 2014,Не положил,male,1.0
1b429f2db115e1af5babd31df85930029ef5d04e954f4932c5cf332e8384784b,Мартин,Не положил,male,1.0
c0dbe4624f6f8c69e6a882a837ba501f6cc4e0b0148d64e51fd23a11a71bcea7,СМАРТ,Не положил,female,0.98
dfbc5cb40b125fbfd9d517bab6c23fe100779ddcd6a4e008c20cb5ea13ede806,М22 М22 Дооел,Не положил,female,0.98
56b39bda1be6c7fc67c1cc63df339c64c447c32fe3fbe610337bc2433df3f545,Дацко,Не положил,female,0.98
5212e0cb74598bb53bdd61555092bd86fa6fe73083ca63bf780385d2d7ac3fef,АСХ Хирда,Положил,male,0.98
84a8d8aac578279749a98799ea9ef03a2b13efd3d5ce4d4e19700618d1cbcf00,АВТОМАК Гоце,Не положил,female,0.98
2a7209936c600a33fc06bfe3aca26b116cb29c32779a081ba9524d563eece7f8,Ас-Коко,Не положил,,0.0
0aa0a7b28bc6ca32a1d03cbaf3dd5519e7a908bf97a4c32f10aa5ed068d68595,М22 М22 Дооел,Не положил,female,0.99
76b0af69ba81f210c5f01fec939daa6925694f2f59788bc7ceec5e63a5648c67,Болана ком,Не положил,female,0.99
6c456350d8269ce44133bb5ffc12c348d0c50363501bc3e926cc56718f55e0b0,Шкорпион Обука,Положил,,0.0
7bfa2a7ca7f06f40d0fe03ff2421f1c83bf79875a9d967098f1a02442d231ecc,Ива Обука,Положил,,0.0
d26edf92b1909bdb7a8c9c458c867098a28413f55776ea574727bc9aeef27c4e,АР-ДИ,Положил,female,0.98
989363f45aba15f9ee64e47f998144c4ecd096968668440da6a602801e1248cb,СМАРТ,Не положил,female,0.98
00adf0fd1a7e3a25eb3e9f83f91e9770de3757c9450fc2f0dbb1c9cc7763b77a,АСХ Хирда,Не положил,female,0.98
45506b637be756e03d45f6a6ad7f80ad5665b8f506c2b6c291461a72cca0020a,Кекец-О,Положил,male,0.99
2ae3a2a2785f74762bbf588466a8568a7aa0dc9f76aba274073eb85d76cdc976,Елита дривинг,Не положил,male,0.97
cf13d16bf4f550e3e692144d9527a9ea22f700b02dceb85f1757e67593fe4e77,Арт,Не положил,female,0.94
2780d9aae53a60bcf8b8a2897f7b6d70af9d637642b7fc218adcb9fc57d41da9,Арт,Не положил,male,0.97
50290f5d1dd3c2b2f8fc536b60b6878dbc00eb7ce07955ad8de72fbce2ba4113,Зебра АБЦ Дооел,Не положил,male,0.97
b999cfbc45603ec79fb8a1601efe57e2be3c0e3150ebd25372e6b068d4bd9cc0,АСХ Хирда,Не положил,,0.0
ecafe263568d34d11f540ff6a5e773667593126c6b33be58d7416066832d073b,Софи-Скул,Не положил,male,0.94
e7b6b00689c4f5f03a6ad3d357bd75445f906bcf7b2b4d275f4ea8c8fdd83f9b,Болана ком,Положил,female,0.89
3e87285b45b65cb91124071f8bc86b8162e5bb8a05db8ac34263c831fac34283,Зелен Сигнал,Не положил,male,0.97
b9e98236a716a77d387bff1860fd68d3eef277597532f3ad6f31b46b3e83e65f,Шкорпион,Не положил,,0.0
e785c07e4e2e325160dbf26795b40fe1e594fe1a75c495380ffe2e656a8fa7bc,Европски Возач ДООЕЛ Скопје,Не положил,,0.0
a638115c19d4552e7a26d14383d888ac3db1f238d3fdaeb6e8d3af2a69473b42,Идол,Не положил,,0.0
1cf182851366f558f98911facf1200240d92865350873b1e6ba2dd883e6d2406,Ел Хилал - Јуниор,Положил,,0.0
50453faf2e80aa2b7569d165d18e504eed8d097aa90a2e3246b3dd43293b6935,Ива Обука,Не положил,male,0.97
29675852f172ed3bc28597ebab11848f34b33ab94bfcdb3d62a90b5887c363d6,Панда-ЛТД,Не положил,,0.0
