"Име, име на родител и презиме",Автошкола,Резултат
a05f21cc314a1d9dbde34dd01f5d680f196de524206779d247997b1f6963a8c7,Шкорпион С 2014,Не положил
02a5dcde32429241932881f33b5d5a65adb73fec09d1eea6e3423b789492027d,Ел Хилал - Јуниор,Положил
981c865ddaa73021ce610c4b49e4bf17c1d53e36d632cf2ccb557458f1e4cb35,АР-ДИ,Не положил
2aefec1e5cadf1484c308b4267ffd25df4dd2e4fbfab69d3756238f4e2ee0d91,Алфа 2018,Не положил
09d791445a67214b05d5c7d9354ecb00587ff2b0d7abffc4dfcee90be7eb37e1,Тримоски,Положил
e32a972ab7a68f17a1d13eae243727b0b68483194c60e8883bd82be79fefc10c,Кекец-О,Не положил
a700f9617f73857a2a71bc5849fbc6a42e36cc89d31d853d5dcbe64d552398f0,Ас-Коко,Не положил
b0512de432e7bbaa0706c39954326bf3ca5a44bbf08739e13d381274cee2e4e9,Зелен Сигнал,Положил
992da85291bf7740149dd10d033db5cde6f7c86c3626f454921e4111956b51b4,М 22 Маријана 2015,Положил
9eaaa0d1a5a82bbe311100ea275dc4dc28090811d20c74e9514c9d2ae26ad788,АСУЦ Боро Петрушевски,Не положил
75b719431376e1cbd2ad38ac0e2a26e744348b890c00c5d49cdb5e1d3a3931b4,Арт,Не положил
f6d172105ab41a0f119fe6678e24587555a49b4af8cea3925c45c1a915db3022,Елита дривинг,Не положил
a77b56a40b1f70ee754aeed6aa09b901103c95fbef2ec45858a580dc82ae3c94,Кекец-О,Положил
930fc5098b8c6af796a1ef5304720c613026f707430ab4f60b0eb172f5232d21,Елита дривинг,Не положил
4166507f55a2e412d3a24a231b7d4580be236e4e0ee354f00baf5bdcad96bd11,АР-ДИ,Положил
ff9a7054c32c81d312411a1d3de7ecaded6747b27378068f537fe2554504804f,Болана ком,Не положил
32cd6f02c2b4015d64f538ccc5298646ccde7cf355ae269375ee8de6938b9dd0,Кекец-О,Не положил
cad21d17968272b386ce59f2c6fc9c7fe27b63e904f7822b456807d78feb1ad6,Арт,Положил
109376df579723399c0c916eabe401612aad7ff3571b5e9e0e47b93b9dd00449,Ива Обука,Положил
3d131593ff130e963f52a085d81d95724798c951761e17ccdffcdc7b0d008242,Европски Возач ДООЕЛ Скопје,Не положил
b5a649abcb894d1ceff15a9032ab4df014d574019611dd4085d9b2d874821aca,Панда-ЛТД,Положил
