"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
610ee3f2fe88b64d208da14f6863f2831a18478fd9ae323a3d0a3e59a9c88655,Зелен Сигнал,Не положил,female,0.63
b2ed7f3ef767305020593aaecebb426fd34ed8b1a6de57deb9ff64259be638a0,Шкорпион,Не положил,,0.0
b3b333c76fb3e2c084cb99fe72b58bcbcaaff52be8a8e6014c5d3ff008850c72,АВТОМАК Гоце,Не положил,,0.0
bf8730d9c5ba8afc9977fda32c53deb5b9cfc68204733ede30a8344f982f7c8a,Ива Обука,Не положил,,0.0
ee3401033b01c0cbf12aab5634e75934cc8d9fa65b65dda8f30bf1f4678558b2,Алфа 2018,Не положил,male,1.0
52af908d4943362954a48ba854372a376f479b63650d4b7c5f3d09b39d263e9e,Мобилити Плус,Положил,male,1.0
30585d5109798a3e9cc8ad06e494e5f392b04bb1472196dd7ee9a721692b0d77,Сигурност ГТБ,Положил,,0.0
757232eeb9474c18e348031a39cdf77883e6355ead232a081e7484678d8a725b,Бобием,Не положил,,0.0
abf65a4edafa2c14195e3da3258989e18a367780e1ffaafe013aee5678303075,Алфа 2018,Не положил,female,0.99
e40587f22fcd667c92fb4983c1055d1eb795a8ae3f567cf560a8a79c1ce0e7b4,Шкорпион Едукација,Не положил,male,1.0
0b971ce4b4d4a303742fabf2274a2d10c38560211b945a630dd26758a3031c56,Кекец-О,Положил,,0.0
e351a44e36690d5e0aeb9015b3366dcd1f40627752d68b77ada29f6e0b296297,Виза,Положил,,0.0
9aafb0bdd1e5d5433e5a4f79fb254be8926b538678dd3f4b6855a24f96863d88,Шкорпион,Не положил,,0.0
d6098dd993e1dc10514bc44b6738a9cd8f188ef1910bece53d78e46c0e5f5d6c,СМАРТ,Не положил,female,0.99
0f3c2405c82ff55aaee822b4944697e2d58ff5833ed3da7f0793e9d47e590595,Шкорпион,Положил,male,1.0
e0d0799803795ab9a2b09e6be2ae52d21fa57ebcca8dd7a89a53e9fb511cbffb,Банкина,Не положил,male,1.0
fe08833dd21c0c4f46734383e8309f4a2572407589c2e2f34507cdec49edb12a,Емилија,Не положил,female,0.99
5952656b9b1d6fe2bffc422ddc7d5713bbab90e68c1ca0281f701ac2158c1be3,Тримоски,Не положил,female,0.98
5d8ef1f34df5f1c60f737d340dcc23183449599da2c34e2793d89c84b467211e,М 22 Маријана 2015,Не положил,,0.0
052072dcbfa53d14cad41c03b6b3ac9a26ddbbfbab0ae1a7229de2b2244eca6f,Европски Возач ДООЕЛ Скопје,Не положил,,0.0
6066f82234da5bb42fbcac5c86003d589acc690ef04fcce227aeb26f2469e5fd,АСУЦ Боро Петрушевски,Не положил,female,0.96
876f4bd020ca97da35b6b065d71b8cbb9b4cdb3d92c28b46c704bb01b777d228,Зебра АБЦ Дооел,Не положил,female,0.96
948cda8274abd23ec75341ba7a4773260cbc09e7be2848483588ece587110d12,Мобилити плус,Не положил,female,0.84
d5a17ea074a0f5279f33edd9870789e9494bbac683524fdcedebad10530bd659,Сигурност ГТБ,Не положил,,0.0
d895b6d92f3a139cbc221be6de6454205b600df028eaaa92ff1e7a4b1b34e226,Шкорпион Обука,Не положил,female,0.99
60371701ebd450a5a5f37cc48680b84ec9692008b6c2eed07ca85441f9fd7dbf,Алфа 2018,Не положил,female,0.99
7141ed1a0b16dff80bd694079e38f840edc737bcf419f9f7c45ae6107a9703fb,Шкорпион Едукација,Положил,female,0.98
888cd2259af50971a76d33a21a40d0fdb657fd5f833eaf60aa90ed368795e2f5,Сигурност ГТБ,Не положил,male,1.0
21dec3529959572707a80e3f108baa5cf4b8b15fd8693d69ad82cb68153050b9,СМАРТ,Положил,male,1.0
2d94796248b9e1a218746830f06b7051d79c07aab3dde0a798cca18a92a898ba,Кекец-О,Не положил,female,1.0
73854ec743bf7c5c7e633bfe5e9ecb8ff3146099d39b2fd4775a7a4b53073cf0,М 22 Марјана,Не положил,male,0.76
2ead5e4811c11a1bf26d7a755387191c488b67c638fc830ccc4141032534c6a8,Мобилити,Положил,male,1.0
7eb658a2b20d13e2b7fac9c55d1bb0c61e4eb4bd95877760c4796f656a3fe331,Ел Хилал - Јуниор,Положил,male,1.0
796bb668e15ab67758ab478d385ad9abf1dd1ac3d370cdaaf13be46643c570fe,СМАРТ,Не положил,female,0.99
d451e08ee84cb3530649b985a648134b24e2a647e36937b967bf36784d4049c3,АСХ Хирда,Не положил,male,0.99
c9a4891505bca38be46e421c228fde745590b5d6313ebd54438586af462ba1ed,Ас-Коко,Не положил,,0.0
9cc88f9d06f39e4f122f0cc027a9355bfee0941faa21c0435893b9ef638c3c1a,Деива Обука 2001,Не положил,male,0.99
2d1ce62a9277f8ba940e3966987cf6ef7b55b2e81c0011c394574f4699106f10,АСХ Хирда,Не положил,,0.0
6e33f453900fd4e054fc39442bd4d82c76470946773d72e366c5fa8470a4cc7f,АР-ДИ,Не положил,female,0.91
