"Име, име на родител и презиме",Автошкола,Резултат
59354d9971e0248a71524e44cb6b810f360812482893613f9a008c4375aaea52,Болана ком,Положил
70365ef2aa451531377ee103e5bd4600fb64ecbec8a01b4554f2f9787022ab20,Сигурност ГТБ,Положил
d99b2ab0a69fede87ef36f0d6d933afec09ef92acc59458ad7556192263e4d7d,Алфа 2018,Положил
019eecda69253b345b3c7c67b743893c218e183a36fd1f992bbde1592b1306b2,АСХ Хирда,Положил
a762a934d3e53532d1f9156461e1d1e232d9c99ecf5515356eff5684c6975899,Арт,Положил
821b543d8b7459350163a6c23429ea4874b648b787cde6853cee5c0e944ff810,Ел Хилал - Јуниор,Не положил
2eb705ce8b395a08f4c51bec7d5534cd012ff3b38172ba534f22b729d5588721,Зелен Сигнал,Положил
51c687ad8dc0f39861be09d88a75b02cf9a0931da610caee84e869c918ed78f5,Арди Јуниор,Положил
6bce0c79a8811f88a92632cb2f1c93dc39dbf321c8f54266bc60b9971772be63,Идол,Положил
a47095811781ad31d6329612b30b10074ce0b42386fd43f131963a101a8b7182,Ива Обука,Положил
64c96bea655895aefbb25b91d3f681b557c7978edaed940c4f8e9f3dffa14607,Болана ком,Не положил
16570f4d64049e488bee0c92a05c3556c9d1d0364dc18201d324c12fccf6a4d3,Арт,Положил
c3d996aceabae3efeef6c9f3e205a57d4bbca6d0b6633046d8509f2f6dcd9178,Зелен Сигнал,Положил
f91f7dc2e4fb9d642ca01dd28d6b47400dca1b902829beb4f4564ae71c945101,АВТОМАК Гоце,Положил
76c9d770d483447ca51d442436bb29a29586e509f7d1250e274e717260298118,Шкорпион С 2014,Положил
63f34317a9fe74a51b5b58753907256512f5e7d45c5b94456e50c74f77a7ba56,Сигурност ГТБ,Положил
64b1a4bcb057aab57e485c28ed56f2edc8df87736c53ba018cf1e0814d8250e6,Дацко,Не положил
4ed380276cb75a916d89529e113abe3a72ba14014a458b09c57f11484080ba3d,Ас-Коко,Положил
a60d9830ec61cbcd02814c264f60a17ac44bc36cc539176f181ebd57dd871408,Мартин,Положил
5ec3f7913d64149901956f807280941ac21c36869e67e7458c74ada3f8e4cfd4,Шкорпион,Положил
683b903dc45df64f67f1fe1b4eb738f9f193804dc5ec5c8f5a92c087ec28c38a,Кекец-О,Положил
38498c2423bd2fd58509fc2240eb31e7952cf421b2521aa28f07bc45dabe5530,Болана ком,Положил
42aec0ff2361ba6e5bfb53cc213d471c5fdc400dfc804402ac7c40e5805aa0d2,Зелен Сигнал,Положил
ff34f662a99509b50ed9e00e38f41f6969890dc6a3618a7b1481571e46fce411,Кекец-О,Положил
a8ee14a6e69efcc4414ca76328493a4fd03f207eb8cd4f38c0a29e6a00ef5361,СМАРТ,Не положил
8ff977f8f5a0cdaba7a7157ed908bc855cc73ed45b325aa199e6b7ba4789d49b,Бобием,Положил
bdf2dbef19e5e23d7b902653216b6cf828135ce6cb932d23f867f4e5113a112f,Ива Обука,Положил
187205e35f2b2d1cdbdf8236e3184285ecccf05abee27985761cecc259bc3dc8,Драјв Скул,Положил
c3410745d537554e60f826fbf63dc96c22cf010d31138aeb4dac27567e4e87b7,Кекец-О,Положил
eacedf105cc841e99f0ced0d2a701c3926b3e347a137f7b5ac92ba7aacb16f12,Деива Обука 2001,Не се појавил
f77a5dd188719bfb2e89171ea834d0e673a3ebb62c03f6ec51c33ac25f8c40d7,Банкина,Положил
139b80b03f951644f430cf83f9a8cc006512cdd553c39d3fb6fcb28fa1ba3466,Идол,Положил
1387aaa44f6deda50fe12dd7fbdaa578588a77ae6a8432444cdcb6584a61dbc9,СМАРТ,Положил
034b2c9bb09a084e8e255c2561a4142a8af18e74bf91087d7c304341dde48943,АВТОМАК Гоце,Положил
817319b4476baf48fb63e2550b3151d5fb59f67a4bd4de17f439aeb8a3e4af31,Идол,Положил
