"Име, име на родител и презиме",Автошкола,Резултат
bb8b874aa696f29b19ec23b69c20a3cd4fb35dc051832ac20ae98829adc94750,Банкина,Не положил
ce4403e914ccbabc56abc187db4010c5e0e89a309ead196360ef9defcefcf7e6,Ива Обука,Положил
a0948625dbdf4742317f15d653a1d48e9554ab689c6ab0b476098f7def93f0a5,Шкорпион Обука,Положил
604341c101a25a9efb2a1e870bc43120bb51c27164fb99f27f3eb1344f4fac71,Мобилити плус,Положил
6074ea1780664ce9638a96fdb2ec1212ec595056430497d0b760d59e58dc8efd,Шкорпион,Положил
5995ee55a5a5d812ac52ad295334774de706833bf6109229cadcd41e93e7e650,АСХ Хирда,Положил
48ea6921a2584a2f3fe3a46458656c106fb7944009f230a1622cc4f312a10637,Ас-Коко,Не положил
25185cc533bdd90aaa06475702ad26fd0000cd14e385aa50a93cf137fca8eaf5,АР-ДИ,Положил
897fc7b4722aa12819d2a88a00c6fc937e56cb1dc77701e13075ffe7d4a510b4,Ива Обука,Не положил
e15179c324d5b2c0d712a15c06c8fb2f3784e689b1b0c9955b902176f23dafae,Болана ком,Не положил
88b453f64a357dad357c2f7edde4896b58412b3103f0666d22557540407be57e,Идол,Положил
b66273de7f9271c5987a760f5dfa395759bfe43c8f3bd5798a2a724ec0b09ea9,Мартин,Положил
0eb8d68f7acfa405c2ecd47534ea0c896c906416032917109ea91c14f1233eab,Деива Обука 2001,Положил
f58f28ab876ab4053407a61c827e848efd6da4e4274e3f1da41a9975cea8144c,Бобием,Не положил
956462dc1efe38308a632bb25e4fd4dc263e2e5d6bc9b73611ebcbad7076de73,Деива Обука 2001,Не положил
bd8d782efe2c9f77ba823b4bade8939485363cf6faa2a4452ee2b9472c5180f9,Шкорпион,Не положил
3f249c044cbbaf5a2faf14db029bee9b4a70128099aeea6456f4ba1fae3dc87f,Драјв Скул,Положил
152f2491d3767d6e7e032fe626f21b854c4e056b045b25125190fd3ed48a2203,Деива Обука 2001,Положил
32af733270a09e25409974e92b3af77abf07049c7f9bde6d71ee2eaee1258056,Мартин,Положил
42ddb7c766ba24110ad8214e6c7f07b1a3c6b232c92ec3272219d64f4ed42e4a,Елита дривинг,Положил
8ccebded7b248467f49f421bf96b5d0cc402896b458ef9e1419d0463b56a766f,Алфа 2018,Положил
