"Име, име на родител и презиме",Автошкола,Резултат
0c102e741a2a57d5ece27b9fd33efc57a26c30057b402f2d5756a754fc365d67,Зелен Сигнал,Не положил
f04e8ea324eec1f08b071cfc4fd5565e7bd90ba6e0d6122ad64bd52819daa05d,Идол,Не положил
23f66a2ae140becb8600c458af20ad0d10a7a797d3aeb64997fd50e1a0237e62,АСХ Хирда,Положил
747d8aaf4af1c37c2f392a2a8c770a4db610eadd58babcdd091350d84b484de8,Ел Хилал - Јуниор,Не положил
3a8857d8bb39858802f426233fd6fd1e14f73f9ae055ba120c1ead17c142b3c9,Алфа 2018,Положил
5db314eb14386aef32bd7464773d6511a3b9b37699c57a957405af5eba2e0a3c,Зелен Сигнал,Положил
688ec01feafc0a9c6e8577f29a60cea8194e224fa2b7e5f8fdb31d8bca899c48,Зебра АБЦ Дооел,Не положил
2b863b21bff27bcc108534c5b561c339ae312c8d131c8abd1bd62d0459de3d5c,АСХ Хирда,Не положил
7abda1fda2bd503591da7dd13373622c0c2e288812f3ca8d9dc901b705a29e9d,Алфа 2018,Положил
8a1f2df63573bf203ca4d6ae4b82468b6a7c17115c1b8cbac816952645d33c63,Беко Бс Дооел,Не положил
12d7b9a2873d733544888c0b9a3000bf01d8bb40393ab8508e13bce8624075e9,Кекец-О,Не положил
d7f1a8d1ad884c6096e91f88638df013618ccb1e497b71946793b37dca618e82,АСХ Хирда,Положил
1e1e7a5aa802d5bde4234ac8a88e4ef0ab6919dae63a003a4b73c3bd75d2624f,Шкорпион Обука,Положил
90222a90d1fadac3ffe47b062218e53e1cbb2a9859ea175947c99e3308963ea4,Арт,Положил
b150b1b3a4f1819a387e050f4e13eaefe7d6b2a060d481a5bca8090962138a33,Ива Обука,Положил
e38558731f279300b933d6c0bee6ee16fa51c9d02c9b44cf7cb589083017e5a6,Идол,Положил
aa2bf8a27a053c5b1689d3e54684fcdf29930b62aa0924557e6548c2242ebe85,Драјв Скул,Положил
6ada235b77008b7777e16384ab15bab91700678716d200aeb5663358e001992f,Ива Обука,Положил
cc01ec66972ea2c2ff149ffe7f92dec5316e10a05042f495af4de686f6a2bbf4,СМАРТ,Не положил
9a2d7fa598b8245a8bbe39daa44b2521501f4ea6c5b69ad34a8f13e3ddc70616,Шкорпион Обука,Положил
ac332678b7ee59e687705ef8f2d6e1ae47f7c59a2ab192ea0c1e23fa31f3b462,Брм брм Л,Положил
67edaa591bd16f8cc8afffeae4927acd1d9e6a3b280ad5abccbfb6aa1fd04883,Шкорпион,Положил
68e674c22b827d6f6969460f4fe0dd2a81e37aa0291286ef602048251565d5cb,АР-ДИ,Положил
bdd41133f6eab0cf04d0b0a199fb80343354196feff6a87fbd297d81aab1d446,Бене Трејд 53,Не положил
a7fa93d122faa25b37eff1ff816e7ce4ce1d52ed9a4f4c22f1f31a5cfd980b76,Мартин,Положил
747c9742cc603d3f2f232ea5f64b8d1e96c7e1b08528d78756cadba45eeac402,АР-ДИ,Не положил
652a8ebd20749b685616bbadf7a0d0c5fd4022825b35153c66e5d90fba348c42,Брм брм Л,Не положил
3e7b58ba0a9e360a6e547c3a328556d0c9f293119b1e1055b056e95aada1bf45,АСХ Хирда,Положил
dbd9b3ed041986c99a10af4fcb92f3739eaf479a60582b8001875746296ece28,Ел Хилал - Јуниор,Не положил
4d38ad222686138b93d1aaaa5892a52f0d84ae791cb0f0778e7b27ccd70a6ed6,АР-ДИ,Не положил
487da3c69d1f154b3a8616aabaf8f43244801424fd6d9598ea1bd86c48061201,Зебра АБЦ Дооел,Положил
bfaf6168bcafe052f9a66e9f6d93e8da86bda2185da39ffe903ef2723af77d86,Виза,Положил
9ca187d991929f458065cb4979e4b7ac607cddb548b87a217901bf4c96aff36e,Мобилити Плус,Не положил
562bbbd5f2fbbac46c4b3348ffd18962e9972e5156feffb9796d06fd50568260,Кекец-О,Положил
1beaf6412fe732d07e7ec3347e8368539e7e54318521689a8dc2b555dbaabe3b,Деива Обука 2001,Положил
42547fa3a5c7f46f229ec69b561932c19b6aeee594f7dd3c4da48f2cafdf36f8,Ас-Коко,Не положил
aca58728b33f4ace81cd1f2881b4f1cb4792a0479c8ade511089ae18847517b2,Ас-Коко,Не положил
e5e5337b1e613494ecef7c1c483a5f33fcc530837209d4ad64b735bba8edbb67,Европски Возач ДООЕЛ Скопје,Положил
5f3216963aa304133bae64774ac9b1c32fd7e48111fee48036ef6070d626f5ae,БУЛЕВАРД 2024,Положил
2bfd16e041dad77f6a0894f802a9cb4fbd6a1e027a8f2bb35e07bd8734a4f7f1,Арт,Положил
dcec9981c9e292ef27e1acec2c611d4f1fba4afdc2d7e64c1d61cd4e0e69515e,Идол,Положил
252374fd3a7487cbafaa4d9063c614375dc469f2064734da71f321cf5eeae965,Ива Обука,Не положил
3c5988c8d096d5e0d6b97d03b2e7c9bba9d2dcbec6a92fafb1df3d40bfe590ed,АР-ДИ,Положил
6d64e82bdd29897e7cf1cef7a26e3bba342dd4872242fcaa17873bcd488cf4ef,АСУЦ Боро Петрушевски,Положил
ea45806e4288f2055209cab38eb10d30f2d9fb1a44f8f09cbe306bae61e3e5a3,Мартин,Положил
7324b6641431d2b7b0386263b4d314780904142b9712fad92d8545b1bd5224d7,Мобилити Плус,Положил
9e39f4ff191ce01141603141ed40bfc46bcb55d3c99c523fa546f69226752d48,Мартин,Положил
8ffcafeab1264f987910c4e91f36c37333af3146f81f17a2e13dae3ee32ea4e1,Арт,Положил
02b74526a668ed8081f876f5d7ed26d495a6ca8ae123945833f434ddc20b190c,Зелен Сигнал,Положил
3769b3064510e5245165e48baab36fbbf50118536a35461266989d57addc98a4,Банкина,Положил
f53195595edccc3ab1c16456fe2cbbd78d832f0e15351778fb3e949bd3875da7,Европски Возач ДООЕЛ Скопје,Не положил
ed1efe03eceaa7aee1080f01c7ed4ebc35450782547941bc090b01d7135af59e,Мартин,Положил
5cb2b542d4176a9ede4208e0877cdc59b8e08b18fefb0200e4561b6cecd493da,Кекец-О,Не положил
d5b17c56c39efdb3c07c60b2a5f3730af684d7eed2f6859a5ec91ad5501636b4,Тримоски,Положил
ba4d1998467460b73d34ce70f8c8c237d0d910db0cfc1158571b0885300b65bc,Беко Бс Дооел,Положил
769351972fb6936bc29e8588f022851002e1e0fa56874af7cb2c71e445db6755,Деива Обука 2001,Положил
f0ce25ab40a6bb581a3bab0cba3cc182f369a197d6145ace2c7924551d49a8cd,Ас-Коко,Не положил
322bacc5369ab1b320a2656cda892569c516958240807e80db1a88f4d4498818,АВТОМАК Гоце,Положил
2b64edf25c5708b611a048030b853b5c1fbd994c9cfaf9eb8de50b17f90b37c8,Мобилити,Положил
881da7d0113db1b62edd000dcf113ea02cb0915a99657e7c32ff3ac427bdb780,Шкорпион Обука,Положил
bf9d6e2825f80354eb1fb689f326ab7fa662f9aa883cc43b32f4183f96603f29,АР-ДИ,Положил
842aa1678075820e35e28c186fc9c9bdbde4b4178fa43b0cd28fe8e92e3ac3bd,Идол,Не положил
2f6efd6b7e0a07d6cb461f3b7b6a8bf1efd00b3779177b4a48e5c841daf6c176,АСУЦ Боро Петрушевски,Положил
112e0f8c4e28b33417ce9468d78abf75fca6af0eb835ec19ed9a3b062e6a7a9e,Шкорпион,Не положил
68da1177fd2e695c2e80f92aba79d258fa44f883b474d998fca387d8d4675f60,Контакт,Положил
d4aa0f1b8fa35fa93333c64452476ea6883d1d4841ab4790e17a89474bd11c0e,Шкорпион,Положил
c84182083ca8134a579eea32358055f200bbcc4dc3f48c371b1879f1b592902b,Шкорпион,Не положил
0b17b9bc8ca097d883409b0db715ef5f80cb014eaf6801ba2e06cc6fd31596d1,Арт,Не положил
85bb9823d64fa6aae5bd931bd3a7b34c618161cf4ffdb444858df3cfb938c864,Зебра АБЦ Дооел,Положил
9d7b44030f7b9cb27224cffa2c0161a40c1bbe1e30e89ec81f18cfa8b7e9f814,Панда-ЛТД,Не положил
2d72b532ebff63b02c66038d1f2518771ab590376ba3bb7eb3dfc309fecd238c,Ива Обука,Положил
1d5077754f4711518f6af925c8a9ec66bc4bf009994603fc42d0847e03cc7223,Зелен Сигнал,Положил
c78283ba453f7ae887252321d59f29cc6ad953beedb57ee8367287cf6705954e,Бене Трејд 53,Положил
141fb29091e74290a69f18b13e44ba86c47fe381fff4c5e37ee3067610c4b784,АВТОМАК Гоце,Не положил
9e170dc864984f2b6609b9a6da041028f934a1be0eaee0e9ced036c5c72c2d83,Моменто Доо,Положил
ef6e70f9e3486f591848768428f6388fff2d5eb2c90ad7aca94fa9f23ac58965,АР-ДИ,Положил
616ef118ecc0181d9cb61ef505045170d8c72a38bbdd6fa2aea04400258c78c0,Идол,Положил
d5f977356d71d55d783ac82128c1b54ab317a0dd7d4a3deee107de517717f8ff,Зелен Сигнал,Положил
6c835b4b8eb6cd8b09ef170042b043111647f71074a2b0e243675dcb2dcea223,АСУЦ Боро Петрушевски,Не положил
