"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
55319cd56fcf0f57f16e7f0ea6588e56982ddb2e3d2bd4a9c3dd4a272854e4f2,Арт,Положил,male,0.98
3a5abcefb6dd5bf9fe5c33a8bedf3882938b89adcfe71d9d6a8cb9ec00400279,Ел Хилал - Јуниор,Положил,female,0.97
20cd49d4498c862f90dd9006ae18a0fb888673024a5ded8638d04bc5cca1bf9d,Кекец-О,Не положил,male,0.94
254560585c232cfa0ce8cddcb9f440789fd3439956344f04862603f106e26663,Мобилити Плус,Не положил,female,0.99
76811b439635513199ade8b10ac607d311ae95522ed952d14aeff363a912ba5f,Ива Обука,Не положил,female,0.99
b0abb4dc4916d4c8671a95c500dbf2ed3dba0af23b0bd6571fa71c5051ab41ad,Европски Возач ДООЕЛ Скопје,Не положил,female,0.99
8a4d2cbc584efb4885c9ff9b21fe74f65e0c6bf6a4e8fd4c48ae7c2ad1096b8d,Зелен Сигнал,Не положил,,0.0
904d15327ff800b2861a0b33108b81a8c7aaddd729f550d1b9393f7705dc99f4,Арт,Не положил,male,1.0
c49dceab61fd4696c27434025ab81c2d5384a4f520ad196c57426f51cc2b17af,Зелен Сигнал,Не положил,female,0.98
5cb53ad088a23b0bc96cd532c4f2a3fc1bcb0cba11fea2ac77cc0512a677773c,АСУЦ Боро Петрушевски,Положил,,0.0
c0b3a98954a176ea9f1203c52e28bb532a4de75a2df305503038d5bdd93ab4e5,Алфа 2018,Не положил,female,0.82
a833747802c8f9dd1d7d867a3c5e1a149c58d9b94e46a81e38b03e03ea0eab9d,Европски Возач ДООЕЛ Скопје,Не положил,,0.0
1de2e2c69c0ace70cdf098ebf01443edeb12e993a801a23c421a6f3010ca47c7,Кекец-О,Не положил,,0.0
f40953e18bd5bc3741c38508ef60eb6ae44ee710ebb9b7358a52269e3b16fc92,Ас-Коко,Положил,,0.0
150a74e2f4f93ff597b33e20be0b9bdb8a53f56b913adc18e070d719237c133a,Елита дривинг,Не положил,female,0.99
