"Име, име на родител и презиме",Автошкола,Резултат
dc8ac94c49147f4be00475840ec4c6ec142736185bdf3c86b6fae273a2c7d1a1,Беко Бс Дооел,Не положил
76bb34c530409df77674ea17ad196cf24cd2d3667a2670075f60b6aee7dc42fe,Зелен Сигнал,Не положил
7566285439371233117b994a0c2aabafe3db94bf765ce2c443a4b34559ea593e,Алфа 2018,Положил
788a3a998b42c64906d94ba86be18313ec72864fa28b1e3767cb2f0f82dc55de,Беко Бс Дооел,Положил
8d3aef0cada5de7b01b8f5d5522ff9f0bf00def437cefccf6585a7e67c899e68,Ива Обука,Не положил
5ab18b40aa252b24e5ceaaeaa7b96a6d590dafd22774242bf2b90780576e0086,Беко Бс Дооел,Не положил
9d21aa26445b91a2fe902de029278322f1da3a32cfb05bf2c3b6d0c6a53fa31f,Арт,Не положил
7ef0463e58d44d482752939af70e7fb0c5704c7709c0781f4b540d1c5ac61264,Софи-Скул,Положил
f20262729ab231cdef441d4bb6f1dd959ca2f012e1f37081175f4b7820c2a430,Мобилити Плус,Не положил
fed6ff36b21d4c7559e7769af1d65946c63fac95dcfd51e5a041679ac830c56f,Ас-Коко,Не положил
8498e316d45f96486421b278030ed3c767436714735098f6bd353e74c0b4b7f5,Панда-ЛТД,Положил
5d99073cf2a7725ff911514f6f5b9eb34fa3da035646192657c64796314b30fe,Мобилити Плус,Не положил
35b8b9cebab4bea26e5857c24c14c63303ee0eb6b1e382ca206962bd4ee2f46c,Никола Шест,Не положил
853691e1ca07d4351a08ae2b80aeb7704b8e7db3001e50bbeb46b004f656675f,АСУЦ Боро Петрушевски,Не положил
bda8618904f928bdb1727b43f681a104f8a02efa0a7c6bcecb35c81de0562dfa,Ива Обука,Положил
2d85eef04440d0039ae3ebdd21604686c4e323fef7b90864642c3f4815681893,Зелен Сигнал,Положил
0b816cf65850821a4abc5a71c34d71e5fd3febdf74cb54df8bff4021abb7706e,Елита дривинг,Не положил
9f4c618a2d36be4a4aeba4a6d4baad273671cca46c5365235560e28fb72da67c,АР-ДИ,Не положил
cf7fffa16a1d4c3fad4704c46f3d091528885b6b392cdded0faeaf44cc58254e,Тримоски,Не положил
910ac85c295507beffe8bdf3cd9aae5bb677c98bcd4fecdd020bbc8be724f29d,АСХ Хирда,Не положил
c69cb35178ca266c4ab11288f632061874fc4c5af1615ad8d88f10bc54807f3a,АСХ Хирда,Не положил
51e7d0fdc322da0d6fc5c8a6590615d8a0b5719dabca35889a8a391a943aa73f,Емилија,Не положил
2f4f8042e4448d035e02090213ed2e1b6c109aef5c1532691b229659ec927c8a,Беко Бс Дооел,Не положил
545092980c3d917619ad7b3854fcee6f18f079a6311961437c1ec6e45ed63ef2,Ива Обука,Положил
9885ecaacb574d9dc76ad7a00d5f204856477eff934144818737540bd08cb8d2,Арт,Не положил
8a9cdc5ca010efa77291764d741f73fc450fa40ab5ae93510f466fd14a8c30b4,Зелен Сигнал,Не положил
d96a98b1a17d2f622d488ac250c38ac874d9202729d0ac6ebc2e563a72d15ecc,Алфа 2018,Не положил
bd49158f1be04d4593ad5c9467f09a0448ee9ce70f866c875ba84c789eda3baa,Бобием,Не положил
f3d923f13949de05d0fd599175790f083d9ec622341041363b769cfea42cc6a4,Шкорпион Обука,Положил
e76beff0a39a8921a4cb69e054dc09d050a55cedf6f05481d5e79d49f46bced9,Алфа 2018,Не положил
0b62e7700a497991da2e8cff59045257a8117cf9ea7d8d876c22561e46bde816,Идол,Не положил
edcb0c7c1a907ef5d7baf8c5b10e8e9895710818e928ce551d4b6087dec90574,Кекец-О,Не положил
8e3994728cbb166c061d40eaa8e2c8c5b44ea537f3b198ebd481f1fbb8eabe1c,АСХ Хирда,Не положил
f7e2ae18c252a04cedb511fc6cc0057c21847d257953fc20c5cac1a9cb41bb85,Тримоски,Не положил
ee0c09d10f92bf4805c529d9e257be6f407d42abd343f1d3f04f3c9a4ef19f01,Шкорпион Обука,Не положил
2a0f0e5a32b0d32a77294b69f6788947b2b7c63fa834006290cb8b442ac65f6f,Ива Обука,Не положил
8e22a2b5787b79f7a8148b4f32ad1407172a25fc3cdf60979e0ef4d790697fd7,Зелен Сигнал,Не положил
e2cc7ae0c8ab79a4bea6c93bfc464252ed78e8909172617ee10e58eca047a1c2,Кекец-О,Не положил
a2b97a0a05aca7746b1b909ce0786efe72c43c6d0d08fdf21ad4c6b0166dff13,Ива Обука,Положил
63f34317a9fe74a51b5b58753907256512f5e7d45c5b94456e50c74f77a7ba56,Сигурност ГТБ,Положил
e85b470c4742b73d0b231b99436d4d6fe87c996c598d750b457ec57714dd4992,Алфа 2018,Не положил
f17c734a9934a9adbe68db9ad03ba580c83eac581139614a231c3cfc284977ba,Драјв Скул,Положил
6c358acf3f3ba005b3ab5c2300a4afc7662d3049132656a6d3f2a1dc1b95065d,Софи-Скул,Не положил
cb10e408d0d94d34f4fa9eccd3ed671d4d81129818ef3997eb60f34401b89a0e,Идол,Не положил
873e6e70d0a45a7460c6fb041c8bd87eacb39d124c353e5954bd26ca3ced680a,Деива Обука 2001,Не положил
9b01448c017ab1816307b5fbecc1c1b0ee3949c9910cce3a75a27df8a515cbbd,Ива Обука,Не положил
d20350819701df653ff18edebeb99cb3ed9ede8ce8a76da9d7c2f8fe8f32fef9,Ива Обука,Не положил
3ae757a751fc54f4a2e5e5d5a1d3a8c91f6707475c100d08f9fd77adb45d6366,Тримоски,Не положил
7a59a022bbcec70a5be0db00620ecc2e1b7bfc3ceb15f9975fa5d568320fae1c,Шкорпион,Не положил
8e046183105c0d2cb06679bd653406cb864962adbebc521f7c253cd7a2c27d6a,Беко Бс Дооел,Положил
912b5115d3765ae6557febf107f6e50c90ec7b65a8e8a383b16f697ff1eb00ae,Зелен Сигнал,Положил
7b020f27a7677a13a28072e51f25354de82e2c5ac3ffc0c90a14ce20bfcb7cef,АР-ДИ,Не положил
570e3b4be360d7cb570c5ced3ca28b6c761f168056bedb49e5207df8abbe2e3c,Елита дривинг,Положил
8c9cc6c03b8e7cf86bebc129287fb3481ec17b937903d03675797825e212688d,Ива Обука,Не положил
0a7fcb4ca92dbefdf5aacd12d1e8aadaa0b1295d5543ae9ba1636fac7b7d8267,Мартин,Не положил
1d2055277ac445471b4b369aaf3030d165a78d70a3f0818063a95d107fc598e9,Шкорпион,Положил
8e1336d74a03e3462e473411140daa91687807c421189944e13f93bbacf2e515,Тримоски,Не положил
5f3216963aa304133bae64774ac9b1c32fd7e48111fee48036ef6070d626f5ae,БУЛЕВАРД 2024,Положил
2ba3c9b9c3b4a0ff011d66e6eb90c356309880937dc35144eb8a58158bd1320a,Зебра АБЦ Дооел,Не положил
018ce7161392714dc79551c75a47a2147d74b4fa8cf9011ce4318c689e4c25e4,Болана ком,Не положил
