"Име, име на родител и презиме",Автошкола,Резултат
a7d39a896fb84b1877571884bfdfd09ede2dfab0ccc799b3ae46a31d4ce401fa,Идол,Не положил
8cb7050a503a690988703cf35bd22156a567aeabb124f4b9d4f71a4153d986d6,Брм брм Л,Не положил
25698bc251917584ec3fbbce636131f5486217c74db634cff7413592bd786f95,Струга-ком,Не се појавил
bd4d6c32e9d4edb3f62e8077eb4c54cb78c0c419e03dae2bd3144b9491a6d0a6,Зелен Сигнал,Не положил
32751e4248dd42655e55382b7cde4908980fbf11a893ca44f29dea1d8b0fb603,АСХ Хирда,Не положил
5ac5d8d13829572d757f2f66975ef191ae24d66a83cdf93f1693eac1845295e9,Сигурност ГТБ,Не положил
e2b44d747903da62b887fa0094f6ea487035e462339034303afb4e73e43f0d20,Ива Обука,Положил
2237a56007566df64d310b1d1b0a6fac1d4e4bb3a78486be936ac63d929773ba,Ел Хилал - Јуниор,Положил
d32a123abf9393b238efb5e18a5ff2f623a4a604dbf550e80181d27689e94320,Болана ком,Не положил
70bfa0b0f35a8c343819c53cffd6be0e5a80e8c18c4bed31ab2d07d074c98337,Ас-Коко,Не положил
5a8cc56b2a437f3a6d480d73964d8f96c7df20a9095729d50cb8090429cfea99,АСХ Хирда,Не положил
4f49b255279b34db3a40212c717a6f63919b7409d3987172e9883cc96d1aa431,Емилија,Положил
31970f5ef7e86dadd312c3f25691b081c74c2dacac511e5754640e7a4e4ba75e,Зебра АБЦ Дооел,Не положил
981c865ddaa73021ce610c4b49e4bf17c1d53e36d632cf2ccb557458f1e4cb35,АР-ДИ,Положил
0a51ec5ad9bd866f85a05de75604fa1c37fb4b11c68b47857a5d1df7334d13ef,Ас-Коко,Не положил
f368b086d38597313044f3c5050059317d12e0e5a7796ccc63f6a021085aafd6,АВТОМАК Гоце,Не положил
cf948f70504717043fc3882606a714d8c8432abb2f3449d3a3b52c80ad24eb12,АВТОМАК Гоце,Не положил
56583edcb86eecf4207d4bc26f799ebcfdb0c19dac792ab157b4e57819be9ed7,Европски Возач ДООЕЛ Скопје,Не положил
c317807af291299293f0f9681eabb4d578900f853822bc134bbbf0cceec632ba,Ива Обука,Положил
8e164bbab9470c1abcf97a57d2395fcadf1b7da2ee73de3c2d51e4c005e07aff,Бобием,Не положил
6ae590fb4014f09ca06b5938dabd93f88a60f382eccf3f7194a1af1f08118152,Идол,Положил
f6ddc291145e7355fab6142fd2651bb8c3c7694103b38f589b563321d1854346,Арт,Положил
88cb476b13a9dfa9b1e1ff41683372ffb612c789ca07a5564383f6e0bfbff408,СМАРТ,Не положил
1ea54eaa2a2ffce1a2caf9edae55b589398cf13c1df7c8406ff7163cfdb6e5d2,Ива Обука,Положил
8ac068f4ff9335aa93ff2ecd5a245211768672b3a195d26ad71cb537bd5ead3f,Ива Обука,Положил
e5306dcdfeb08b345c9fb6f795235317e57c82e06df2d20b356b061ecb9d6bb9,Кекец-О,Не положил
ebbb6e8008decd9d3d2acc6dba17a3faeb50a71ca6114bbfa843ddf77787a2ed,СМАРТ,Не положил
a54739da5bf548513a3df85f48edfc3f372cf6f578ed5a07c76b12084aba48c6,Ива Обука,Не положил
0bc7dcbbae1ef6419f37034c544e962356d46f413e358a9668748ba2f25b84ee,Софи-Скул,Не положил
2c59c18e0e0a62c37e7e3bbae3e4016180a73ff44b96cbe80508d2cf25eda8ec,Деива Обука 2001,Не положил
0f869893a36164a0e6a0fa79b29d2dd9229fe0e30cee570307c1cc9a532353f6,Зебра АБЦ Дооел,Не се појавил
f0792241e76a0a82a36e5e37721450baa94a4d8cf94b961b3304972359957c6d,Зебра АБЦ Дооел,Не положил
833b1a51880f434fcd3a628aba72f9bb577e97e3716067c8cb2df8c1b2af47dd,Арт,Положил
6eb735aa6179d2697d6a36e88f4cf18c0eb21ef45f4e99b411d3db8b0756d40c,Зелен Сигнал,Не положил
651fdd9ef235ae2a07e83a47f51ff7478fe0eefd083ea577f72703dbf05900a8,Шкорпион С 2014,Не положил
accc392aa14a63030435003c5d1147e5e5f5f8287701e91e039ba8ca93fc0960,Кекец-О,Не положил
d59497995abe1e6d82ed8da5fed09cd0a2a1bd618d9be34da7f29f20db9dc382,Идол,Положил
e33d30678a10ac9f9520777b043ff9380b77e773082f8e3388ec8201532e7ca6,Идол,Не положил
08941d03e0262608a001d09f975e8cfdab7cc64732a31b22ef961ea737a49fc3,Софи-Скул,Положил
2c3a4859704288dd0a6d0ef094358f86ae12ac9f1365a7f775f34939da7846d1,СМАРТ,Не положил
2f2656b6d941c1fc2797feae505a85cbabfb1ec27adedff92ae8ec7f0cf774b0,АСХ Хирда,Не положил
b7d4665fff80cf587f58301f5d6c881d1ff2c1a8783be954c8421697f8de3acd,АР-ДИ,Положил
b53200f7fba9e4e47ca5de2a08b1a465cc64e503424a70df3ad23c538cb324b0,Арт,Не положил
48e1f64f45df22c03f1fff7f56d2de514e33b58b190745def611b64b13160027,АСУЦ Боро Петрушевски,Не положил
52eb6ed1765f0f7024240550a425e7e9585cf0fa44d9b93dcedc016c421ef71b,Алфа 2018,Не положил
784ddfb8e428408afa26e833636aacdf04941c5ab2e2792fd03d6932ce034cb7,Арт,Не положил
bdddddf4dda827171cbb963bedb9ab5ed7387e6e0a2203a21eb7c36ffb95205d,Бене Трејд 53,Не положил
b4af2313cd84a84299f8794ea0d7e5a1a77a179dcf51a4b16d3474fdddc8071b,Тримоски,Не положил
07b27e54d65324e127b0def6c5d99e9f2f26eacab7e1456b8c3a3042d3003c62,Ас-Коко,Положил
533b78658a46c2f60c38c2f4abe5ce201ae1431e7460de1ee5a5ac58515e77d2,Ива Обука,Не положил
511fc178d2d15408148dea9cb312f2e0369bdcc3c24f939d531865bd2a9ee22c,АСХ Хирда,Не положил
bb78fbee9ca6c11c37d43c45193445541d8cad5f821bc2f3ef6c9f0f932e5012,Ел Хилал - Јуниор,Не положил
39036e4635ab847db2297e7d0b3999e8e92d054b34f7d1ee8bb34fc0eef50630,"АМД ""Лопен""",Не положил
c86f030e3ae77fa8592bb7d509f020700212162e4d50c0b687d6ac0ff9639da5,Шкорпион,Не положил
dfd0f5b6fb6eaee3b6fa2b84e324f1f10546fc4205a21bd3cfa4b0449b7d466c,Драјв Скул,Положил
7f4a36650eb592ffca03b79eab149f96f7b282bdab5d5c51fa2486c3d39663c9,Тримоски,Не положил
82088b6de8fa4959319f14b9d7b55bc18422915d45426daf8aa509fc220a3ae9,Мобилити плус,Положил
3595489ad4fa78b2d0bff7767d81cbf06e01d984489b7bd6d33e3955c5bba505,Тримоски,Не положил
5fc450d8c4dcbef6f8facb8ef844d0518e0af2125683cfffa125d57b6b3c4b5b,Емилија,Положил
3c6ad2008c38462b0bc363761aa78bd8fceaad4e561f556f73cb7c4baa097002,Мартин,Положил
