"Име, име на родител и презиме",Автошкола,Резултат
43d698c7bbb59f080c83313dcdbb7bc86247522b2675bdd69c32b6aa451af0e4,Шкорпион Обука,Не положил
c9ad81950af1d1a2a3679697e9205b65a7ff7ae9651fe2f02ba0334ba510b6b7,Зебра АБЦ Дооел,Не положил
d183d8124fe4532772326f3440b41c08973a17b27d4dba1d8de7d14e98ccef9d,АР-ДИ,Не положил
b3f537e6325fcb5e21ae4e8b6f143806abd2f0732c2211cd3beddafb1e810f67,Софи-Скул,Не положил
02069cf21457c216349125af5bba71449bb1fb4b989bb73dd0641191000d3178,Драјв Скул,Положил
e48ef9fb36d28ab829f320d4fb9ea179b598bd0a21a086b00e074c9eeaf446c3,Арт,Не положил
f0d9f54a1a19f73a8fdd6210f86f89c7fd5dd16948cf9a0ff71d9e204fb25201,Елита дривинг,Положил
c76a5a1110962dd7dba551e73ad0a53a9605c9dfd5f3ac2e8c868416236b6fa8,Зелен Сигнал,Положил
c586c5ace899c315d588e9c42f3f14baed050cbd5febd89b5eaa9e32b8192732,Ел Хилал - Јуниор,Положил
f058d6f58e75a941469490e8daefce281e3f0e40da6ebf334fd34b0ca1e1f7e4,Ас-Коко,Положил
d71d4c0964d2125c67012328ef481f1704541a6287253b9803543791dd535452,Тримоски,Не положил
f1bf404715f5193c4af34698baf06a4050ed690fbf2315f7d2298efd1b6cdbe1,Шкорпион,Не положил
133c1750891aa1bd883b80e22d7af08d2af9f98bd091c4fd2f17b3c5b3255f90,АСХ Хирда,Не положил
cfc87d4cec16e7c57b62e0681af57185f6765cd8a0504ba8c02f1699e527ea78,АР-ДИ,Не положил
1f834cd278325ebb432da75acfd79a5cc3f319638f42d798cdc2fc1dd33f9350,Беко Бс Дооел,Положил
10d718577d2834b6ab8bafaaa5945bf6d56c4428df1703203132fba93c221371,Шкорпион,Не положил
d28e50072ca8fcc8c38b7cc3745273b3395db58265c998b82f466fcc51a159f7,Мартин,Не положил
1811ec3821c1ee0c94df8987e07fc361924d2b456d2fb54b24918cf0377e0316,Ива Обука,Не положил
f568cd744dca52e0a80eb21a589e1299d66133e377044da7b6ba0fecc752f78e,Зелен Сигнал,Не положил
eb8624bf1f40807891ab612b834c28759229f312e8509b309f0748e324f846b9,Мобилити Плус,Не положил
9aa00df0c628cd4d2407e99be3d212491f89c81b66f3894b76809a13bb004c99,Шкорпион,Не положил
53228d07a8dfbe86087ca487c0d5829744c479bd70a5cc21fb61009b9a099c73,Деива Обука 2001,Положил
b88483b16fdcf771883e87a2ae755911209e27672195a19012f49872b95b7d4b,Шкорпион,Положил
acbb34f2eff038fc46f7f366cbc047c25fbc2ab373eedbe69e4b25b0c89085e6,Шкорпион,Не положил
bf3cf8169424ed4ed33d41ac48a27a3e20b555f9e855ce4c16c1325752384eb0,М 22 Маријана 2015,Не положил
f27947cce9ed407860522afe3ac50bc5e222dff972b74890d79e5034b78716fb,Шкорпион,Не положил
43f31b4caba175456265ae5a0049ec30a38ebb921f2249e4ab810490a978e67b,Шкорпион,Положил
f998a4bad02c6e806777f44ae21a8d0b8db2381708603c30ae1a802e5e7b499f,Мартин,Положил
cf84d6be25f0063771128cbf23b5ac2320746e5a0752b3e65d023170fc90dbdd,Мобилити Плус,Не положил
e09970caaa7e1483c228b5beb31e9a2f45a11ddc7918c170c4f1c2507743aaca,Драјв Скул,Не положил
4105a86799abdbedb61beab33e8307b473ea4d29b60a7dfa514e06bc63f51f70,Мобилити Плус,Не положил
09118ea8ea62c8d31e27ba407b3608d0fc8824a98c17bca8b5356e650b0a2f4d,Алфа 2018,Не положил
1f8d26b34b463c179c70d9187a5e7d75a7e65da2c3e4217975d59a3013e535cc,Шкорпион,Положил
865ddb6928f0732f6ea39282b8346de3c02a1323e251e1fe8fb4731a94f78238,Зелен Сигнал,Не положил
1c207d3a00a057b9b537f8bfa98e1a1006a84d43623f6681761e59f855562019,Шкорпион Обука,Не положил
09996a69cc194fea30ea76061bfe255da363b5c39bd6133baeadbf382f6e22f1,АСХ Хирда,Не положил
0cb0b29b5465063d0b32dc196f0ee5738ba69d303d02b8c92e5088377d5c26d5,Нико- феникс,Не положил
36d275e97da2b074499d38871455254e079a0e655c9bedecc5cc866942aab275,АР-ДИ,Положил
03c884f65921499bb27a45aaaae1262591a3a69193df701270c0126c14cc1083,Бобием,Не положил
50bba9659a9a86cda77bb185bc83783837298dbb31c520ea6c37f15274cc5017,Бене Трејд 53,Не положил
f42896d0d42d9a36afa9427211bf777096b0b17634f0aba3cd40c26381dc388e,Беко Бс Дооел,Не положил
6c0f7880b3cda7ae3fbbaa92a9dc62b5b19521b32179c4bb4ab18764e64ed7f0,Алфа 2018,Положил
bf7963507260539e86e9ee9610bf3d2056daca9be9ef51cae4118a7741b22a6f,М22 М22 Дооел,Не положил
1d8af759ab1878d1c7ce018a0265c96384e73a00dcf4467efbf77378b21d2910,Елита дривинг,Не положил
7328b69967a33fd28d0c0efd4bdf7dd2642f91b7cc92627ef702b18e7b541a07,Драјв Скул,Не положил
980a93efc5ed8e78d88b41802716d174f690df36e528625cceecd9781f8e2dc4,Ас-Коко,Не положил
5b0f341cdf9e92382c1f14bc7d3063e8650d9a64b9da77da7426df9fec5e8735,Ива Обука,Положил
06c45041c5f6cc56d505507cf7d839637a160d07badf09c87474a44543abcd15,Ас-Коко,Не положил
1093505f0caea78fa6327069f7ee94162a30ae3f70b4820730a96d552c0ab70e,Мартин,Не положил
27bc56c86cdf15f84139938afb9a48e2e714ac311e75429fef78421fc6087ab9,Мобилити Плус,Положил
841fac8b0ef74849e7d7c0af449b85bb984ddc5a6bcf7c1ac0b1bca55811b9e1,Ива Обука,Не положил
ff3927c92c0c481a44405b3aca6c90b885ffa44c0a91745a38d13d4f919bbb39,Емилија,Не положил
64b4c18f9e3c2f1c69205026d62e3b781eb56d5b1c1737dfab36adb033255c53,Сигурност ЛНБ,Не положил
ad54e110b98fd071aecc31d1e61a8360c669439f514255525ceb3f4d62064fcc,АСУЦ Боро Петрушевски,Не положил
795fab1a793552b4e515f074c0ac0319f775b742cc1fec9f3cccbbb9f5788f0a,АР-ДИ,Положил
