"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
bcb0d6bcfa16449b51202e9a241c41685ded703c0f6859d24423f25b6ec88065,Идол,/,male,0.57
5a872cacde842626ec8d6c34073e7c3d5c5f3103fe2d1a990ddada8fb77ce5f1,Бене,/,female,1.0
196bd6b17924a189cb35a3018d75b6ab8c5281baf4f23203f29e018411bde7e1,АСУЦ Боро Петрушевски,Положил,female,0.97
821f3cb682047d8d2f7e07d3a53a0c7bc496fafec5b5628fa07a50380abcb980,Бобием,Положил,male,1.0
1adb49792601c92cacedc229f6d4bd8bde395ea59f20072e1674112bc2f7559e,АСХ Хирда,/,male,0.99
8ae79a1208dae9cc624f989abbbc1214920cde6c99b329c6634854e516dbbe8d,Сигурност ГТБ,Положил,female,0.9
bf7dfc93e618fafd5e92d0175173307a07dd959502b3070c9bf7271793cbc298,Шкорпион Едукација,/,female,0.99
3aae7c194dc35f9ffef49bf5d7d99df3ff55533710d84766395fd48e06b6c546,Тримоски,Не положил,female,1.0
0a6d929012b9f20a6e4b93271e5a03e5ff953f8b8ecf2196d35b8f49f404aea0,Емилија,/,male,0.99
091d23488ea00b3f1c02ffc4954705b60b383eba419d55966ab3657636d1a44f,Тримоски,Положил,female,1.0
e3cb586b1d2ed1cf8d7a921882d3422205010e34a14d97194fe84066f58d583a,Кекец-О,Положил,male,1.0
d1f2ea30f6fc6421848296db9b7dac57c44a73c90839cfc756bde2a39b92bbd2,Брм брм Л,Не положил,male,1.0
d4f5640efd977f3262f03bf0b0902138b4e2be143a9b45074089bc6289320ba2,Емилија,/,female,0.99
e9a922f3e411cfdfa3cf6a54b503ba51a7e000c5fd651dd25c9326969ecb139d,Идол,Положил,female,1.0
e2281a19f561fb867f92162c6363ed8b7c197e5c93c80a96d51d3647b09f9602,Зебра АБЦ Дооел,/,female,0.99
4a19f81a54ec789a43ec0023740817ce9935c215952705506f81d2f09a3c08b3,Идол,/,female,0.65
5b557bd8ce5fbd436159f22f4f6cf3fd5084759b93b3ab3623f7ed957a49eeb9,АР-ДИ,/,,0.0
a7f34bd6e6d8e239ed7a4417ab9c3abef489b75bfa8ac1f2f4c4d21e3b1b0c08,Шкорпион,Положил,male,0.99
e80e5d33298a0a4a8e68cb43661e96a92362b3a86373748ba54e3d83500c2d2e,Ел Хилал - Јуниор,Не положил,male,0.99
3fb31f71906551aeb75302edf32a9308fb59133ca8464486efc41982ec5f9621,АР-ДИ,/,female,0.52
4ce1298b469abd4523d5c45ceeadab4c1e2f69131dc698156300210c2030fb55,Шкорпион Обука,/,male,0.99
1d478fc3c295d98da69765dbbf84b39fe6290b261962c3651adb27fc96f2096d,Ива Обука,/,male,0.98
66d68759001b7caabbe1cbca3da64e6155909e935adf0d7f1cfef7806b2bf810,АР-ДИ,/,,0.0
68c9820de2fd432c4f4194442052f0be863b1d8a8910c70f429ee7fece8d9713,Ива Обука,/,,0.0
