"Име, име на родител и презиме",Автошкола,Резултат
0fcbf9f4d5e8d02a2b24688924f857c8e6b7aeb657f8a2d87bc96735bfd4f285,АР-ДИ,Положил
c363c6ea963576ef4f33e306691451b233343ee1305dd8c14cae116949e0d923,АСХ Хирда,Положил
4f13d2a8b41de65d57e4939b25a63c4e2c65bcac6b708b3ab9ed28f75246f2d6,АСУЦ Боро Петрушевски,Не положил
ae67adf7fa203e7dc30140489fce42cf9189bda91dc40627022149594e1b9b01,Шкорпион Обука,Положил
86bd592027130f41440e1e63ec130bc614261ea6bc5873619d5f1f77edadcac2,Беко Бс Дооел,Не положил
ac5bba9bab76a42ad3496faf1208cfc048a4319f00ba0f0afe0d2f0ea913c98b,Шкорпион,Положил
c1553c9d44e1dae30c7e35cbf03706bd03bcf3a7fdfc774da769ad847717c3d3,АВТОМАК Гоце,Не положил
e20429a506e789890cd35ec4a2da5717bb8ee1df2e4b1e342e0ff5e4d409d276,Мобилити Плус,Положил
e98c181730b14918d8cd35f949935a845e64933848b767cf552fd8c155121711,Беко Бс Дооел,Положил
e33d3e0ff0a006619343336b32475b981a94de8970ec992d2c44511214530252,Тримоски,Положил
51ff08f09ee7a671392f44b7a2aa6ac629c80e716cde4485e165f644a9ee1e6f,Зелен Сигнал,Положил
8fcd8ca820e7d87e1be42cfc4d371b66750508ef56e8397e0a795ea378b4fba6,Ива Обука,Положил
497a0a543d368688a53258a4fab022c2cfc41bd50936bcbe42ef61d39e9446be,Мобилити Плус,Положил
c5c5504526cb7437f9e508d898a458e6c43b64cb69a6360795533cea84a6ad59,Ас-Коко,Не положил
6b974dddc1ffbaa7df9e4daf4678bbd33eb628ed568e2efab6b9a462a23120c5,Зебра АБЦ Дооел,Не положил
e7a3ea9cae12c9e7b0c4efa726730371f660b26ed9bf0b4621748be4ad60a9bb,АСХ Хирда,Положил
b1f3683262f5a93b8bdd6880f836c79d349538181b97b42e12a03f78ade13c56,Ел Хилал - Јуниор,Не положил
94a2f7821ae684432bad41cb011a9603bda8dda40f995ce1045b3637d555f90f,СМАРТ,Положил
aac0b85d1a6af79ee37e20ce0e1486656417586a92ff468cfd99bda226ab748a,СМАРТ,Положил
0555914c7ffac1919372b3cdebeac1c6c6f5b4c16f3fc29fbf8a682e0d34221c,Ива Обука,Положил
59f33826647e6eefc8bb545d33bd0ad7f6f19ed332d9d2a27b6ff70a22eb3445,Идол,Не положил
c7d0be4bb568dd14e044a79d6d6e7f9c49a5b910ce766228877cc1e2b6a9a055,Софи-Скул,Положил
ac5fa63f88dd84bcc2a9e1a0c2799d9a7341f5c87e557dcd452222ae95eca8a5,М 22 Маријана 2015,Положил
f079b00cd036c4f2dc08cc14e5f8347b8de2d22b1fc19dd819cc73aeec29a4eb,Бене Трејд 53,Положил
1b3885d180caf4a1f75462634dbfd37cea6acc835b9d8389717966026861e972,Ива Обука,Положил
1030f89280df0866b8896d0e3b3921d3321ae15f4e46c82a9b23a4513d9b2637,Бобием,Положил
3b3ca393a6a6a292320f1ea31d045f11a11fd15fa1e6b2f70774c09a5c104575,Болана ком,Положил
0406195cbf68a77ac961128d17671a9951b7639c89f53fed52e7ee9f1929bd19,Банкина,Положил
645788cc0cc7ceff1d45c52fb38c2b5ab65b78ac43fe0e0b6d87786a4d24b658,Болана ком,Положил
f4b9b58770f36fabe1a9a0eed9c6259d5617e933dbc867b841e7f7c86ca038f0,Мартин,Положил
4b33dc56f587c1417611f48421e0517f7d238860af6d0e31f49002357ed56e26,Брм брм Л,Не положил
a2319f4d458b2701c4d78a2b0595b95202389e8fadd2f95ec0f30f88c294a9ee,Ива Обука,Положил
4c1e00232acfbce306d9f8ba7d0bf38720520f7fc27919f72e834befaa7fe9fc,Ива Обука,Положил
59c842fbaa891e367527e8ab0acea819c368d340f0d18c9d7b516e2939332253,АВТОМАК Гоце,Положил
03353c2f50275efd4aff2c39430ed862d8a95ed267bb27e76f5753c018a84279,Бене Трејд 53,Положил
bb5fa37daacd927e8cb5eb9ab1a0fadda72202033f5512170eb57fa0fe86f110,Беко Бс Дооел,Положил
