"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
89e96db3876f1c539739e266368cb1d44d4f54d63fd3f65602fe8f1ad31f5f33,Зебра АБЦ Дооел,Не положил,,0.0
0077531b54aaebd8592f909d21c9eafd4b29fe100d697c6be419d9259ff12ab8,М22 М22 Дооел,Положил,,0.0
c0358438236acfc574a630ed70bb9e977e616f55e0c03da2ecbe0dffdb6dad41,Зелен Сигнал,Не положил,,0.0
76fe3445db47862e5fee026b6b9a17b91213e326337aa850bf6251d046d96dee,Ел Хилал - Јуниор,Положил,female,0.96
8134d53272f647f6ebc13d84f33f957a6e9d6da8c8ff89b75648cd7111a7eb33,Деива Обука 2001,Положил,male,1.0
b2b276e6b1d41564175a1eda3479616f09212779ae667fd236b7edc866c93f50,Идол,Положил,,0.0
614ffbf77d0cbf0c33e5f3060d9641d4308d1e97d286f2e25635dff54455cb9d,АР-ДИ,Не положил,male,0.96
63379c219e7e901223b7a58443542dd95f294a3cc40dd9019d6ee9ee3b84ccf2,Ел Хилал - Јуниор,Не положил,male,0.98
8dcccbfabf5eab56e58456acf16ecf764153e884f8be01f35691d12c5b481337,Виза,Положил,,0.0
464dad1d1de136d2dfe13fa267c698cd092443f3d6034d5c925f987cb26cceeb,Шкорпион,Не положил,,0.0
2dca004190734d586112524368febeccbd8a953c39836ec313ac786d02c42ace,Формула уно,Положил,female,0.98
a3a8d9960842b07f18da4df2b9ffb25652bcff9e6c0c5934c39ada832fbdec64,Зелен Сигнал,Не положил,male,0.94
1ca4d6313336c393f9c8ae20023b775fc2eeecd63836f0316c7c4c92b975c6e1,АСХ Хирда,Положил,male,0.97
305431db252dc24be20a771928edd93d50493058d2f372605339f29f2f9cec55,Зебра АБЦ Дооел,Положил,male,0.95
4c20ee59923cb302ace8461dbbd599789dffc9bad38adef8d63b5bc437c363e3,АСХ Хирда,Положил,female,0.96
6516b48643c0ed04807cf4ad9bb7572ca1076c16e39696377030cff6637122a0,Брм брм Л,Положил,,0.0
