"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
447d428fdee2a48e9cfc28774a9848dbb0080d075f48fe1931ddf8f1287a336e,АР-ДИ,Не положил,male,0.98
0c39f04b65ddde688003443c5c13c98664c1e3729b5eadecb9bb45b5ac42f0a2,Арт,Не положил,male,0.97
19ff6a178b53cd15444be4b6a9023895f30bfaccadb6e834c07715a694a2f679,Зелен Сигнал,Не положил,male,0.76
03f6c5c8b6b50b21f534313757ea0b10263683a6231457efe4feb6811adb43c8,М 22 Маријана 2015,Не положил,female,1.0
f95d962f00d7a30f52bddc4c7f85f7906aaee6499a027521e0846d117589d3f7,АСХ Хирда,Не положил,,0.0
95a0bf2b42643fe4f9336216fa846b86904b7f5c8e21f2b8d702013a08f161f6,Ел Хилал - Јуниор,Не положил,male,0.94
6c415daba4c2f1389862cece3aff1aeb284fec597ddc58a909b1789d4c78a484,Арт,Не положил,,0.0
e218130408a15dbf658bdfb9e66565cf7f47b1a769e068f5d3e3ddd3546dd430,АР-ДИ,Не положил,male,0.93
1d2c9bef98651846bb8cb09a3e6c9d65f5f788671c5f01207b21dfbab3e6827e,Деива Обука 2001,Положил,,0.0
85ee9899e4be5ddfde226a62b36762fbb45c1456c6680968eeb54105d92af63f,Алфа 2018,Не положил,,0.0
8fe5fc3a5b21bc899ea7074293031e82831be055d78b07c54d1c72b478168342,Идол,Не положил,,0.0
b9ee93d8ee69bb673072ac2b6c524d2334c9ac2d17ed8b4a81a116f372b32881,М22 М22 Дооел,Положил,female,1.0
8442acc339f4d6743ebc5a53bc6df1adf0f8995eab33b2fdc2a5881e56163836,АВТОМАК Гоце,Не положил,,0.0
6dfe304b6758767ee06ae3ae894c19cc925b13c7d83e9f10b1a33f048a814846,Кекец-О,Не положил,,0.0
d7cdef151ebfd8d752f5ccacb1ad5ee8b24a24464f936f50f632b9bcdb1e0ff0,АСУЦ Боро Петрушевски,Не положил,,0.0
25dd7b77e28115708407934cf56986de498809221f9f1e48cc242f90973c77f7,АСХ Хирда,Положил,female,1.0
e3c2dcc81fe9bf703d5cbea26d6eda246e8adb762d0418ab6faace896c5406fc,Ива Обука,Положил,female,0.95
4d16056ec9567aa913714e358198c866c3ca00401b9456c67bf3ccb9f9fe4796,Ел Хилал - Јуниор,Не положил,female,0.98
de65d53c6cf5514740eeabdda8ca13fe0a9be02acf24ef7f441e6079de1a3965,Емилија,Не положил,female,0.95
f314b0e66aac1a8620eb5afeb82dae2c9d2be8aef3a6e501833283dcbba1217d,Зелен Сигнал,Не положил,male,0.97
e4cf16ba6bdee5916dbbcf5c07af613f3027393e50cb4564a1cd169fe4282eb1,АР-ДИ,Не положил,male,0.97
9ef9782ddb29f505568d17ea74fa5318ec32d09299188e4ad34c7b10d760b3d5,АР-ДИ,Не положил,male,0.98
9a6d85f48c0f609bbddc4d68ed9d3f33b7fae26484b1e786090c9d749d05ebd6,Шкорпион,Положил,male,0.99
25d1b19497e8a246d0f3e0198d6be999f2d63451bad194c5139563d957e2cde2,Елита дривинг,Не положил,male,0.99
d7e44a0c11dfb1d80727dac7a4946d27ad909cdf870d3fd7c35bbaa0a4ee71ec,Шкорпион Обука,Положил,,0.0
7b7b212bb2120179d7f0a9f9963bae732b025fdbd5e881c834ebf40358fec7d0,Зебра АБЦ Дооел,Не положил,female,1.0
46b179d2b0c461681f4fe41685bf5a8284d44e69ab50f8c73ce84dea77801b86,Панда-ЛТД,Не положил,male,1.0
