"Име, име на родител и презиме",Автошкола,Резултат
6bc0f717053b7cb2dc645cf221b94933668c8fadde347f2963b578eec43537ee,Арт,Не положил
954332e34359213cab8a8cdfdbd4f439db0b957c002c1baedbc8fc2d1e0dc69b,Деива Обука 2001,Не положил
05ec7f31b547ee7f9adcb9fed77722607641fc1106b92f1e23238b967748ca14,Арт,Не положил
d2031dd3c4cbc878eb61743d13e0bf413cb69efd032f65061aaea5ab96420244,Ел Хилал - Јуниор,Не положил
ce9e8076f71a89b1c3db686edbb73a95463afe1391a0e767e365e2cedf97371a,СМАРТ,Не положил
c7391ecf98fab9e84069813801db65efdac45281f37f5d11435ad67b77eeee5a,Зелен Сигнал,Не положил
71893a7765ff9b200d9c650734f2ba43a6510e982043afe6a552cb6c12a70e45,М22 М22 Дооел,Не положил
d8219c6d0ba7bb0964cee4e738938ae096d6f7ac49eb2afe1f6d8570be546afe,Кекец-О,Положил
08da45af6e5b730debf48f331924078c13a2cd17cbf80adbb1c78dd457384258,СМАРТ,Не положил
3925d4d2aaee5eb3a68b5d688f7d93695eb176cb444351ddb197ac7d5b926429,Кекец-О,Не положил
5e2d90365b65005de17582098a65d14b4fff5d95d74c7e1b8240ae4f60dfb6e4,Ас-Коко,Не положил
5321b5ee58b602b49be071ec544b9e28c0823738b4456ffe59bae9f3ac08ce3c,Тримоски,Не положил
37a7101c30f47ceb27ae5a85ce0f19a2176c14a4af9af16378e7fa809948e48f,Алфа 2018,Не положил
d1f99c9f36f9535078757981776c6fff4d966fd7bf1c42842fe07a53ae2170d8,Ива Обука,Не положил
1be6b9b825af7b2c4e8b8f4bd1e0071b2f13b51f5993fe4a6af6d566e2438289,Кекец-О,Не положил
21909227fca6130f96457181cbe945bab7b4867ea330a8d609ac4f9c66722764,Мартин,Не положил
46ea73dae687970b84f9e81dfaeb6d209308ba2f83ff3cab76c17f7c1a09ef78,Арт,Не положил
6ca7c664e1adb9fcabbb60edf23c2bbb34149a762f92771b5f63107db05d4b3f,Зебра АБЦ Дооел,Положил
9fca9a5f948b1ba2856587f166b3e089e6c144d665be2b1cb96b788c6bcbd741,Емилија,Не положил
5f29ed36cf4ab8b3a79f6e46ead7955a86d2f451bf50600be62d51a903fd389d,Зелен Сигнал,Не положил
267a980b16cec3653f5b5b734881f455c2b9ae9a24ded4bd97656d7c8adc7f94,Зелен Сигнал,Положил
55e86056648c5ddd2c578a0d5e6219da7565705d31d38c6aab2b0bfcc6a3b37c,АР-ДИ,Не положил
e9447292d71f057bda69acb3e137ed900366bbb167de0a8eea3c4429e9f49b89,Елита дривинг,Положил
b37c8906dffa99b1f6c4abfb95d95766ea4c2292539203d91ddb0c759ac50f8f,Ас-Коко,Не положил
2d4ccbd05cc4dd973e17a65ea7d414f5581ed87b1d015163185e841b3b93e695,Мобилити плус,Не положил
bd5a3cfe7a36da945e30a5bf9739d23fd2d3e4bdb08778f296b503db0d2069c4,Арт,Не положил
