"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
95f980980d860374001129f5f43cfe6670f1bdbc69f9a1af13a3d692c84ad3d5,АСХ Хирда,Положил,male,0.93
292550dcf2f4b13b46c84c1588a96143e47ee470f838185cde611a8fa59fa664,АСУЦ Боро Петрушевски,Положил,male,0.68
772ee1efc782927a0f57ff0ded8d234b17056a04d41f805a213553dd4e209b54,Тримоски,Положил,,0.0
556f8f640dfb7fd78894fe8b76c86f41f893fd2d9e7226d195c9b9f9c4908447,Брм брм Л,Положил,female,0.96
d594c7e589cb315e755249944c5a1f3deee86d040e96aeccbb18d235113f4b85,Панда-ЛТД,Положил,,0.0
4485e583f0c33b057c518d98c4fa291016ee0f7ef68d5a2a63ae7e137d128c4d,Бобием,Положил,,0.0
c041fa673f7ffa3c35b56799da2cbd2d1791308bc5c920d02e29b20c31848673,СМАРТ,Положил,male,1.0
c308d04b520dbce565056f561d0ed2e7c7f4c10ccc6c33102eed9d9ec829062d,АСУЦ Боро Петрушевски,Положил,male,0.99
9395f14720c5c98f6e77a766b85cfd7112a2c0698b968e107ea0a340fda8c8f0,Арт,Не положил,female,0.97
6ab9688fe50d946661f764aa2150d5564756dd8e8c4f7aa733dc42aeb9a48c95,Шкорпион,Положил,female,0.99
38eaafec237edb993092f3a540936d6382d761b09ec76db85f58ead79a3d099c,Мартин,Не положил,female,0.78
1992963f54c89bd6b1f645ed95a014482829dbf185275f98876edcacfa840f49,Кекец-О,Положил,,0.0
3663919f42dc7bba87d41c1d407fdb8f7381c0bf9eea023c588f2e090a05618b,АСХ Хирда,Положил,female,0.97
32609aa71d5adf5083032241e730be2c3db23198c7006143aed89477f6019668,Панда-ЛТД,Положил,male,0.97
e8e66031b769c353910964f0bc9869f629066edd7532b21da9c3da0a68d50700,Бене Трејд 53,Не положил,female,1.0
e7daa192252f8a715132132a844b0b3d437a2f5086c9fa255bddbf3ad13f6183,Деива Обука 2001,Не положил,male,0.98
1b1b50973c82d9008b10b3779a7dc8e4eb9eec49387068e231b8d2e319d9aa30,Шкорпион,Не се појавил,female,0.99
2433498a03cb23338bf747bfdff03891fe5f1a6a6e9dde7cc47d3345f01b90da,Мартин,Не положил,,0.0
f05920528a7f6e318df7ceaaa0d9c5e169ca29841f82fa559f84fdcac1a046f4,АСХ Хирда,Положил,,0.0
b49adf27cf63e5ffd6cac639988ce73313cca5b00aec4d8cae69250c7a256d37,АСХ Хирда,Положил,female,1.0
db5a7f5ce9e7d0c3e15893d3f5f8fb27e7c24bcb2388c5c8e9835c1c6022f148,Шкорпион,Положил,male,0.99
86ee3433c4204b84a200feef64399970751e60b10a683ae002cd72cb3180e786,АСУЦ Боро Петрушевски,Положил,female,0.98
db2ee9fbf442abb205ddcf68f1163f29e8a320182392542ff19999718bc1c8d1,Шкорпион,Не положил,,0.0
0e0ba91399e3cd664ab334c517d4ddcfc3c23f67bf73b78c24cc983a19b027e6,Кекец-О,Положил,female,0.98
9aac9844eb0ed6d4f83ac4f5ac467f241fbf0c0b374db693855537a7d71efacb,СМАРТ,Положил,male,0.56
005a4f982e468e4ae3614ee3ecd2e791efa29bc8ca38f7231a8e2388e42452b0,Ива Обука,Положил,female,0.98
e278a943f5d1a0985adb146f735020c80377496e0bad83a444c95cc983e46744,Панда-ЛТД,Не положил,female,0.98
01279c7746b52fb6a7e5e2734c5088964840c7eb220bc4c09c2f11335cd6450e,Елита дривинг,Не положил,,0.0
8a4db44030f919075c6c063661a6bc8b4225891672c2afc75e3bcf21b630dfcc,Шкорпион Обука,Не положил,female,0.98
b23763daec09f5e45a38067655308c78ce6f2aadc1eb573912b13252505cd896,Панда-ЛТД,Не положил,female,0.98
5cd7fe4147bf17167a1890e4462151eb6d0aa6021ca48a6b3dd47c51012f48cf,Арт,Положил,,0.0
1419a39eaeaa1f98c2ba77b8f095eaf9b42c5c7d99508b936a419b34eb1cb95c,АСХ Хирда,Положил,female,0.97
841fe140904caa905fc72de3ad8ee4e7cb579ab9e088e8514da4ac9ee2d382dd,АР-ДИ,Положил,male,0.97
9fba96820becd89cb7bc9e38f808d1a1321268df776c3de572df52c2d3a1d0d9,Елита дривинг,Положил,male,0.96
bebeab9cf0af5507c463a696119c702b2503f4abce885faae0b4f8f68d19e34d,АСХ Хирда,Положил,,0.0
