"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
9e02fed1ebde1d70b152975e586ade103e2d127ea33ef716d71feb000938b545,Деива Обука 2001,/,male,1.0
5374406b0428b366611158c43bf3576d453dfe3bdb574035c9a7c019fb92bad1,Ел Хилал - Јуниор,/,male,1.0
d8728657ebc8f4f8a2e2d543ba7d36b044fe47bea6b0a4d6427006514e5146a4,Бобием,/,male,1.0
eb247a071b429e8ce037dc9c30b28d4c3001723181c79ae109b953ccacb25235,Арт,/,male,0.91
fb62f7e50727f8fd766d72d95cac45e83ed8b32f5a31122d79be6a4fd478dc8b,Идол,/,female,0.99
201ec80cb3ef127de1e6acb53f45145adf5e7c75e59cd41eb54f8ee4d9d8187d,Струга-ком,/,,0.0
0306c30de31aca99a30158f1eabc2e64a7918e4d420c57186e1f520b83658e2f,Елита дривинг,/,,0.0
ea62041761c49eb04ebb02e4ed19c68feb2eb3fbf1e4aa5bb3a19c6ec4836099,АР-ДИ,/,male,0.99
d180522ef08b845d231d0d98da3b7216693e9b72275b48963617087769c88e21,АР-ДИ,/,female,0.99
5195f37a8f802ea3568c73d4d7c9745d1fd0aa0907026aa4b101f6c1ea61ca13,Сигурност ГТБ,/,male,0.82
41fb38ac2d59ba14ac98df1042601b969f72fb09e41f1afa535af4a608b2d980,Шкорпион С 2014,/,,0.0
ea9d1216fc952be2f0d55905c2de35ab75542d0acacbd2388323f04fb51009ef,Алфа 2018,/,,0.0
6d63ae2ef141992ce21920643d550dff8e1729a2fdab2f8df67649fd30a405c2,Мартин,Не положил,male,0.69
9a80900c030c87c2defda9dfb524f6232400d994bf2ff1be42dce35f2001b39b,Мартин,/,female,1.0
f08fd98c15e5ecca5d6f32a695fce685e36b52dbdd619e5126608a7c1d8f2d2c,Бобием,Не положил,female,1.0
17e853fce6080eb2dabffff409dc9751d56955c6e0f2f66d4fb59a816d76ba86,Мартин,/,,0.0
8f1ef1e00ed9d090f6965e71b86db5fbfe2b22442465d074f3365a1f18040dc8,Болана ком,/,,0.0
3520a9f4035a4085edfe66cb5862d20fa173ed8f72b16d9c171ffe7d3e0c72dd,АСУЦ Боро Петрушевски,/,female,0.99
b9b9902eef74fda50a145af001f7341dfb53858f7fed7d6d85c75743ba5c557b,Зелен Сигнал,/,female,0.73
cc1b2483f68503c27e86580bce8bd2d4d1059b99a5e4ee675861587801dfb353,Зелен Сигнал,/,female,1.0
b0cf5f4e1c5ac410cfc93262f43cdb11210f8db024889522771b7d6a61c5dfe3,Арт,Не положил,male,0.98
b49d9ba52d25b5a5c7210c72f9e4e845965c517d2ff43665e8c93db97b4374a1,Нова-Нова,/,,0.0
eae790c9c2ee1da8d7bb5e65b7ae3dc0fcde70151d2386b3951789a94c94ca4c,Кекец-О,/,female,0.96
db096cb10b24888d8dcda51e346a41a37e382507a4d6e5da70a0423b529c705d,Зебра АБЦ Дооел,/,,0.0
924acb1969601a4f38ed59d43b8b7ba57bb0692b1d6af7eedead6bcfbd5de822,АСУЦ Боро Петрушевски,Не положил,male,1.0
880b7ca80e154d59aa2893ca939f23c89bfdf7a0564a80423cab0437c863d93d,Арт,/,female,0.94
adb9f4d9333c6998b94974c2d2808bfd3d05e3d090cbc1d062f03c1d67b601a5,Тримоски,/,female,0.99
b0750320b53841f69007bc78539e2dbe293b7c7c72cc522467d8100a7f7f84c5,Драјв Скул,/,male,1.0
6c2861707d3e3b55c09b2f8e27c6cf2c5a422f53e72dafc2bf18250ce7953f57,СМАРТ,/,male,1.0
3a1fc71cc59f2a3a808838e6a708bd4d4766f5d7506ac00bde26ac5895be6034,Ива Обука,/,,0.0
650e10262e87aca73b4fc3a1349e1e5009c8285347989f776d5c7b67450b5d84,Мартин,/,male,1.0
ebf3fc21cf5db4d1ee56bbed3459472bace1091042584dd8fcc59f0df9109671,Европски Возач ДООЕЛ Скопје,/,female,1.0
0f04ce8dc90f9771bf054ca42fd9eaa39e8b3fc83ee0434d78b9a78b3fb921c8,Идол,/,male,1.0
c9cd97144f93929c225347e78c33c0b17502161921bdc1ea041f45c7fcfc91d2,Панда-ЛТД,/,male,1.0
b5a2fda5b819141545473219e927394a4cccd7b4283012340333e0b6ab0791b2,Мобилити Плус,/,male,1.0
484659b398eb7a045791cab8d658fe736aeee7876be15f1353c53420b4aa0be7,Тримоски,/,male,1.0
854c3db8b8fdaeb040263107e6953d5e2ff2b7fcf440019351602db34c3766ec,Кекец-О,/,,0.0
1e90975844ed512da34480d6047970ca828eb689280ebad5e27a845df8dc6056,Зелен Сигнал,/,male,0.98
3e578eff103a49075a81caab38e0cd7e84064f812ef6a8e13c35733e917010b8,Емилија,/,female,1.0
f0a1f98eaee166c9c213367d1174cdb3f3e0fe77e47db66af3c33042969be6cc,Софи-Скул,Не положил,female,0.9
74e9a7a2e639b7a21ea1f287049205fb8eadd1c16c37760b1ea29234d70516be,Шкорпион Обука,/,,0.0
a33826acd26188242c0f81998a73cb7d4e230e38e646830788a90c711063e654,Зелен Сигнал,/,,0.0
bf09efba8755a7a79fe0c8f2fc8c062c50e49e25faf577c918c801f00622d764,Софи-Скул,/,male,0.96
b53029e13c164c7ecd9150c9e0f669424baffed13ca026946122bcbada4ba24a,Сигурност ГТБ,/,male,0.98
8425f6649edddf4121167a10f85753dd3dc4755194b1523cd7be049f60874a26,Арт,/,male,1.0
fbc94abbd13e37415f2cef04f5d848746b6098de40902bec2e227ac20a80eb94,АСУЦ Боро Петрушевски,/,,0.0
55d9512c755e065e66264941269bbc12d31608ff33799c4cbd2354e01182fc41,Шкорпион С 2014,/,male,1.0
5ec4c13d3d18885b0499db9a14c3558c4dd40e22b982765c6e2253743c8c2122,Шкорпион С 2014,/,female,1.0
2db489948c1dbfae35513abeeac3ebe834c57988bf4e0f3d0a4be8dd4cceffc4,Арт,/,female,1.0
436e9cece0499ac6c4dacf09a32a51e924634d6fcfe2c1d11263c997d7aa012b,АСХ Хирда,/,male,0.99
3b2373a86a21b9a34ff1deca99eea99a9a36b22923fa425a8d30b3a22fb9be7b,Емилија,/,female,1.0
08b7f4dd0c8a2f421f77c7d8e3a9dd5797c6cb29e1052f0ab64181d5b0858f4d,Зелен Сигнал,/,male,1.0
a8fa6b9ca1f02504ba2374cbc1c1c6ac8f6c303bfcbc45836642c8aea6976084,Мартин,/,,0.0
be9e800dadf28236bce87d74d0fe4d94cf63bf3206d0915192a47d7b8430f7bf,Елита дривинг,/,,0.0
90d5ad34609ae4f24eebc3d13e6e285f439274850d91385bda1163e37e737546,Драјв Скул,/,female,0.99
5d47fa205c2a5b699364ed3fd0d2293cb72af9baacc938d23baf3bf16318051a,Шкорпион С 2014,/,female,0.99
09c2a8684ed4b47690366d9b6ab12b8c0162e67681454595125c9da21f6b3833,Безбедност,/,female,0.99
69e560e3b2c249193a048e57221b3628dcc88aeda10c6e1ca33f2b5698cc808b,Мартин,/,female,1.0
bfaa05eedce8b08f10cacdc85bb214407ab9f5976469d654164d38a593726c65,Деива Обука 2001,/,male,1.0
832f90dd5c3beecf575368eb961425a6d27e574f16f7b1f2722a43714517e0b4,СМАРТ,/,female,1.0
acefe350bee1e6c30b14585287ab2a3c880ebd01f80f779fb12f9bf1a7ec776f,Мартин,/,female,1.0
b4580cef3697af52a315ba07f5eb27489308f7c94f8cf39cbd29be114ffb5715,АСХ Хирда,/,,0.0
8693ac3d294e310b0a092d021483a8e99b50ff851c979be8b3957ca20fd466c1,АР-ДИ,/,,0.0
8eaf2453cc9f444eaaf5f9681085a91af180cd57fca13701438cad3f254c52cc,АСХ Хирда,/,,0.0
f1f24ae62c7d3fd3b8473cce62afcf300910592566810250f35d83bdc4b8ff0d,Алфа 2018,/,,0.0
ffef94e1a75d2ff5ad74dbb590261f34742f0d7f36870ee7825f65d5970c1a81,Бобием,/,,0.0
