"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
c03bba839a9b719d2e188223f7c1d3c3d399e2c55f5a82602394adf5e5543c81,Зелен Сигнал,Не положил,female,0.97
6f7cf3bc0c5db6c90a741d464e89583fe60b8a46aa61e68a7f5da9f1743a5035,АСХ Хирда,Положил,,0.0
083030f6be4a14542b2c29b631a37c8f73b80dfd3b00be3a6f6fe8202cbc0c12,Зелен Сигнал,Положил,,0.0
e2b44d747903da62b887fa0094f6ea487035e462339034303afb4e73e43f0d20,Ива Обука,Положил,male,0.99
210dc9314a4d9a6ca9ff73fd179d2c18e7a23753346b62b4de28057c1d010ca2,Арт,Положил,,0.0
c96c5f1902dd769a949db07653140eabfb9a0ceb34915e6c44fb7b2b9cb02cd8,Арт,Положил,male,1.0
b7bd54c91a05c98cac650aa98cb6d7a4fb402d60e13869cb1a829f818a4cb06e,Сигурност ГТБ,Не положил,male,0.69
99fea70b99326cba136573ee523b2c807764c165437c673bba31b17569b8ca1e,Кекец-О,Положил,male,1.0
993f480e0986d814bdccf4af5002cfc85490be64ac59e8c22b938933240a49c6,Ел Хилал - Јуниор,Не положил,,0.0
26404431d50f3e94c9ca6855fa843345af056ed3f3629814287660115c46bd36,Ел Хилал,Не положил,male,0.98
29eed45cccfcc81b2a379368e2a893e6bffc8686a26151b1206474c2ceb1271c,Идол,Положил,male,0.98
bd1d02f5cf482c1140997f91548563efe31185043afca3e5774cee446a1f30b7,Ас-Коко,Не положил,male,0.98
c10dfdcf3204e8fe18905b8af323d6859a859a286731330dde39d019cc7ce071,АВТОМАК Гоце,Положил,,0.0
1b34f960765e4e3fa0e92b141abaa2f169ce891c0668dc9e6f8b9f6db00e91f4,АР-ДИ,Положил,male,0.97
c3d996aceabae3efeef6c9f3e205a57d4bbca6d0b6633046d8509f2f6dcd9178,Зелен Сигнал,Не положил,female,0.99
ba2a9d1d87ec1974d0dca7f075dc75ed2731f275a8f3dc29387f215232d31bdf,Арт,Положил,male,0.58
0c72f783b38460002f0e4a80100a899edd048a7e8b56678b488dcf93b109769f,Тримоски,Положил,male,1.0
1ecfb5bbde289212ec32a32885fc85b86d1b68b1b864ee39af8402373c920513,Сигурност ГТБ,Не положил,,0.0
89e3c42563e8c6d1573b55fbd7bd7b8785c7fe407a831ebbfdbcc728f2e0c9ec,Мартин,Положил,male,1.0
426da64e5b28f738dcedcc2a002aaf427fb3fb0271c1b8125923d1b7a15a7e2a,АСХ Хирда,Не положил,male,0.95
fe511baba561af13cf8d136262c34f23da4c9a0581e5f52f7fe80711d6ad30b4,АР-ДИ,Положил,male,1.0
7732a2b1cefd2c6f804cb648efc01a2604be007079e7ac9f81daf333bfa64513,Ива Обука,Положил,,0.0
5b6275f3f8a62168cf22a6ddb993ccb2ab5023f4c68b8b302d50e8d75d574774,Шкорпион,Положил,male,1.0
35c2da21fe6e8fae3ee5e34379d1259be1f191fb42cc48edccf82e437437e805,Бене Трејд 53,Не положил,male,1.0
9b1a8df2bd369f533f7c6860505983dc10e538dffeffb139b4d5ad94855a6972,Шкорпион,Положил,male,1.0
