"Име, име на родител и презиме",Автошкола,Резултат
e975bfff6d84da27679d68963df0f06027b9096e60c65daa81d228c9781227f0,Елита дривинг,Не положил
6c3f07fca8a32048b5dbf315141be72c24fec25298631a8d44624b601855fa1d,Арт,Не положил
ac691e01af3ad3a69ad941100aa76339f65fc7060cbea1f990d4b49a42f5818a,АСХ Хирда,Положил
154e22bf4ccf15a5ecd966824f984326496235ff01eea9da5181f6e755b8c1fe,Шкорпион,Положил
4f600760b5954275608c2ae770bcb7549d2d5d5572d0ae466341d2e1326f4f0f,АСХ Хирда,Не положил
b1c7c4a650acde4a9ebea28c5223eafc66da33c7165d8aa256a5c07e231a4fa7,Арт,Не положил
dc8ac94c49147f4be00475840ec4c6ec142736185bdf3c86b6fae273a2c7d1a1,Беко Бс Дооел,Положил
b6aa185bbf7977abea613c24d12d24e53564edfcb997783081d829d17226c9e5,Кекец-О,Не положил
ff0fd2fc8aeb5255b2d8804ae8b9f87031323dd9bfb80a0cf5e1feef08e612c5,Алфа 2018,Не положил
c9d6c8669fa3a04243c7f0cfcef71e9301a65a79b437fe5c4f88a42f7108995b,Елита дривинг,Положил
8328d2cc48d741da45ef1ec6263d2ad4ed7a9b89cb86e6a297b87762652611e8,Ива Обука,Положил
34efdef6a2e1a314496016a9cae397bc3b7903aa7c91721cca00e6f12c6152fd,Зелен Сигнал,Не положил
edd31c4529b7df73681404a07fdca0af38ff4fc869b96844def1e3f0c484cd32,Арт,Положил
e63bda246c883f3f80286598d73bd4c8e3d82302eff041710bae38ac246c4dae,Мобилити Плус,Не положил
9211d227e7c260d9e8ff9de17f01211027bc60a8757fec8a6862e0e96b83c3a5,Шкорпион,Не положил
e7883a4dbe1adcfa46669a8c69656551590f3e00b870cff91a43e7f63db23117,АР-ДИ,Не положил
4935f6c785bc529e56a3060b9b9bdf0a0cde4d735effaa21446e8446459d6e99,Мартин,Не положил
c386b9c735bfcbf74daf85a4f1ff4f3d249c7b99cb4c4f0ab9d54c354bbb5694,Шкорпион,Положил
bdb7a1d2bb4b9dca27a1ca1c42a64c003bf58f4eba1408b0138d5e448cd8a8d7,М 22 Маријана 2015,Положил
58cf5e56d7bca513011a6c8d1c13bd20ea33e64f44e9636959f9981299e90048,Ел Хилал - Јуниор,Не се појавил
2c654eb8480ec8330eab5b871de9b913e8c5ca13d70a2570a509419437cd8c82,АСХ Хирда,Не положил
