"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
0bee20c2a12470e6a8ceae1a42fa709a7ed9618ad22c4f0198879c300a0dfeb8,Ива Обука,Положил,male,0.91
90d3678aaa79f2419461b7a6ad8e098dbbd39c0fc2ba0c67afbbb19a3d9943d9,Зелен Сигнал,Положил,female,0.69
134bc3574835dc5890d8edbd60f79cd355b720b4359f4de8208aaa6d3bc1baed,Европски Возач ДООЕЛ Скопје,Не положил,female,0.99
bbd51bf500babe069723aa71b1b8a84caced476755bc3937c97b08cad7fbe9ad,Тримоски,Положил,male,1.0
9aa9b6845b7800d0fd470a30fe11010ef04beb532e9c40c41ac12cc0fa0a60cc,СМАРТ,Не положил,male,1.0
c79fe63d1d51eb94d8cc49a51ae8df3a49ff6f9224525e7d04ed1bd56db298a1,Алфа 2018,Положил,female,1.0
8dff9c0628017e7da72ba88e8fa847d31f1e26f557d43b21476a45860708d8ea,Деива Обука 2001,Положил,male,0.69
527c453952643c9c6124f23522ae6b5d0b9e34c8ab96919958ebfe25aa2d9965,Виза,Не положил,female,1.0
70f3fb24d6a1c5876f0a9ab3dd83b910fe65213193323867e9c22849eaabc254,Европски Возач ДООЕЛ Скопје,Положил,female,1.0
d35e656dfaa7e1649e65e965f6676773984a0aa336fce93a6b0e93d263605999,Алфа 2018,Положил,female,0.82
1a223e156ec07f6a4800b45d6185a5725a47903955f8faf3e51e7aec5cf58c73,Драјв Скул,Не положил,male,0.97
5ad8724ef4fa7319847491023f7c2c2e70b5c6eae5970884285779095efe2ff9,Арт,Не положил,female,1.0
4a2ce69440da3c7580f26240639eb62ae2baab61015aa3f709a2b19c278a677f,Струга-ком,Положил,female,0.96
a27f5559dfc8a31bf2d4879b397805649750d1a4ff7b0b1d5b43f30d8d0203eb,АВТОМАК Гоце,Положил,male,0.96
ca86043f27d73b643dbf41edf6b1eb75ca7192cd23a9a627e21284f4a0104e56,СМАРТ,Положил,,0.0
b7cd1fd5e4938c42f632f27ab1f45938588e0396440efbde568b74229cfce18c,Тримоски,Положил,male,1.0
92e8cd594e5fb6908351ca7ee19ea1b8afe5679d07aea96308618c32972c46ef,Ел Хилал - Јуниор,Не положил,,0.0
990a8e65c2bf2b92a054c6d21f24c2f17b7ef41f8cd04cccbc20c4e9e33125b9,Ива Обука,Не положил,male,0.99
555c9f1e3bbf76f405cf99b08f0926b4331f539b87eb984320d992f4ce50298d,Кекец-О,Положил,,0.0
ac44d806343b778c58bea011b097f93a56825f560acfb1f342457a29cb632991,СМАРТ,Положил,male,1.0
d750c0b2e3413b3257229fe79634e4242c63516a5a399a53da85ebe2c2ee2201,М22 М22 Дооел,Не положил,male,1.0
4ae178948512d8d6f9b163efe9bf4cdf76f60f09d59536050e3ee35a8f2d5ef1,Ива Обука,Положил,,0.0
8bca99ab437744201ef119ff25ef57854cca47569a586f7aa37489fc107a11f3,Банкина,Не положил,male,1.0
c8a8750dee2aeeba3f1cc122e98efba89351edf6d11936190dafcced2a043f4c,Тримоски,Положил,male,0.97
894470f163b1e8e4b564a3256ddde6995fab6496f6a36bdb561864b5bbc85411,Виза,Положил,female,0.98
d5be726f52ca417aca86eeecce74a5715259fb40d42bc5c6dc4ac2ea53c49919,Брм брм Л,Положил,female,0.98
dbc1db77108da104de193a7ccd9cb2c31c5441bec1a8f45b453d7ea8dd7c6b7d,АСХ Хирда,Не положил,male,0.98
831aebfde5d549aa410229adf8d2dce2fa5ff6d03ba72ba97f1351bedafd7273,Идол,Положил,,0.0
39cdaf92f313c3de20a22fb17cf9255bb6ebdd2321216a25b4c8c8e12efc0477,Мобилити Плус,Положил,,0.0
c67b0d36276a0e3d4eb9915af795a7a9bc93fdcc617b112afe6e001e37295d85,Панда-ЛТД,Не положил,,0.0
479cfd6625cc5583e755f96657a5762523d090d5a6181011842f4e0e6120fc89,Тримоски,Положил,female,0.99
b3742b2e5e040a6c9942cd76f4f50e9e1dcb5bbd7068081ecdec4585835b4e5e,АР-ДИ,Не положил,male,0.98
9b287ec9345d88638e0feaea993abe359dd1140106f193c1e7786d64d07c9a10,Ас-Коко,Не положил,female,1.0
fa028a637884c34bf681dab4bf1cc01fb67ffac3aeb43e4b7a203659aae986d3,Ива Обука,Не положил,,0.0
3d00f0dbf815c24d758c414af061735a1dadee4921d87792053523ed479fec52,АСХ Хирда,Не положил,male,0.99
