"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
d56661954150145b358d70b1cc1b2af69a6b2f503a8153eb82e65e36be0685e6,Арт,Положил,male,0.93
3eaea995272d16cebd126b1b86f89d840db7c9943e77e49bbbedfdad59ce5513,АСХ Хирда,Положил,female,0.99
b0adb08d0ace9ec9c232d4f13266da78181a63dfa288c21a225692f9304325fa,СМАРТ,Положил,female,0.95
6071db101e586e82b2bee91290546569586f2370d5c77810d050f9e04f0946b9,СМАРТ,Не положил,,0.0
1a5c24826dc95c8dfcb9edac06818f4bf4022c1740ef4e561530a54ef71a2c7c,Ива Обука,Положил,,0.0
1f3c19d43e8d07cbc60d1a1c8c12134cb05534b8d1af6ee1167f47cffa13d690,Болана ком,Положил,,0.0
1d095633d38c97a819a6c23f7e7fe9e7eec6a7fda0402cac08e2a383956b4f65,Мартин,Положил,male,0.99
ca3bef05b3edbbfc8400119ffad59f86151390c5a12a0f39295ecd2788f473c2,АВТОМАК Гоце,Положил,male,1.0
c7328f45b3a628dd1ee5778f9b575d0ceb18bdf697cacef1b7f591ad340e5984,Бобием,Положил,male,1.0
e0818196e3e23a0934caac51821ccbb0cc5ca54d016f1ae79d70a62fb722db52,Бобием,Не положил,,0.0
67c282560c77358fe48076e007df5b128a45c3fb5994179167586e0475ff472f,Мобилити Плус,Положил,male,1.0
5397a92362e4f55ebd84ebfcecc0a1dab4cde010fcf558fe7e8a4e89b5a82b5e,АСУЦ Боро Петрушевски,Положил,male,0.97
14bb14305e9ca76a2b5cc85fba66baddcd7e09f5b0581e3e0d918fe226d0359e,Елита дривинг,Не положил,female,0.97
b3742b2e5e040a6c9942cd76f4f50e9e1dcb5bbd7068081ecdec4585835b4e5e,АР-ДИ,Положил,male,0.98
c9ac453a04cc24c127d9255794dda78471b27c11524d7e3ab7601e473c19f368,Деива Обука 2001,Положил,female,1.0
2288c02f9f56d57cabf7de57378d70ab842ee6ef01d407353f526a1cd4f1264e,Идол,Положил,male,1.0
5fa59c5bc457459673bd6465a250ac2558a1116755ffdadd5076ade44e34ce6c,Бобием,Положил,male,0.95
54a8986b018dce040a3504e51c415beff4767845b725ef869a22f1716f250b4d,Шкорпион Обука,Положил,,0.0
0514d45f0e52d62c8f5ca825ed5d9b07329666ef3d4667feb434e1574545a495,Ива Обука,Положил,female,0.99
3a587c443b920a137f3bedd537fb2135f346066687f4230329b2c2657eec4dd1,Арт,Положил,male,0.97
971475602b795f6e135a92e6e8f23f02ca1ac9578567a6bb2cd1ef9f48431f68,Шкорпион,Положил,male,0.8
240d3a19a7f923f2fb7746e3ed75296dbd3cc4be5098f910929206dc8fed6540,АСХ Хирда,Положил,,0.0
a897909ecd9fa022ce3ac4d55152ca2ceb673a85022dd9f691a2cec4199ce5e6,АСХ Хирда,Положил,male,0.99
c64ba08cd10744dea7c8a477d5899b385f423da047e23a619a8224944838d91d,СМАРТ,Не положил,male,0.57
a6dc9897b3c558d52dd5c33a250996bb87c9ca8c17b22f673b4805286bf471b8,Арт,Положил,male,0.99
e5907a0e760f1ba0606c5b6754c4b027feb15ea3a2f513c1320661bb1bc4b3c8,Панда-ЛТД,Положил,female,0.99
d81f34dad72362c59e9bdae9779b01bfc0a898797c4ad2cefc398a8be59ec65f,Кекец-О,Положил,female,0.99
8f56605c63dd60b8b3464159d853ae9231a00a7b994e2cc94157afa3d2130564,Тримоски,Положил,female,0.93
868bad05c6e31edd758aa1044a3177fefeeafa2dceb816d59dae4ca82f00a05c,Бобием,Положил,female,1.0
0e25ef37d343ed54949362da7872541cfe79790a5a3203d87f9fd0072dbd2f62,Тримоски,Положил,,0.0
69dd0a7bc2cef46237718f7468beab36a7f5d91e7638ffea7aa6a3b842ca5edc,Арт,Положил,,0.0
e98b19324f48fc357c0f11a1ed9d2c8ebea6ec0da3bc1eb50b15b033f5054561,Шкорпион,Положил,male,0.99
58ad053386ef1586fb8a3f06413c15f94d020ca29c1aebedf3c430fa368a3363,АСХ Хирда,Положил,,0.0
d4a5ee42fe2ed369a1f961f2a2eedca988f59e620dc828118d2f41752b6f8d7a,АСХ Хирда,Положил,,0.0
81c98f782413b4b3b1ab5471a721b9a0716ca938c04f3631b4bf7e0c4684e5e5,АР-ДИ,Положил,male,0.96
